date,open,high,low,close,volume
2024-04-30 09:15:00+05:30,653.6,653.7,650.65,650.65,70640
2024-04-30 09:16:00+05:30,651.2,652.1,650.1,650.1,45527
2024-04-30 09:17:00+05:30,650.1,650.75,650.0,650.0,22671
2024-04-30 09:18:00+05:30,649.95,651.7,649.75,651.1,36934
2024-04-30 09:19:00+05:30,651.3,652.15,651.2,651.75,24935
2024-04-30 09:20:00+05:30,651.9,651.9,650.45,650.7,23739
2024-04-30 09:21:00+05:30,650.7,650.8,649.7,650.5,25313
2024-04-30 09:22:00+05:30,650.55,650.9,650.1,650.7,11316
2024-04-30 09:23:00+05:30,650.7,651.15,650.55,651.15,24317
2024-04-30 09:24:00+05:30,651.2,651.25,650.35,650.45,23600
2024-04-30 09:25:00+05:30,650.4,651.0,650.1,651.0,15310
2024-04-30 09:26:00+05:30,651.0,651.5,651.0,651.35,9497
2024-04-30 09:27:00+05:30,651.35,651.85,651.2,651.75,10068
2024-04-30 09:28:00+05:30,651.75,652.35,651.75,652.2,25579
2024-04-30 09:29:00+05:30,652.25,652.6,651.85,651.85,14349
2024-04-30 09:30:00+05:30,651.85,652.5,651.85,652.1,7530
2024-04-30 09:31:00+05:30,652.1,652.2,652.1,652.15,15019
2024-04-30 09:32:00+05:30,652.2,652.2,651.6,651.7,11609
2024-04-30 09:33:00+05:30,651.7,651.7,651.1,651.15,8487
2024-04-30 09:34:00+05:30,651.0,651.15,650.7,650.95,6026
2024-04-30 09:35:00+05:30,650.9,652.15,650.85,652.15,18323
2024-04-30 09:36:00+05:30,652.15,652.2,651.25,651.25,9349
2024-04-30 09:37:00+05:30,651.3,651.45,651.0,651.25,13315
2024-04-30 09:38:00+05:30,651.25,651.35,650.85,650.9,10694
2024-04-30 09:39:00+05:30,651.0,651.35,650.9,651.2,4779
2024-04-30 09:40:00+05:30,651.2,651.2,651.05,651.1,2913
2024-04-30 09:41:00+05:30,651.15,651.15,650.75,650.75,16240
2024-04-30 09:42:00+05:30,650.75,650.8,650.2,650.3,13766
2024-04-30 09:43:00+05:30,650.25,650.7,650.25,650.65,5446
2024-04-30 09:44:00+05:30,650.6,650.8,650.6,650.8,4847
2024-04-30 09:45:00+05:30,650.75,650.75,650.55,650.55,12991
2024-04-30 09:46:00+05:30,650.55,650.6,649.05,649.15,38731
2024-04-30 09:47:00+05:30,649.3,649.65,649.0,649.35,7660
2024-04-30 09:48:00+05:30,649.35,649.55,649.2,649.4,5402
2024-04-30 09:49:00+05:30,649.4,649.4,649.05,649.3,7328
2024-04-30 09:50:00+05:30,649.25,649.3,648.45,648.5,8665
2024-04-30 09:51:00+05:30,648.5,648.6,648.2,648.2,6366
2024-04-30 09:52:00+05:30,648.2,648.7,648.2,648.5,10414
2024-04-30 09:53:00+05:30,648.5,649.15,648.5,649.15,14849
2024-04-30 09:54:00+05:30,649.15,649.3,649.0,649.3,5174
2024-04-30 09:55:00+05:30,649.2,650.3,649.2,650.1,12244
2024-04-30 09:56:00+05:30,650.2,650.2,649.9,650.0,28581
2024-04-30 09:57:00+05:30,650.0,650.0,649.9,649.95,14454
2024-04-30 09:58:00+05:30,649.95,650.0,649.9,649.95,3694
2024-04-30 09:59:00+05:30,650.0,650.0,649.85,649.95,1729
