date,open,high,low,close,volume
2024-04-30 09:15:00+05:30,277.7,277.7,276.95,277.1,70798
2024-04-30 09:16:00+05:30,277.1,277.1,276.5,276.85,79276
2024-04-30 09:17:00+05:30,276.85,277.15,276.7,277.05,46352
2024-04-30 09:18:00+05:30,277.1,277.25,276.95,277.0,69502
2024-04-30 09:19:00+05:30,277.0,277.05,276.7,276.9,96653
2024-04-30 09:20:00+05:30,276.85,277.5,276.8,276.8,58305
2024-04-30 09:21:00+05:30,276.8,277.1,276.6,276.85,67091
2024-04-30 09:22:00+05:30,276.85,277.0,276.6,276.85,15103
2024-04-30 09:23:00+05:30,276.85,276.9,276.65,276.85,55076
2024-04-30 09:24:00+05:30,276.75,276.85,276.75,276.85,10678
2024-04-30 09:25:00+05:30,276.9,277.1,276.8,276.9,35999
2024-04-30 09:26:00+05:30,276.9,276.9,276.4,276.5,91467
2024-04-30 09:27:00+05:30,276.5,276.55,276.1,276.3,58345
2024-04-30 09:28:00+05:30,276.4,276.6,276.25,276.25,46860
2024-04-30 09:29:00+05:30,276.3,276.6,276.25,276.6,36004
2024-04-30 09:30:00+05:30,276.6,276.7,276.2,276.5,20979
2024-04-30 09:31:00+05:30,276.35,276.5,276.25,276.5,72523
2024-04-30 09:32:00+05:30,276.5,276.6,276.25,276.35,27152
2024-04-30 09:33:00+05:30,276.4,276.75,276.35,276.75,35302
2024-04-30 09:34:00+05:30,276.75,276.95,276.7,276.95,24301
2024-04-30 09:35:00+05:30,276.8,277.65,276.8,277.6,46276
2024-04-30 09:36:00+05:30,277.4,277.65,277.3,277.3,39763
2024-04-30 09:37:00+05:30,277.3,277.55,277.25,277.45,19134
2024-04-30 09:38:00+05:30,277.45,277.9,277.4,277.75,52941
2024-04-30 09:39:00+05:30,277.75,278.05,277.6,278.0,47577
2024-04-30 09:40:00+05:30,278.05,278.1,277.6,277.8,36447
2024-04-30 09:41:00+05:30,277.8,277.8,277.45,277.45,23276
2024-04-30 09:42:00+05:30,277.6,277.65,277.4,277.55,30961
2024-04-30 09:43:00+05:30,277.55,277.6,277.4,277.5,12993
2024-04-30 09:44:00+05:30,277.4,277.55,277.3,277.5,21195
2024-04-30 09:45:00+05:30,277.5,277.55,277.35,277.55,12753
2024-04-30 09:46:00+05:30,277.5,277.55,277.25,277.3,26409
2024-04-30 09:47:00+05:30,277.3,277.3,277.0,277.3,15927
2024-04-30 09:48:00+05:30,277.3,277.5,277.25,277.5,15024
2024-04-30 09:49:00+05:30,277.5,277.6,277.35,277.5,14611
2024-04-30 09:50:00+05:30,277.6,277.65,277.5,277.65,18277
2024-04-30 09:51:00+05:30,277.5,278.1,277.5,278.1,60629
2024-04-30 09:52:00+05:30,278.1,278.75,278.05,278.75,106826
2024-04-30 09:53:00+05:30,278.65,278.65,278.35,278.45,51055
2024-04-30 09:54:00+05:30,278.45,279.15,278.2,278.45,352375
2024-04-30 09:55:00+05:30,278.55,279.5,278.5,279.25,408665
2024-04-30 09:56:00+05:30,279.15,279.25,278.85,278.9,34584
2024-04-30 09:57:00+05:30,278.9,279.15,278.65,279.1,42382
2024-04-30 09:58:00+05:30,279.1,279.25,278.6,278.8,177812
2024-04-30 09:59:00+05:30,278.9,279.1,278.8,279.1,51321
2024-04-30 10:00:00+05:30,278.95,279.1,278.65,278.7,28173
2024-04-30 10:01:00+05:30,278.7,278.85,278.55,278.7,60200
2024-04-30 10:02:00+05:30,278.7,278.95,278.65,278.75,27090
2024-04-30 10:03:00+05:30,278.7,278.75,278.55,278.6,20749
2024-04-30 10:04:00+05:30,278.65,278.75,278.55,278.7,16327
2024-04-30 10:05:00+05:30,278.7,278.7,278.4,278.4,20052
2024-04-30 10:06:00+05:30,278.55,278.55,278.4,278.45,11702
2024-04-30 10:07:00+05:30,278.4,278.45,278.2,278.35,38974
2024-04-30 10:08:00+05:30,278.3,278.35,277.9,278.1,33004
2024-04-30 10:09:00+05:30,277.95,278.0,277.8,277.85,17489
2024-04-30 10:10:00+05:30,277.85,278.1,277.7,278.0,28553
2024-04-30 10:11:00+05:30,278.05,278.05,277.75,277.95,15195
2024-04-30 10:12:00+05:30,277.85,278.05,277.85,277.95,14792
2024-04-30 10:13:00+05:30,278.05,278.05,277.9,277.9,7706
2024-04-30 10:14:00+05:30,277.95,278.15,277.9,278.1,16702
2024-04-30 10:15:00+05:30,278.15,278.3,278.1,278.3,18939
2024-04-30 10:16:00+05:30,278.3,278.35,278.3,278.3,11417
2024-04-30 10:17:00+05:30,278.35,278.5,278.2,278.3,36447
2024-04-30 10:18:00+05:30,278.2,278.35,278.05,278.1,19993
2024-04-30 10:19:00+05:30,278.1,278.15,277.95,278.05,13988
2024-04-30 10:20:00+05:30,278.05,278.05,277.8,277.85,20382
2024-04-30 10:21:00+05:30,277.95,277.95,277.75,277.75,15731
2024-04-30 10:22:00+05:30,277.75,277.8,277.45,277.45,18809
2024-04-30 10:23:00+05:30,277.5,277.65,277.35,277.5,21666
2024-04-30 10:24:00+05:30,277.5,277.55,277.2,277.3,45878
2024-04-30 10:25:00+05:30,277.2,277.35,277.1,277.1,20156
2024-04-30 10:26:00+05:30,277.2,277.25,277.1,277.15,18059
2024-04-30 10:27:00+05:30,277.2,277.45,277.15,277.3,11770
2024-04-30 10:28:00+05:30,277.3,277.45,277.15,277.2,53407
2024-04-30 10:29:00+05:30,277.2,277.3,277.05,277.3,14416
2024-04-30 10:30:00+05:30,277.3,277.35,277.1,277.1,22810
2024-04-30 10:31:00+05:30,277.15,277.2,277.0,277.0,13969
2024-04-30 10:32:00+05:30,277.0,277.0,276.85,277.0,20717
2024-04-30 10:33:00+05:30,277.0,277.45,276.9,277.3,45998
2024-04-30 10:34:00+05:30,277.25,277.5,277.25,277.4,18816
2024-04-30 10:35:00+05:30,277.4,277.5,277.25,277.35,14748
2024-04-30 10:36:00+05:30,277.35,277.45,277.25,277.4,9324
2024-04-30 10:37:00+05:30,277.4,277.7,277.4,277.7,28180
2024-04-30 10:38:00+05:30,277.7,277.7,277.6,277.65,6989
2024-04-30 10:39:00+05:30,277.65,277.75,277.55,277.6,18050
2024-04-30 10:40:00+05:30,277.6,277.6,277.4,277.5,10347
2024-04-30 10:41:00+05:30,277.5,277.5,277.4,277.5,3288
2024-04-30 10:42:00+05:30,277.5,277.85,277.45,277.85,14595
2024-04-30 10:43:00+05:30,277.85,278.05,277.6,277.7,26365
2024-04-30 10:44:00+05:30,277.7,277.85,277.45,277.85,11504
2024-04-30 10:45:00+05:30,277.85,277.9,277.8,277.9,12500
2024-04-30 10:46:00+05:30,277.9,277.95,277.7,277.85,13643
2024-04-30 10:47:00+05:30,277.85,277.85,277.7,277.7,5526
2024-04-30 10:48:00+05:30,277.75,277.85,277.7,277.75,3978
2024-04-30 10:49:00+05:30,277.85,277.95,277.7,277.8,19840
2024-04-30 10:50:00+05:30,277.75,277.8,277.6,277.65,8128
2024-04-30 10:51:00+05:30,277.65,277.7,277.35,277.45,11927
2024-04-30 10:52:00+05:30,277.45,277.6,277.45,277.5,2825
2024-04-30 10:53:00+05:30,277.5,277.55,277.45,277.5,7323
2024-04-30 10:54:00+05:30,277.5,277.55,277.4,277.5,38498
2024-04-30 10:55:00+05:30,277.4,277.5,277.35,277.4,5179
2024-04-30 10:56:00+05:30,277.35,277.85,277.2,277.65,52954
2024-04-30 10:57:00+05:30,277.65,277.8,277.35,277.5,5930
2024-04-30 10:58:00+05:30,277.5,277.5,277.2,277.35,6984
2024-04-30 10:59:00+05:30,277.35,277.6,277.35,277.55,5315
2024-04-30 11:00:00+05:30,277.6,277.7,277.5,277.65,5529
2024-04-30 11:01:00+05:30,277.65,277.65,277.35,277.35,10389
2024-04-30 11:02:00+05:30,277.35,277.5,277.25,277.35,20494
2024-04-30 11:03:00+05:30,277.3,277.45,277.25,277.4,15839
2024-04-30 11:04:00+05:30,277.45,277.45,277.3,277.3,10411
2024-04-30 11:05:00+05:30,277.3,277.45,277.25,277.35,11734
2024-04-30 11:06:00+05:30,277.35,277.45,277.3,277.35,2502
2024-04-30 11:07:00+05:30,277.45,277.7,277.45,277.7,10273
2024-04-30 11:08:00+05:30,277.7,277.8,277.45,277.45,38397
2024-04-30 11:09:00+05:30,277.6,277.8,277.45,277.8,3342
2024-04-30 11:10:00+05:30,277.8,277.9,277.7,277.9,13023
2024-04-30 11:11:00+05:30,277.8,277.9,277.6,277.7,10115
2024-04-30 11:12:00+05:30,277.65,277.7,277.65,277.65,4748
2024-04-30 11:13:00+05:30,277.65,277.75,277.5,277.5,9452
2024-04-30 11:14:00+05:30,277.55,277.75,277.5,277.75,13656
2024-04-30 11:15:00+05:30,277.65,277.85,277.6,277.85,7496
2024-04-30 11:16:00+05:30,277.8,277.85,277.65,277.85,23404
2024-04-30 11:17:00+05:30,277.85,277.85,277.75,277.85,3767
2024-04-30 11:18:00+05:30,277.85,277.85,277.6,277.6,18709
2024-04-30 11:19:00+05:30,277.6,277.7,277.45,277.5,6700
2024-04-30 11:20:00+05:30,277.5,277.5,277.25,277.3,17608
2024-04-30 11:21:00+05:30,277.25,277.4,277.25,277.4,2698
