date,open,high,low,close,volume
2024-04-30 09:15:00+05:30,486.25,488.6,486.25,488.55,16150
2024-04-30 09:16:00+05:30,488.2,489.05,488.05,488.85,17809
2024-04-30 09:17:00+05:30,489.0,490.15,489.0,490.15,36960
2024-04-30 09:18:00+05:30,490.15,491.45,489.9,490.95,30410
2024-04-30 09:19:00+05:30,490.85,490.85,489.75,489.75,8699
2024-04-30 09:20:00+05:30,489.7,489.8,488.5,488.5,15756
2024-04-30 09:21:00+05:30,488.8,489.05,488.25,488.75,10378
2024-04-30 09:22:00+05:30,488.75,489.85,488.75,489.7,5833
2024-04-30 09:23:00+05:30,489.85,490.35,489.25,489.4,21824
2024-04-30 09:24:00+05:30,489.75,489.9,489.3,489.55,14420
2024-04-30 09:25:00+05:30,489.55,490.15,489.55,490.0,4212
2024-04-30 09:26:00+05:30,489.95,489.95,489.25,489.6,5588
2024-04-30 09:27:00+05:30,489.6,489.75,489.2,489.25,2431
2024-04-30 09:28:00+05:30,489.2,489.7,489.05,489.7,7513
2024-04-30 09:29:00+05:30,489.7,489.95,489.35,489.75,3702
2024-04-30 09:30:00+05:30,489.75,490.05,489.7,490.05,3285
2024-04-30 09:31:00+05:30,490.05,490.15,489.85,489.9,3121
2024-04-30 09:32:00+05:30,490.05,490.35,489.7,489.7,16204
2024-04-30 09:33:00+05:30,489.85,490.3,489.7,489.8,2850
2024-04-30 09:34:00+05:30,489.8,490.1,489.7,489.85,3457
2024-04-30 09:35:00+05:30,490.05,490.5,489.7,490.5,23078
2024-04-30 09:36:00+05:30,490.6,490.6,489.95,490.15,15310
2024-04-30 09:37:00+05:30,490.15,490.9,489.95,490.65,7631
2024-04-30 09:38:00+05:30,490.65,490.65,489.9,490.1,6509
2024-04-30 09:39:00+05:30,489.9,490.15,489.85,490.0,5666
2024-04-30 09:40:00+05:30,490.0,490.15,489.45,489.75,9825
2024-04-30 09:41:00+05:30,489.45,489.5,488.95,489.15,2669
2024-04-30 09:42:00+05:30,489.15,489.4,488.95,489.15,3182
2024-04-30 09:43:00+05:30,489.15,489.95,489.0,489.55,7896
2024-04-30 09:44:00+05:30,489.4,489.85,489.35,489.65,3091
2024-04-30 09:45:00+05:30,489.65,489.65,488.95,489.2,3157
2024-04-30 09:46:00+05:30,488.95,489.6,488.95,489.3,9718
2024-04-30 09:47:00+05:30,489.25,489.5,488.75,489.0,7907
2024-04-30 09:48:00+05:30,489.0,489.0,488.65,488.8,1062
2024-04-30 09:49:00+05:30,488.85,489.65,488.85,489.3,2819
2024-04-30 09:50:00+05:30,489.3,489.8,489.3,489.6,9845
2024-04-30 09:51:00+05:30,489.7,489.8,489.55,489.8,608
2024-04-30 09:52:00+05:30,489.8,489.8,489.5,489.55,2044
2024-04-30 09:53:00+05:30,489.7,489.75,489.35,489.5,1461
2024-04-30 09:54:00+05:30,489.2,489.2,488.8,488.85,2804
2024-04-30 09:55:00+05:30,488.8,488.8,488.15,488.6,45216
2024-04-30 09:56:00+05:30,488.55,488.7,488.4,488.55,5298
2024-04-30 09:57:00+05:30,488.55,488.95,488.45,488.95,5464
2024-04-30 09:58:00+05:30,488.95,489.15,488.85,489.15,972
2024-04-30 09:59:00+05:30,489.15,489.15,488.85,488.85,2039
