date,open,high,low,close,volume
2024-04-30 09:15:00+05:30,227.0,227.95,226.75,227.95,142504
2024-04-30 09:16:00+05:30,227.85,228.15,227.4,228.0,82450
2024-04-30 09:17:00+05:30,228.05,228.1,227.65,227.85,80714
2024-04-30 09:18:00+05:30,227.8,227.9,227.3,227.35,82474
2024-04-30 09:19:00+05:30,227.45,227.5,227.05,227.4,64606
2024-04-30 09:20:00+05:30,227.5,227.6,227.2,227.4,49246
2024-04-30 09:21:00+05:30,227.4,227.6,227.1,227.5,50244
2024-04-30 09:22:00+05:30,227.5,227.7,227.5,227.7,23700
2024-04-30 09:23:00+05:30,227.7,227.75,227.5,227.7,36498
2024-04-30 09:24:00+05:30,227.7,227.85,227.6,227.75,34026
2024-04-30 09:25:00+05:30,227.7,227.95,227.7,227.75,44308
2024-04-30 09:26:00+05:30,227.75,227.85,227.6,227.75,47960
2024-04-30 09:27:00+05:30,227.75,227.75,227.5,227.65,24156
2024-04-30 09:28:00+05:30,227.65,227.75,227.5,227.75,10654
2024-04-30 09:29:00+05:30,227.7,227.75,227.65,227.75,15714
2024-04-30 09:30:00+05:30,227.75,227.95,227.75,227.95,20544
2024-04-30 09:31:00+05:30,227.95,228.1,227.75,227.75,63570
2024-04-30 09:32:00+05:30,227.85,228.35,227.75,228.15,37564
2024-04-30 09:33:00+05:30,228.3,228.6,228.15,228.35,77146
2024-04-30 09:34:00+05:30,228.5,228.7,228.4,228.7,30334
2024-04-30 09:35:00+05:30,228.7,228.75,228.5,228.65,67456
2024-04-30 09:36:00+05:30,228.5,228.85,228.35,228.45,144366
2024-04-30 09:37:00+05:30,228.45,228.65,228.45,228.6,22250
2024-04-30 09:38:00+05:30,228.6,228.7,228.55,228.55,16436
2024-04-30 09:39:00+05:30,228.65,228.65,228.55,228.65,25954
2024-04-30 09:40:00+05:30,228.55,228.65,228.55,228.55,17962
2024-04-30 09:41:00+05:30,228.6,228.65,228.5,228.55,26238
2024-04-30 09:42:00+05:30,228.45,228.5,228.3,228.3,23280
2024-04-30 09:43:00+05:30,228.3,228.3,228.15,228.2,20616
2024-04-30 09:44:00+05:30,228.2,228.35,228.15,228.25,12090
2024-04-30 09:45:00+05:30,228.35,228.35,228.25,228.35,12390
2024-04-30 09:46:00+05:30,228.25,228.4,228.25,228.35,13072
2024-04-30 09:47:00+05:30,228.35,228.35,228.05,228.05,28966
2024-04-30 09:48:00+05:30,228.1,228.1,227.95,228.05,15438
2024-04-30 09:49:00+05:30,228.05,228.25,228.0,228.2,13338
2024-04-30 09:50:00+05:30,228.2,228.3,228.15,228.3,9610
2024-04-30 09:51:00+05:30,228.35,228.4,228.05,228.1,25534
2024-04-30 09:52:00+05:30,228.1,228.2,228.0,228.0,16156
2024-04-30 09:53:00+05:30,228.0,228.15,228.0,228.05,3566
2024-04-30 09:54:00+05:30,228.05,228.15,228.05,228.15,7148
2024-04-30 09:55:00+05:30,228.15,228.25,228.15,228.2,8328
2024-04-30 09:56:00+05:30,228.3,228.35,228.2,228.3,13274
2024-04-30 09:57:00+05:30,228.3,228.3,228.1,228.1,15762
2024-04-30 09:58:00+05:30,228.2,228.2,227.95,227.95,23932
2024-04-30 09:59:00+05:30,227.95,228.05,227.95,227.95,9810
2024-04-30 10:00:00+05:30,228.0,228.0,227.8,227.95,27154
2024-04-30 10:01:00+05:30,227.95,227.95,227.85,227.95,11238
2024-04-30 10:02:00+05:30,227.95,227.95,227.9,227.95,16108
2024-04-30 10:03:00+05:30,227.9,228.05,227.9,228.05,9450
2024-04-30 10:04:00+05:30,228.05,228.05,227.75,227.75,34054
2024-04-30 10:05:00+05:30,227.75,227.9,227.75,227.85,12652
2024-04-30 10:06:00+05:30,227.85,227.95,227.85,227.85,7284
2024-04-30 10:07:00+05:30,227.85,227.85,227.75,227.85,13740
2024-04-30 10:08:00+05:30,227.85,227.85,227.4,227.6,70076
2024-04-30 10:09:00+05:30,227.6,227.7,227.6,227.6,12156
2024-04-30 10:10:00+05:30,227.6,227.75,227.5,227.7,28028
2024-04-30 10:11:00+05:30,227.75,227.75,227.7,227.75,5598
2024-04-30 10:12:00+05:30,227.75,227.8,227.7,227.75,11914
2024-04-30 10:13:00+05:30,227.75,227.85,227.6,227.7,20130
2024-04-30 10:14:00+05:30,227.7,227.7,227.6,227.6,9948
2024-04-30 10:15:00+05:30,227.6,227.7,227.5,227.6,10224
2024-04-30 10:16:00+05:30,227.6,227.7,227.5,227.6,16926
2024-04-30 10:17:00+05:30,227.6,227.7,227.35,227.7,26128
