Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-02 09:30:00+0530,2024-05-02 09:45:00+0530,Long,1332.6,1314.85,-17.75,-19.06485,15 min,ST_Stop,1332.6,1314.85,1314.85,1318.7,1321.8619139816612,1325.7870973839363,,,1342.8899999999999
3,2024-05-02 11:15:00+0530,2024-05-02 11:30:00+0530,Long,1332.5,1332.2,-0.2999999999999545,-1.6321999999999546,15 min,ST_Stop,1332.5,1332.2,1332.2,1333.05,1329.906733702982,1325.0832891706584,,,1334.86
4,2024-05-03 11:00:00+0530,2024-05-03 11:15:00+0530,Short,1328.75,1328.0,0.75,-0.5780000000000001,15 min,ST_Stop,1328.75,1328.15,1328.0,1328.75,1330.6544468240957,1335.2703360854966,28.86383640750147,57.19226057797245,1319.525
6,2024-05-07 14:15:00+0530,2024-05-07 14:30:00+0530,Long,1289.9,1291.15,1.25,-0.04115000000000002,15 min,ST_Stop,1289.9,1291.15,1291.15,1283.8,1288.87867125626,1284.9577369557303,4.080211407203148,-21.372205399202194,1295.095
11,2024-05-13 10:15:00+0530,2024-05-13 10:30:00+0530,Short,1264.85,1268.0,-3.150000000000091,-4.418000000000091,15 min,ST_Stop,1264.85,1267.8,1268.0,1268.85,1267.6642420765338,1269.4364509471384,49.69213230897106,39.76539252272227,1262.5949999999998
14,2024-05-23 11:30:00+0530,2024-05-23 11:45:00+0530,Long,1382.1,1382.3,0.20000000000004547,-1.1822999999999546,15 min,ST_Stop,1382.1,1382.3,1382.3,1385.8,1380.1810267549167,1376.359928182701,-9.930700114494087,-5.910990840808567,1388.38
20,2024-05-31 10:45:00+0530,2024-05-31 11:00:00+0530,Short,1394.85,1398.9,-4.050000000000182,-5.448900000000181,15 min,ST_Stop,1394.85,1398.9,1398.9,1398.6,1398.349787259299,1400.545627287807,-10.422937650990386,-22.661306798655172,1387.21
22,2024-06-05 13:30:00+0530,2024-06-05 13:45:00+0530,Long,1315.65,1311.2,-4.4500000000000455,-5.761200000000045,15 min,ST_Stop,1315.65,1311.2,1311.2,1309.0,1307.4092759223715,1298.8920779253388,-29.106369712373002,-47.767830149879444,1333.6400000000003
23,2024-06-12 13:15:00+0530,2024-06-12 13:30:00+0530,Short,1397.0,1396.9,0.09999999999990905,-1.296900000000091,15 min,ST_Stop,1397.0,1396.9,1396.9,1399.55,1398.958860682504,1403.7202498226866,9.64462094345954,30.91562102480568,1396.0900000000001
28,2024-07-01 10:15:00+0530,2024-07-01 10:30:00+0530,Long,1483.55,1483.9,0.3500000000001364,-1.1338999999998638,15 min,ST_Stop,1483.55,1484.3,1483.9,1481.95,1482.0558065396108,1478.6938470381754,44.46577319087838,42.824697381446306,1489.45
