Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-02 13:00:00+0530,2024-05-02 14:00:00+0530,Long,1338.3,1335.5,-2.7999999999999545,-4.135499999999954,1 hour,ST_Stop,1338.3,1335.5,1335.5,1339.4,1334.021435546875,1329.2253339058732,,,1368.99
4,2024-05-29 14:00:00+0530,2024-05-29 15:00:00+0530,Long,1414.85,1416.85,2.0,0.58315,1 hour,ST_Stop,1414.85,1416.85,1416.85,1412.6,1413.8860804534515,1409.0320264402253,8.353995743504978,35.427891628754914,1440.095
7,2024-06-06 12:00:00+0530,2024-06-06 13:00:00+0530,Long,1394.25,1371.0,-23.25,-24.621000000000002,1 hour,ST_Stop,1394.25,1371.35,1371.0,1358.95,1374.9708411047195,1375.4644619598243,-19.88035951632979,-18.68859300037354,1432.8850000000002
10,2024-07-02 14:00:00+0530,2024-07-02 15:00:00+0530,Short,1458.85,1472.4,-13.550000000000182,-15.022400000000182,1 hour,ST_Stop,1458.85,1472.4,1472.4,1477.5,1470.3819619357228,1472.8284673430715,29.498388464515752,31.573852959788102,1453.905
13,2024-07-18 16:00:00+0530,2024-07-19 10:00:00+0530,Long,1497.05,1492.55,-4.5,-5.99255,1 hour,ST_Stop,1497.05,1491.95,1492.55,1488.1,1492.724153940535,1491.5580947980427,23.120999287273147,29.241270652096993,1508.995
15,2024-07-24 16:00:00+0530,2024-07-25 10:00:00+0530,Short,1483.75,1471.0,12.75,11.279,1 hour,ST_Stop,1483.75,1487.5,1471.0,1471.75,1486.793759517089,1487.6753107729196,42.41465764858756,23.492979059395662,1444.9849999999997
17,2024-08-07 16:00:00+0530,2024-08-08 10:00:00+0530,Long,1539.05,1538.0,-1.0499999999999545,-2.587999999999955,1 hour,ST_Stop,1539.05,1544.15,1538.0,1538.5,1540.155944048668,1534.842582262114,-10.584115961737517,-10.901430431430413,1555.3000000000002
18,2024-08-23 10:00:00+0530,2024-08-23 11:00:00+0530,Short,1493.0,1496.3,-3.2999999999999545,-4.796299999999954,1 hour,ST_Stop,1493.0,1496.1,1496.3,1498.55,1495.6124714478146,1497.2251216789493,41.95605168730688,28.48799843802101,1482.375
20,2024-09-10 15:00:00+0530,2024-09-10 16:00:00+0530,Long,1460.9,1452.85,-8.050000000000182,-9.502850000000183,1 hour,ST_Stop,1460.9,1452.85,1452.85,1448.5,1453.966397325948,1450.4016643911887,-20.21580866474704,-40.13802270695529,1464.2450000000001
23,2024-09-16 13:00:00+0530,2024-09-16 14:00:00+0530,Short,1447.8,1446.9,0.8999999999998636,-0.5469000000001365,1 hour,ST_Stop,1447.8,1447.2,1446.9,1449.45,1448.6468658576368,1451.7697557929387,24.76362188669762,19.093269879036086,1430.1
27,2024-10-01 13:00:00+0530,2024-10-01 14:00:00+0530,Long,1460.05,1466.8,6.75,5.283200000000001,1 hour,ST_Stop,1460.05,1466.8,1466.8,1468.95,1461.8945804906634,1455.748898624157,-9.179835527984244,17.620111180464562,1481.3700000000001
32,2024-10-18 16:00:00+0530,2024-10-21 10:00:00+0530,Long,1407.8,1409.9,2.1000000000001364,0.6901000000001362,1 hour,ST_Stop,1407.8,1404.85,1409.9,1392.1,1405.1927612724648,1404.040055456723,-8.299440613563018,-20.52171976167337,1417.255
34,2024-10-29 11:00:00+0530,2024-10-29 12:00:00+0530,Short,1336.5,1328.6,7.900000000000091,6.571400000000091,1 hour,ST_Stop,1336.5,1328.3,1328.6,1336.2,1336.830395366815,1345.5867199558052,-25.358332753812732,-51.813083035669464,1311.3700000000001
38,2024-11-11 11:00:00+0530,2024-11-11 12:00:00+0530,Short,1344.6,1353.85,-9.25,-10.603850000000001,1 hour,ST_Stop,1344.6,1353.85,1353.85,1351.65,1351.518980093898,1352.55446447602,6.090318045723042,-2.1683654613576087,1331.395
42,2024-11-28 16:00:00+0530,2024-11-29 10:00:00+0530,Short,1164.35,1175.0,-10.650000000000091,-11.825000000000092,1 hour,ST_Stop,1164.35,1169.95,1175.0,1188.85,1172.391959348349,1175.8795874030843,32.825442158861144,7.935909210634103,1136.2499999999998
45,2024-12-10 13:00:00+0530,2024-12-10 14:00:00+0530,Short,1253.3,1246.45,6.849999999999909,5.60354999999991,1 hour,ST_Stop,1253.3,1246.45,1246.45,1247.6,1251.657051821157,1258.9783247003422,10.584364936282224,35.285474980120085,1245.845
