Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-02 11:00:00+0530,2024-05-02 12:00:00+0530,Long,9012.7,9076.05,63.349999999998545,54.27394999999855,1 hour,ST_Stop,9012.7,9076.05,9076.05,9067.0,9018.208203125,8928.228204166378,,,
5,2024-05-09 14:00:00+0530,2024-05-09 15:00:00+0530,Short,8810.25,8832.85,-22.600000000000364,-31.432850000000364,1 hour,ST_Stop,8810.25,8832.85,8832.85,8839.15,8839.255648124858,8859.615794988747,-31.290449205512616,-46.148669277839666,8646.675
7,2024-05-15 14:00:00+0530,2024-05-15 15:00:00+0530,Short,8911.1,8932.3,-21.19999999999891,-30.132299999998907,1 hour,ST_Stop,8911.1,8930.35,8932.3,8919.95,8936.429879770076,8956.301209246207,45.37061102794915,35.86453343365283,8886.34
13,2024-06-24 15:00:00+0530,2024-06-24 16:00:00+0530,Long,9752.0,9741.95,-10.049999999999272,-19.791949999999275,1 hour,ST_Stop,9752.0,9740.7,9741.95,9752.95,9733.161195915845,9710.357015540707,-36.82678428536944,-45.402209531311584,9763.535
14,2024-06-25 15:00:00+0530,2024-06-25 16:00:00+0530,Short,9688.8,9664.3,24.5,14.835700000000003,1 hour,ST_Stop,9688.8,9664.3,9664.3,9650.0,9684.634462468091,9713.42724153873,-27.030477798327205,-35.09375452300479,9572.485
20,2024-07-19 10:00:00+0530,2024-07-19 11:00:00+0530,Long,9635.0,9634.8,-0.2000000000007276,-9.834800000000728,1 hour,ST_Stop,9635.0,9634.8,9634.8,9516.9,9616.014479995689,9583.271811249499,-1.5334861198583787,8.851899808614009,9812.984999999999
28,2024-10-10 10:00:00+0530,2024-10-10 11:00:00+0530,Short,11821.5,11926.95,-105.45000000000073,-117.37695000000073,1 hour,ST_Stop,11821.5,11930.0,11926.95,11943.05,11884.164165161885,11855.434952465219,-23.286760764400636,-51.05539283378335,11612.29
31,2024-10-24 11:00:00+0530,2024-10-24 12:00:00+0530,Short,10480.0,10340.0,140.0,129.66000000000003,1 hour,ST_Stop,10480.0,10340.0,10340.0,10288.3,10436.77804574437,10553.15998879102,-28.147729618549672,-38.778711666228986,10255.024999999998
34,2024-11-12 11:00:00+0530,2024-11-12 12:00:00+0530,Short,9846.55,9813.25,33.29999999999927,23.486749999999276,1 hour,ST_Stop,9846.55,9813.25,9813.25,9796.05,9845.372488012597,9891.564839211407,46.048894232592964,45.66253946171297,9745.239999999998
36,2024-11-21 10:00:00+0530,2024-11-21 11:00:00+0530,Short,9473.5,9498.0,-24.5,-33.998,1 hour,ST_Stop,9473.5,9498.0,9498.0,9548.7,9532.86846915348,9591.814616718799,-46.886793115239996,-48.656743911505906,9478.285
38,2024-12-03 12:00:00+0530,2024-12-03 13:00:00+0530,Long,9206.1,9170.95,-35.149999999999636,-44.32094999999964,1 hour,ST_Stop,9206.1,9170.95,9170.95,9182.8,9171.991961832147,9152.721671425643,-49.737131797409134,-69.06642813958946,9206.625
39,2024-12-04 12:00:00+0530,2024-12-04 13:00:00+0530,Long,9195.0,8996.1,-198.89999999999964,-207.89609999999965,1 hour,ST_Stop,9195.0,8996.7,8996.1,9039.25,9086.055405951814,9149.265519477287,-21.31843753271114,-45.92860014903464,9319.880000000001
42,2024-12-12 12:00:00+0530,2024-12-12 13:00:00+0530,Short,9001.45,9010.2,-8.75,-17.7602,1 hour,ST_Stop,9001.45,9010.05,9010.2,9002.95,9019.270253827119,9048.326361745254,28.434070145502616,21.40185364034412,8956.94
