Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-02 09:20:00+0530,2024-05-02 09:25:00+0530,Long,8953.3,8881.45,-71.84999999999854,-80.73144999999855,5 min,ST_Stop,8953.3,8880.35,8881.45,8844.05,8905.015278222358,8917.547230271144,-30.274175274522616,-24.14830684687534,8876.279999999999
4,2024-05-03 09:15:00+0530,2024-05-03 09:20:00+0530,Short,9170.0,9150.8,19.200000000000728,10.049200000000727,5 min,ST_Stop,9170.0,9161.0,9150.8,9185.45,9129.727515999228,9111.297985944539,23.909983490232882,43.97864983780789,9086.185
6,2024-05-08 10:00:00+0530,2024-05-08 10:05:00+0530,Short,8671.4,8699.0,-27.600000000000364,-36.29900000000036,5 min,ST_Stop,8671.4,8699.0,8699.0,8704.95,8690.922177448285,8692.285875045474,11.479191911255512,-29.027016077197775,8569.089999999998
14,2024-05-31 10:10:00+0530,2024-05-31 10:15:00+0530,Short,8970.0,8986.95,-16.950000000000728,-25.936950000000728,5 min,ST_Stop,8970.0,8987.0,8986.95,8985.0,8986.191190068817,8997.524925813992,-3.5176412432214668,-23.80847778871849,8915.839999999998
19,2024-06-04 14:15:00+0530,2024-06-04 14:20:00+0530,Short,9063.6,9053.7,9.899999999999636,0.8462999999996352,5 min,ST_Stop,9063.6,9053.7,9053.7,9050.2,9067.338584047004,9090.224278465286,9.590237150968678,-9.818218537643697,8991.569999999998
27,2024-07-10 13:30:00+0530,2024-07-10 13:35:00+0530,Long,9549.45,9544.0,-5.450000000000728,-14.994000000000728,5 min,ST_Stop,9549.45,9544.0,9544.0,9537.15,9537.526884693045,9518.016905830409,-11.883751622272847,-33.59427435687358,9554.204999999998
28,2024-07-12 11:15:00+0530,2024-07-12 11:20:00+0530,Long,9523.9,9507.05,-16.850000000000364,-26.357050000000363,5 min,ST_Stop,9523.9,9507.05,9507.05,9513.25,9507.354108651729,9498.6026279615,19.373140024111212,42.66182289937877,9536.245
33,2024-07-25 09:50:00+0530,2024-07-25 09:55:00+0530,Short,9244.6,9278.0,-33.399999999999636,-42.67799999999964,5 min,ST_Stop,9244.6,9278.0,9278.0,9266.45,9269.81921950127,9273.230284784506,19.784546668732453,-9.064512655230716,9178.82
37,2024-08-01 10:15:00+0530,2024-08-01 10:20:00+0530,Long,9725.0,9700.0,-25.0,-34.7,5 min,ST_Stop,9725.0,9700.0,9700.0,9713.2,9700.387007309342,9688.440365881863,-30.67339949467132,5.475328644363562,9775.75
69,2024-10-11 09:50:00+0530,2024-10-11 09:55:00+0530,Short,11814.85,11804.25,10.600000000000364,-1.204249999999636,5 min,ST_Stop,11814.85,11804.25,11804.25,11795.3,11820.88448363049,11851.069544100987,-23.923804340280956,-33.26427075000487,11794.275
