Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-02 11:30:00+0530,2024-05-02 11:45:00+0530,Short,6880.85,6895.0,-14.149999999999636,-21.04499999999964,15 min,ST_Stop,6880.85,6895.0,6895.0,6881.6,6895.639604573885,6906.1283916250995,,,6874.5650000000005
5,2024-05-14 11:15:00+0530,2024-05-14 11:30:00+0530,Short,6663.75,6682.4,-18.649999999999636,-25.332399999999637,15 min,ST_Stop,6663.75,6682.05,6682.4,6680.0,6680.866396963255,6692.384646980652,19.76499909979151,44.257779895393476,6663.055
6,2024-05-14 15:15:00+0530,2024-05-14 15:30:00+0530,Short,6675.7,6672.95,2.75,-3.92295,15 min,ST_Stop,6675.7,6673.0,6672.95,6680.0,6679.075838720657,6691.2549055812615,-15.618560568272477,16.153575495234005,6663.055
7,2024-05-15 10:00:00+0530,2024-05-15 10:15:00+0530,Long,6714.8,6698.0,-16.800000000000182,-23.498000000000182,15 min,ST_Stop,6714.8,6698.0,6698.0,6662.8,6698.367994960021,6691.960474547717,-14.012739334341472,2.201373048482991,6663.055
9,2024-05-16 10:45:00+0530,2024-05-16 11:00:00+0530,Short,6660.25,6662.1,-1.8500000000003638,-8.512100000000364,15 min,ST_Stop,6660.25,6662.1,6662.1,6669.0,6666.104564952791,6677.175183675518,-30.450281093978212,-28.217128996843336,6659.655000000001
11,2024-05-28 09:30:00+0530,2024-05-28 09:45:00+0530,Long,6924.6,6942.0,17.399999999999636,10.457999999999636,15 min,ST_Stop,6924.6,6940.85,6942.0,6923.6,6926.197644478335,6903.076591382733,49.64726539111193,52.808858573286344,6949.995
13,2024-05-31 15:30:00+0530,2024-06-03 09:15:00+0530,Short,6699.5,6948.85,-249.35000000000036,-256.29885000000036,15 min,ST_Stop,6699.5,6732.5,6948.85,6855.55,6723.2892598002745,6722.050784473417,43.67496396668277,16.63217015868803,6686.48
15,2024-06-05 11:30:00+0530,2024-06-05 11:45:00+0530,Long,6673.5,6694.8,21.300000000000182,14.605200000000181,15 min,ST_Stop,6673.5,6694.8,6694.8,6707.95,6673.344321956526,6637.740660938714,-11.386825994542104,-26.532258924646754,6724.42
18,2024-06-20 13:30:00+0530,2024-06-20 13:45:00+0530,Long,7228.05,7227.0,-1.050000000000182,-8.277000000000182,15 min,ST_Stop,7228.05,7226.6,7227.0,7224.9,7220.2747671132265,7207.182735919619,-15.487340032622663,-46.884319649394726,7254.179999999999
19,2024-06-27 15:30:00+0530,2024-06-28 09:15:00+0530,Long,7173.5,7165.0,-8.5,-15.665,15 min,ST_Stop,7173.5,7170.0,7165.0,7118.05,7161.184817911676,7140.559905754711,-6.249267385416969,12.38321026300452,7185.674999999999
22,2024-07-03 09:15:00+0530,2024-07-03 09:30:00+0530,Short,7189.95,7185.5,4.449999999999818,-2.735500000000182,15 min,ST_Stop,7189.95,7185.5,7185.5,7233.95,7179.038962145054,7180.334177717386,-25.444099052158588,-14.585838442114255,7147.14
