Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-06-05 15:00:00+0530,2024-06-05 16:00:00+0530,Long,6808.0,6835.0,27.0,20.165,1 hour,ST_Stop,6808.0,6834.2,6835.0,6836.0,6800.036120562105,6742.624637857539,10.573767900666986,-3.931193762798747,6848.305
9,2024-07-18 12:00:00+0530,2024-07-18 13:00:00+0530,Short,7013.0,6997.95,15.050000000000182,8.052050000000182,1 hour,ST_Stop,7013.0,6996.0,6997.95,7006.45,7013.642026773777,7039.931637418478,9.411258843604402,-3.0357594661922125,6955.04
10,2024-07-19 12:00:00+0530,2024-07-19 13:00:00+0530,Short,7022.45,6987.8,34.649999999999636,27.662199999999636,1 hour,ST_Stop,7022.45,6987.8,6987.8,6970.7,7011.35071895917,7040.519347388703,15.49246994256123,9.962949411495666,6965.065
12,2024-08-01 14:00:00+0530,2024-08-01 15:00:00+0530,Short,6780.6,6784.25,-3.649999999999636,-10.434249999999636,1 hour,ST_Stop,6780.6,6784.25,6784.25,6774.75,6789.543052596706,6804.756591040754,45.35848519677928,37.94675714879228,6745.2300000000005
13,2024-09-06 11:00:00+0530,2024-09-06 12:00:00+0530,Long,7351.3,7325.0,-26.300000000000182,-33.625000000000185,1 hour,ST_Stop,7351.3,7323.0,7325.0,7350.0,7308.188671141388,7252.538538095631,30.07727844148458,46.44465617721155,7354.999999999999
19,2024-10-10 13:00:00+0530,2024-10-10 14:00:00+0530,Short,7302.5,7306.0,-3.5,-10.806000000000001,1 hour,ST_Stop,7302.5,7306.0,7306.0,7348.0,7313.912499431333,7335.252007907183,-47.453443086615046,-55.425199127756024,7189.115
23,2024-10-31 12:00:00+0530,2024-10-31 13:00:00+0530,Short,6930.05,6920.4,9.650000000000546,2.7296000000005454,1 hour,ST_Stop,6930.05,6920.45,6920.4,6900.5,6933.258323519458,6951.005452177269,5.644128122486435,26.66325069898886,6818.335
27,2024-11-27 11:00:00+0530,2024-11-27 12:00:00+0530,Long,6701.95,6699.1,-2.8499999999994543,-9.549099999999456,1 hour,ST_Stop,6701.95,6699.1,6699.1,6700.05,6682.9999073624695,6651.289334947021,8.284718144020871,1.7946815714800723,6737.4400000000005
30,2025-01-10 13:00:00+0530,2025-01-10 14:00:00+0530,Long,7321.9,7284.6,-37.29999999999927,-44.58459999999927,1 hour,ST_Stop,7321.9,7284.6,7284.6,7299.7,7295.4057479460835,7295.638675387551,-39.66654539268415,8.453193380110992,7404.96
33,2025-01-16 15:00:00+0530,2025-01-16 16:00:00+0530,Long,7280.85,7251.45,-29.400000000000546,-36.65145000000055,1 hour,ST_Stop,7280.85,7251.45,7251.45,7253.05,7256.666610368811,7245.087938956533,-9.131231325549178,-23.256008813319426,7336.415000000001
43,2025-03-03 14:00:00+0530,2025-03-03 15:00:00+0530,Long,8602.05,8612.35,10.300000000001091,1.6876500000010903,1 hour,ST_Stop,8602.05,8612.35,8612.35,8602.25,8581.894875639111,8536.388665334214,21.92911416450747,32.87450142478358,8717.725
45,2025-03-10 11:00:00+0530,2025-03-10 12:00:00+0530,Long,8525.0,8552.85,27.850000000000364,19.297150000000364,1 hour,ST_Stop,8525.0,8554.0,8552.85,8535.0,8513.494690973344,8451.621532497695,5.082836277354267,-15.275098826796697,8564.43
49,2025-04-04 14:00:00+0530,2025-04-04 15:00:00+0530,Long,8780.0,8717.0,-63.0,-71.71700000000001,1 hour,ST_Stop,8780.0,8716.9,8717.0,8718.0,8727.27866437328,8716.006002346048,-33.593180127592575,-56.917428054905336,8780.884999999998
