Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
3,2024-05-08 10:00:00+0530,2024-05-08 10:30:00+0530,Short,1279.35,1275.15,4.199999999999818,2.924849999999818,30 min,ST_Stop,1279.35,1275.15,1275.15,1279.25,1279.0549876982773,1284.3789013642681,-7.237688871033656,-16.391688196323695,1272.945
4,2024-05-09 13:00:00+0530,2024-05-09 13:30:00+0530,Long,1289.75,1284.35,-5.400000000000091,-6.684350000000091,30 min,SMI_Exit,1289.75,1284.35,1284.35,1278.65,1285.8974729633096,1285.4156101622796,2.6830326907533926,8.63209293444514,1301.72
6,2024-05-10 10:30:00+0530,2024-05-10 11:00:00+0530,Long,1294.55,1297.75,3.2000000000000455,1.9022500000000457,30 min,ST_Stop,1294.55,1297.7,1297.75,1293.5,1292.7158104412629,1285.141483982509,6.87706981882773,-3.0108190604759613,1301.675
7,2024-05-13 11:30:00+0530,2024-05-13 12:00:00+0530,Short,1286.3,1289.4,-3.1000000000001364,-4.389400000000137,30 min,ST_Stop,1286.3,1289.2,1289.4,1291.15,1289.3020848330825,1291.5968747507732,24.213446198764927,32.46128009964198,1280.1349999999998
15,2024-06-05 13:30:00+0530,2024-06-05 14:00:00+0530,Long,1332.5,1330.55,-1.9500000000000455,-3.280550000000045,30 min,ST_Stop,1332.5,1330.6,1330.55,1341.05,1330.1210540715,1328.0367079991463,-3.094964595814273,-17.579956207248827,1358.69
16,2024-06-18 10:00:00+0530,2024-06-18 10:30:00+0530,Long,1436.35,1435.5,-0.849999999999909,-2.2854999999999093,30 min,ST_Stop,1436.35,1435.4,1435.5,1431.95,1433.5456395219117,1430.288767647,-44.23464046539036,-26.58515972062231,1437.15
20,2024-07-04 15:30:00+0530,2024-07-05 09:30:00+0530,Short,1420.8,1422.5,-1.7000000000000455,-3.122500000000046,30 min,ST_Stop,1420.8,1424.45,1422.5,1420.4,1424.3343615103063,1426.773215779165,-50.53519412783306,-59.38980795786887,1408.2999999999997
29,2024-08-13 10:00:00+0530,2024-08-13 10:30:00+0530,Long,1474.05,1469.0,-5.0499999999999545,-6.518999999999954,30 min,ST_Stop,1474.05,1469.0,1469.0,1470.85,1467.656960328302,1461.5169455802156,25.139024345572448,25.011203966771745,1477.3799999999999
40,2024-11-07 11:00:00+0530,2024-11-07 11:30:00+0530,Short,1581.8,1584.6,-2.7999999999999545,-4.3845999999999545,30 min,ST_Stop,1581.8,1584.6,1584.6,1589.8,1586.6034132198463,1591.9085042582465,-1.6910257470891081,-22.22541549555546,1580.9550000000002
43,2024-11-27 13:00:00+0530,2024-11-27 13:30:00+0530,Long,1576.1,1576.9,0.8000000000001819,-0.7768999999998183,30 min,ST_Stop,1576.1,1576.9,1576.9,1576.05,1574.1256040513792,1569.284019530405,-1.2739501182140074,16.564864601474667,1583.84
