Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-05-10 11:00:00+0530,2024-05-10 12:00:00+0530,Long,5106.2,5056.6,-49.599999999999454,-54.65659999999946,1 hour,ST_Stop,5106.2,5056.6,5056.6,5072.1,5075.2587158916895,5086.6206344908915,49.77179031618542,76.10289300222156,5183.58
5,2024-05-13 12:00:00+0530,2024-05-13 13:00:00+0530,Long,5137.1,5142.2,5.099999999999454,-0.04220000000054558,1 hour,ST_Stop,5137.1,5142.2,5142.2,5155.6,5123.3978856089525,5088.371519811932,45.38754837490697,57.52296018620627,5183.58
7,2024-05-14 15:00:00+0530,2024-05-14 16:00:00+0530,Long,5132.8,5150.0,17.199999999999818,12.04999999999982,1 hour,ST_Stop,5132.8,5150.15,5150.0,5134.05,5132.808689341415,5104.26848212707,15.720693830719501,37.98658126201744,5183.58
9,2024-05-16 16:00:00+0530,2024-05-17 10:00:00+0530,Long,5137.75,5139.9,2.149999999999636,-2.9899000000003637,1 hour,ST_Stop,5137.75,5142.8,5139.9,5094.05,5117.114766195353,5088.549029302307,-4.117026728936443,-3.7321015172623877,5154.1900000000005
11,2024-05-21 10:00:00+0530,2024-05-21 11:00:00+0530,Long,5046.0,5093.9,47.899999999999636,42.80609999999963,1 hour,ST_Stop,5046.0,5093.9,5093.9,5111.0,5094.925178108493,5089.2499421608545,0.8948787142508215,0.7294262199813071,5154.1900000000005
13,2024-05-28 11:00:00+0530,2024-05-28 12:00:00+0530,Long,5241.25,5244.3,3.050000000000182,-2.194299999999818,1 hour,ST_Stop,5241.25,5244.3,5244.3,5238.35,5234.530279274624,5213.942677277726,39.53232231143012,45.5005770672648,5274.919999999999
14,2024-06-12 13:00:00+0530,2024-06-12 14:00:00+0530,Short,5458.05,5446.3,11.75,6.303699999999999,1 hour,ST_Stop,5458.05,5446.3,5446.3,5442.85,5458.274893220523,5478.210084591013,7.279360595002782,24.115432291788018,5435.955000000001
19,2024-07-30 16:00:00+0530,2024-07-31 10:00:00+0530,Short,5848.05,5897.0,-48.94999999999982,-54.846999999999824,1 hour,ST_Stop,5848.05,5836.0,5897.0,5846.4,5851.024661682592,5869.954964921938,-31.513979921658997,-27.32410913397594,5812.365
21,2024-08-08 12:00:00+0530,2024-08-08 13:00:00+0530,Short,5790.65,5767.2,23.449999999999818,17.682799999999816,1 hour,ST_Stop,5790.65,5767.2,5767.2,5754.75,5789.532552096672,5814.496996206249,26.26213778344586,12.829739734564104,5718.235
24,2024-09-05 14:00:00+0530,2024-09-05 15:00:00+0530,Short,5851.15,5851.9,-0.75,-6.6019,1 hour,ST_Stop,5851.15,5851.9,5851.9,5848.75,5858.798600224538,5875.82567530464,50.036166499746905,59.026083440860766,5837.825
25,2024-09-09 12:00:00+0530,2024-09-09 13:00:00+0530,Long,5906.6,5916.65,10.049999999999272,4.133349999999272,1 hour,ST_Stop,5906.6,5916.65,5916.65,5911.7,5901.842467919976,5873.906535788799,15.957776494316366,28.325483263247456,5951.14
29,2024-10-29 11:00:00+0530,2024-10-29 12:00:00+0530,Short,5636.35,5652.65,-16.299999999999272,-21.952649999999274,1 hour,ST_Stop,5636.35,5652.65,5652.65,5666.1,5670.240476299978,5717.148510069367,-27.19345241799678,-49.99901198985897,5633.79
32,2024-11-07 11:00:00+0530,2024-11-07 12:00:00+0530,Short,5627.0,5646.4,-19.399999999999636,-25.046399999999636,1 hour,ST_Stop,5627.0,5646.4,5646.4,5668.5,5652.29965138207,5663.380370169303,-10.902752341446,-15.49968601765027,5582.514999999999
36,2024-11-28 13:00:00+0530,2024-11-28 14:00:00+0530,Short,4922.55,4925.0,-2.449999999999818,-7.374999999999819,1 hour,ST_Stop,4922.55,4925.75,4925.0,4928.1,4935.866694745856,4952.151578740149,49.08385050435669,41.855648697741145,4920.34
40,2025-01-08 11:00:00+0530,2025-01-08 12:00:00+0530,Short,4789.9,4797.85,-7.950000000000728,-12.747850000000728,1 hour,ST_Stop,4789.9,4797.0,4797.85,4791.25,4804.735340028121,4817.259124362019,27.101724184164283,43.35654237619242,4765.575000000001
41,2025-01-20 12:00:00+0530,2025-01-20 13:00:00+0530,Long,4883.4,4876.65,-6.75,-11.626649999999998,1 hour,ST_Stop,4883.4,4878.45,4876.65,4872.8,4873.217099114082,4862.6749033593815,-9.065708991826456,-20.184666927802343,4940.6449999999995
