Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
3,2024-05-16 11:00:00+0530,2024-05-16 12:00:00+0530,Short,3833.2,3868.85,-35.65000000000009,-39.518850000000086,1 hour,ST_Stop,3833.2,3868.85,3868.85,3865.1,3866.1931043056466,3880.2050729018574,34.64467505308286,22.29625626988007,3815.795
6,2024-06-04 13:00:00+0530,2024-06-04 14:00:00+0530,Short,4320.45,4310.7,9.75,5.439299999999999,1 hour,SMI_Exit,4320.45,4310.7,4310.7,4342.55,4321.425851442631,4338.92192603696,-0.9926092239159063,34.062786936289065,4455.205
12,2024-06-24 11:00:00+0530,2024-06-24 12:00:00+0530,Short,4499.15,4531.0,-31.850000000000364,-36.38100000000037,1 hour,ST_Stop,4499.15,4530.0,4531.0,4546.2,4523.230170730814,4523.675283375991,-8.979298654773917,-8.381135170566893,4464.880000000001
14,2024-06-25 10:00:00+0530,2024-06-25 11:00:00+0530,Short,4515.0,4500.2,14.800000000000182,10.299800000000182,1 hour,SMI_Exit,4515.0,4500.2,4500.2,4584.85,4510.439533917668,4524.134391798679,-5.667898050270636,-5.792446983695612,4464.880000000001
20,2024-07-15 14:00:00+0530,2024-07-15 15:00:00+0530,Long,4590.9,4597.9,7.0,2.4021000000000003,1 hour,ST_Stop,4590.9,4598.3,4597.9,4589.3,4585.912885138837,4562.343795736143,10.078612520567821,2.727231209290411,4634.2
22,2024-07-18 16:00:00+0530,2024-07-19 10:00:00+0530,Long,4590.0,4580.0,-10.0,-14.579999999999998,1 hour,SMI_Exit,4590.0,4588.0,4580.0,4551.25,4580.812478834307,4567.864275763429,1.6863724363417558,4.867107885862385,4628.695
24,2024-07-25 11:00:00+0530,2024-07-25 12:00:00+0530,Short,4497.3,4493.0,4.300000000000182,-0.19299999999981843,1 hour,ST_Stop,4497.3,4493.0,4493.0,4506.5,4507.218590605969,4531.653137882503,21.464080968500838,10.482655784866042,4423.5199999999995
27,2024-08-06 11:00:00+0530,2024-08-06 12:00:00+0530,Long,4944.8,4931.1,-13.699999999999818,-18.63109999999982,1 hour,ST_Stop,4944.8,4931.1,4931.1,4918.35,4913.7169171574615,4892.625422144199,11.93797704645738,43.26171073673375,5039.83
29,2024-08-07 12:00:00+0530,2024-08-07 13:00:00+0530,Long,4921.9,4918.6,-3.2999999999992724,-8.218599999999274,1 hour,ST_Stop,4921.9,4918.6,4918.6,4931.05,4904.161589520147,4886.511125433447,-5.224629959428891,15.352251557531316,4983.820000000001
31,2024-09-19 11:00:00+0530,2024-09-19 12:00:00+0530,Long,5473.7,5479.25,5.550000000000182,0.0707500000001815,1 hour,ST_Stop,5473.7,5479.25,5479.25,5476.0,5470.212879152436,5454.089115504719,-6.307047292062886,32.75835129249406,5526.664999999999
33,2024-09-20 13:00:00+0530,2024-09-20 14:00:00+0530,Long,5481.0,5493.45,12.449999999999818,6.956549999999819,1 hour,ST_Stop,5481.0,5493.15,5493.45,5489.95,5479.232837654595,5457.210773143673,-12.169723725099598,2.9255610405037284,5526.664999999999
36,2024-10-07 15:00:00+0530,2024-10-07 16:00:00+0530,Short,5412.45,5412.65,-0.1999999999998181,-5.612649999999818,1 hour,ST_Stop,5412.45,5412.65,5412.65,5403.0,5419.50964916514,5431.857143508114,34.869461667997214,31.713517426422538,5318.85
47,2024-12-23 16:00:00+0530,2024-12-24 10:00:00+0530,Short,5850.1,5860.0,-9.899999999999636,-15.759999999999636,1 hour,ST_Stop,5850.1,5850.7,5860.0,5829.1,5858.575827668516,5872.672043660637,2.193715161262972,-15.302698712584155,5800.23
50,2025-01-16 11:00:00+0530,2025-01-16 12:00:00+0530,Long,5895.2,5902.55,7.350000000000364,1.4474500000003627,1 hour,ST_Stop,5895.2,5902.55,5902.55,5936.75,5890.047774295983,5866.5144787249665,31.884377896762967,6.518682652680815,6071.1849999999995
54,2025-01-31 14:00:00+0530,2025-01-31 15:00:00+0530,Short,5596.65,5573.25,23.399999999999636,17.826749999999635,1 hour,ST_Stop,5596.65,5573.25,5573.25,5603.0,5595.254964110777,5630.786928488309,-2.2068158925133052,-20.960573483191784,5549.21
55,2025-02-03 11:00:00+0530,2025-02-03 12:00:00+0530,Short,5593.85,5574.75,19.100000000000364,13.525250000000362,1 hour,ST_Stop,5593.85,5574.75,5574.75,5584.4,5589.400612775445,5609.726232442031,7.72096227629956,-5.267532304103671,5549.21
60,2025-02-19 13:00:00+0530,2025-02-19 14:00:00+0530,Long,5929.8,5948.8,19.0,13.051200000000001,1 hour,ST_Stop,5929.8,5948.0,5948.8,5929.15,5928.968851307957,5900.533556489776,-30.53018609047119,-39.13114904415684,5954.7
63,2025-03-10 15:00:00+0530,2025-03-10 16:00:00+0530,Short,5543.05,5526.0,17.050000000000182,11.524000000000182,1 hour,ST_Stop,5543.05,5525.85,5526.0,5499.9,5541.757152639653,5565.3456397456885,39.579679956041005,24.666759238360164,5484.525000000001
64,2025-03-12 10:00:00+0530,2025-03-12 11:00:00+0530,Short,5525.0,5503.0,22.0,16.497,1 hour,ST_Stop,5525.0,5502.4,5503.0,5510.35,5525.065150688749,5554.656631412792,14.713892117934396,25.486464218337037,5484.525000000001
