Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-02 13:24:00+0530,2024-05-02 13:27:00+0530,Long,3977.85,3980.45,2.599999999999909,-1.3804500000000908,3 min,ST_Stop,3977.85,3980.45,3980.45,3979.4,3974.783189320051,3964.8331145091693,23.440355346803774,26.54123565893708,3983.8749999999995
3,2024-05-06 09:21:00+0530,2024-05-06 09:24:00+0530,Long,3959.2,3941.75,-17.449999999999818,-21.391749999999817,3 min,ST_Stop,3959.2,3939.0,3941.75,3955.45,3944.7826850514034,3943.6811086945368,45.57808287852695,65.78857172180403,3970.98
4,2024-05-06 09:48:00+0530,2024-05-06 09:51:00+0530,Short,3935.75,3930.7,5.050000000000182,1.119300000000182,3 min,ST_Stop,3935.75,3930.7,3930.7,3930.0,3937.765688837991,3948.9786803422626,3.1792192971706115,51.41338566285428,3922.2349999999997
7,2024-05-09 14:27:00+0530,2024-05-09 14:30:00+0530,Long,3790.7,3789.85,-0.849999999999909,-4.6398499999999085,3 min,ST_Stop,3790.7,3789.85,3789.85,3790.0,3787.6148605864073,3781.3978020780146,-5.005526825796738,-50.09050961210644,3795.9950000000003
8,2024-05-09 15:09:00+0530,2024-05-09 15:12:00+0530,Long,3793.65,3795.05,1.400000000000091,-2.3950499999999093,3 min,ST_Stop,3793.65,3795.0,3795.05,3794.7,3791.960938407018,3785.6846868770394,49.864133556865156,11.693595522152561,3795.9950000000003
15,2024-05-23 10:45:00+0530,2024-05-23 10:48:00+0530,Short,4041.0,4041.3,-0.3000000000001819,-4.3413000000001825,3 min,ST_Stop,4041.0,4040.2,4041.3,4041.05,4043.8352131843603,4051.091558931793,-8.534481201727873,8.639326933621728,4034.965
18,2024-05-27 11:51:00+0530,2024-05-27 11:54:00+0530,Short,4272.95,4276.0,-3.050000000000182,-7.326000000000182,3 min,ST_Stop,4272.95,4276.0,4276.0,4282.9,4277.8134656633465,4283.5691734735,-12.150701507598692,13.291246506719107,4271.990000000001
23,2024-05-31 09:39:00+0530,2024-05-31 09:42:00+0530,Short,4412.2,4411.1,1.0999999999994543,-3.311100000000546,3 min,ST_Stop,4412.2,4410.9,4411.1,4412.0,4414.846669151056,4423.416509906758,0.7321890426129091,-5.402248390585495,4398.150000000001
48,2024-07-29 15:18:00+0530,2024-07-29 15:21:00+0530,Short,4905.75,4905.3,0.4499999999998181,-4.455300000000182,3 min,SMI_Exit,4905.75,4905.4,4905.3,4920.0,4908.108145288657,4915.557262962161,-2.645333245256323,27.771340377149652,4929.254999999999
58,2024-08-09 09:18:00+0530,2024-08-09 09:21:00+0530,Long,4880.0,4865.0,-15.0,-19.865000000000002,3 min,ST_Stop,4880.0,4865.0,4865.0,4847.1,4862.267129382959,4853.581343249665,-41.69483968550655,-65.84487136444673,4850.125
