Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-14 00:00:00+0530,2024-05-15 00:00:00+0530,Long,4679.0,4674.95,-4.050000000000182,-8.724950000000181,1 day,ST_Stop,4679.0,4667.35,4674.95,4730.65,4645.546875,4615.375450396864,,,
3,2024-06-11 00:00:00+0530,2024-06-12 00:00:00+0530,Long,4769.6,4810.0,40.399999999999636,35.589999999999634,1 day,ST_Stop,4769.6,4779.8,4810.0,4757.1,4742.87703628242,4689.017370093156,,,4904.910000000001
4,2024-06-29 00:00:00+0530,2024-07-02 00:00:00+0530,Short,4713.8,4640.0,73.80000000000018,69.1600000000002,1 day,ST_Stop,4713.8,4667.9,4640.0,4630.0,4707.466476688999,4756.688396525315,29.486731254180675,33.53512187369596,4581.62
6,2024-08-06 00:00:00+0530,2024-08-07 00:00:00+0530,Short,4612.15,4687.0,-74.85000000000036,-79.53700000000038,1 day,ST_Stop,4612.15,4659.95,4687.0,4669.0,4749.688225625947,4839.204557382611,34.094652717083264,57.10972976915513,4652.295
7,2024-08-22 00:00:00+0530,2024-08-23 00:00:00+0530,Long,4890.0,4932.2,42.19999999999982,37.26779999999982,1 day,ST_Stop,4890.0,4915.0,4932.2,4934.95,4876.605414172669,4812.208526387897,8.605001873830847,17.149370636291046,4987.195000000001
9,2024-09-17 00:00:00+0530,2024-09-18 00:00:00+0530,Long,4884.95,4898.5,13.550000000000182,8.651500000000183,1 day,ST_Stop,4884.95,4901.1,4898.5,4850.0,4867.547727796227,4833.491852697337,11.311508449473086,15.48387639104106,4987.195000000001
11,2024-10-31 00:00:00+0530,2024-11-01 00:00:00+0530,Long,4850.1,4869.0,18.899999999999636,14.030999999999636,1 day,ST_Stop,4850.1,4866.2,4869.0,4909.95,4821.14328098304,4774.860615859579,-19.991646503249047,-20.729747373714464,4917.51
12,2024-11-14 00:00:00+0530,2024-11-15 00:00:00+0530,Short,4700.0,4725.45,-25.449999999999818,-30.17544999999982,1 day,ST_Stop,4700.0,4598.8,4725.45,4890.95,4682.68944000192,4786.318145668195,-13.845167235640195,-8.683275936481996,4523.44
15,2024-12-12 00:00:00+0530,2024-12-13 00:00:00+0530,Short,4822.0,4801.95,20.050000000000182,15.248050000000184,1 day,ST_Stop,4822.0,4803.35,4801.95,4802.7,4819.467546231995,4840.609018780369,17.577070256509977,16.33323754458263,4620.745
18,2025-03-08 00:00:00+0530,2025-03-11 00:00:00+0530,Long,5094.4,5123.0,28.600000000000364,23.477000000000366,1 day,ST_Stop,5094.4,5130.0,5123.0,4972.5,5066.351403934217,4998.653399421659,-28.49455538777374,-22.02478941342064,5147.56
