Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
6,2024-07-11 11:00:00+0530,2024-07-11 12:00:00+0530,Long,1526.5,1518.95,-7.5499999999999545,-9.068949999999955,1 hour,ST_Stop,1526.5,1518.95,1518.95,1520.35,1518.1580393354366,1514.8564503728192,17.760444406628643,41.821322446392436,1535.08
7,2024-07-23 15:00:00+0530,2024-07-23 16:00:00+0530,Long,1592.05,1593.95,1.900000000000091,0.30605000000009097,1 hour,ST_Stop,1592.05,1594.0,1593.95,1596.0,1588.426950474199,1579.784723783287,-11.628444524418663,7.656620897109629,1598.1499999999999
8,2024-07-25 14:00:00+0530,2024-07-25 15:00:00+0530,Long,1592.4,1589.7,-2.7000000000000455,-4.289700000000046,1 hour,ST_Stop,1592.4,1589.7,1589.7,1589.85,1588.6736483093841,1583.9536662976857,8.370948979646998,5.113151877660099,1598.1499999999999
11,2024-08-12 11:00:00+0530,2024-08-12 12:00:00+0530,Short,1577.6,1587.5,-9.900000000000091,-11.48750000000009,1 hour,ST_Stop,1577.6,1587.5,1587.5,1595.0,1586.0329474285018,1590.1371884615037,3.480889058133058,-8.70777906095686,1553.725
13,2024-08-13 15:00:00+0530,2024-08-13 16:00:00+0530,Short,1582.2,1593.6,-11.399999999999864,-12.993599999999862,1 hour,ST_Stop,1582.2,1593.6,1593.6,1594.0,1591.2235512438615,1591.4763830643274,26.30691677441186,14.889397473761631,1569.955
15,2024-09-05 16:00:00+0530,2024-09-06 10:00:00+0530,Long,1788.3,1788.0,-0.2999999999999545,-2.087999999999955,1 hour,ST_Stop,1788.3,1794.6,1788.0,1764.05,1787.5807315319466,1777.8162362239593,36.64582744386093,52.90143791444954,1804.195
18,2024-09-24 16:00:00+0530,2024-09-25 10:00:00+0530,Long,1775.55,1778.8,3.25,1.4711999999999998,1 hour,ST_Stop,1775.55,1779.05,1778.8,1775.8,1772.6146042563387,1759.565609647058,-25.09404129255738,-40.92303915076964,1779.105
20,2024-10-04 13:00:00+0530,2024-10-04 14:00:00+0530,Long,1800.4,1782.0,-18.40000000000009,-20.182000000000087,1 hour,ST_Stop,1800.4,1781.45,1782.0,1784.45,1788.8675912263602,1793.4867834097113,-11.209706390277384,20.636856944790864,1821.03
29,2024-12-19 11:00:00+0530,2024-12-19 12:00:00+0530,Short,1939.1,1941.9,-2.800000000000182,-4.741900000000182,1 hour,ST_Stop,1939.1,1941.9,1941.9,1935.2,1945.5284860077268,1950.824052887223,22.545199102420796,38.38034562519637,1929.3149999999998
32,2025-01-21 16:00:00+0530,2025-01-22 10:00:00+0530,Short,1797.7,1808.2,-10.5,-12.3082,1 hour,ST_Stop,1797.7,1808.0,1808.2,1811.6,1806.1188934751915,1808.7032649904513,-33.63031191973204,-63.53747829235402,1771.925
33,2025-01-24 10:00:00+0530,2025-01-24 11:00:00+0530,Short,1800.0,1799.8,0.20000000000004547,-1.5997999999999546,1 hour,ST_Stop,1800.0,1800.0,1799.8,1805.4,1805.49035091838,1812.8602340909097,42.22768486311311,12.949611781341428,1792.3149999999998
37,2025-02-18 16:00:00+0530,2025-02-19 10:00:00+0530,Long,1725.0,1723.2,-1.7999999999999545,-3.523199999999955,1 hour,ST_Stop,1725.0,1725.05,1723.2,1721.2,1721.450583395193,1714.3437965601079,-20.08059218094587,-36.10781445850725,1738.285
38,2025-03-07 11:00:00+0530,2025-03-07 12:00:00+0530,Short,1571.75,1570.05,1.7000000000000455,0.12995000000004553,1 hour,ST_Stop,1571.75,1570.1,1570.05,1566.45,1573.9063792090988,1578.947654770681,-11.075491760115934,-37.894708207267946,1555.7849999999999
39,2025-03-18 11:00:00+0530,2025-03-18 12:00:00+0530,Long,1548.0,1550.05,2.0499999999999545,0.4999499999999547,1 hour,ST_Stop,1548.0,1551.2,1550.05,1552.5,1547.844635436028,1542.3015249820166,-7.439074349872893,-29.247404171739046,1556.37
40,2025-03-19 12:00:00+0530,2025-03-19 13:00:00+0530,Short,1535.15,1531.75,3.400000000000091,1.8682500000000912,1 hour,ST_Stop,1535.15,1531.75,1531.75,1530.8,1535.993143107172,1543.799069219279,4.981931625612423,-5.80340715033121,1528.62
