Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
11,2024-05-23 09:18:00+0530,2024-05-23 09:21:00+0530,Long,1347.7,1345.0,-2.7000000000000455,-4.045000000000045,3 min,SMI_Exit,1347.7,1345.0,1345.0,1343.6,1344.8869717708278,1343.3941076117774,3.281272599060945,-2.195629813913174,1340.875
12,2024-05-31 09:18:00+0530,2024-05-31 09:21:00+0530,Short,1327.3,1331.05,-3.75,-5.081049999999999,3 min,ST_Stop,1327.3,1331.05,1331.05,1333.6,1331.0848200218315,1332.5443434724284,-6.1775202682118735,-20.891016801708638,1324.275
20,2024-06-04 14:54:00+0530,2024-06-04 14:57:00+0530,Short,1297.2,1297.8,-0.599999999999909,-1.8977999999999091,3 min,ST_Stop,1297.2,1297.8,1297.8,1300.6,1298.733616987206,1301.0037171760043,16.36999713947218,53.462891212164166,1292.41
22,2024-06-10 09:18:00+0530,2024-06-10 09:21:00+0530,Long,1435.7,1422.7,-13.0,-14.422699999999999,3 min,SMI_Exit,1435.7,1423.2,1422.7,1417.65,1427.916346057767,1429.828762364984,4.254504985606461,28.013836596412144,1447.165
34,2024-07-16 09:51:00+0530,2024-07-16 09:54:00+0530,Long,1574.7,1576.4,1.7000000000000455,0.12360000000004545,3 min,ST_Stop,1574.7,1576.4,1576.4,1574.95,1573.8199219557735,1569.6363736429962,0.821836979283137,-34.94386611939992,1577.7150000000001
37,2024-07-19 09:15:00+0530,2024-07-19 09:18:00+0530,Short,1610.5,1609.4,1.099999999999909,-0.5094000000000911,3 min,ST_Stop,1610.5,1607.75,1609.4,1609.0,1599.4599268145796,1593.8289214434276,30.76647761845562,51.332982985204616,1593.4
57,2024-09-20 10:39:00+0530,2024-09-20 10:42:00+0530,Long,1750.0,1751.2,1.2000000000000455,-0.5511999999999546,3 min,ST_Stop,1750.0,1751.25,1751.2,1747.5,1748.399250269467,1743.5610803729478,6.334475104438851,15.3754686345307,1755.17
69,2024-10-08 14:54:00+0530,2024-10-08 14:57:00+0530,Long,1780.6,1778.0,-2.599999999999909,-4.3779999999999095,3 min,ST_Stop,1780.6,1778.0,1778.0,1782.85,1777.5667606815655,1775.492685000068,50.162487420173726,54.66884813569861,1783.195
74,2024-10-15 10:06:00+0530,2024-10-15 10:09:00+0530,Short,1856.75,1859.15,-2.400000000000091,-4.259150000000091,3 min,ST_Stop,1856.75,1859.15,1859.15,1857.7,1859.3858951077214,1861.7818746947225,21.985870857378465,38.10075507274493,1853.9049999999997
77,2024-10-18 09:27:00+0530,2024-10-18 09:30:00+0530,Short,1862.95,1862.65,0.2999999999999545,-1.5626500000000456,3 min,ST_Stop,1862.95,1863.45,1862.65,1867.0,1864.2560762500743,1867.1002554073423,-4.969345290869725,5.144497797482113,1854.9149999999997
78,2024-10-21 09:18:00+0530,2024-10-21 09:21:00+0530,Long,1876.95,1872.3,-4.650000000000091,-6.52230000000009,3 min,SMI_Exit,1876.95,1872.3,1872.3,1866.25,1869.7758129085114,1860.9459222217406,1.9852138642358694,29.02394559439185,1857.3049999999998
84,2024-11-04 09:48:00+0530,2024-11-04 09:51:00+0530,Short,1768.6,1766.65,1.949999999999818,0.18334999999981794,3 min,ST_Stop,1768.6,1766.6,1766.65,1767.4,1768.9427375842122,1773.070923040403,-8.71034214878617,-20.182751162107326,1752.5749999999998
90,2024-11-29 09:18:00+0530,2024-11-29 09:21:00+0530,Short,1835.95,1847.4,-11.450000000000045,-13.297400000000046,3 min,ST_Stop,1835.95,1847.0,1847.4,1841.15,1843.1940279789405,1843.0376615000177,-37.98258537279545,-46.994491924532106,1834.2
96,2024-12-16 09:18:00+0530,2024-12-16 09:21:00+0530,Long,1974.35,1968.65,-5.699999999999818,-7.668649999999818,3 min,ST_Stop,1974.35,1968.8,1968.65,1972.45,1969.753512483317,1968.3269672078138,-26.124403426073584,4.782043425031316,1975.475
100,2024-12-20 10:21:00+0530,2024-12-20 10:24:00+0530,Long,1941.0,1937.55,-3.4500000000000455,-5.387550000000045,3 min,ST_Stop,1941.0,1937.55,1937.55,1934.5,1936.3951665133636,1933.1625856786002,-35.152375806604,-45.88894478623807,1948.66
