Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
6,2024-05-10 15:20:00+0530,2024-05-10 15:25:00+0530,Short,548.15,548.55,-0.39999999999997726,-0.9485499999999774,5 min,ST_Stop,548.15,548.55,548.55,548.55,548.722781981705,549.4527082858323,-15.602542840585278,-8.756457194183335,547.7099999999999
21,2024-06-04 10:10:00+0530,2024-06-04 10:15:00+0530,Long,550.05,550.4,0.35000000000002274,-0.20039999999997726,5 min,ST_Stop,550.05,550.75,550.4,550.3,549.5672809540432,547.9285508416937,11.06711096182623,-6.143374559593199,551.5100000000001
23,2024-06-04 15:10:00+0530,2024-06-04 15:15:00+0530,Short,531.5,534.95,-3.4500000000000455,-3.9849500000000457,5 min,ST_Stop,531.5,534.75,534.95,535.8,534.231001372422,534.8173971899882,48.13040456045631,31.382413173210114,526.935
41,2024-07-11 12:10:00+0530,2024-07-11 12:15:00+0530,Short,631.65,633.55,-1.8999999999999773,-2.533549999999977,5 min,ST_Stop,631.65,633.85,633.55,633.95,633.410652209936,633.6615880250738,20.22323483308924,14.767441773023135,631.065
44,2024-07-16 10:00:00+0530,2024-07-16 10:05:00+0530,Short,638.15,637.35,0.7999999999999545,0.16264999999995444,5 min,ST_Stop,638.15,637.35,637.35,639.95,638.5301462617515,640.5391382875434,-11.585630246187558,-3.7684784665517106,634.9449999999999
51,2024-07-29 09:20:00+0530,2024-07-29 09:25:00+0530,Long,708.0,700.8,-7.2000000000000455,-7.900800000000045,5 min,ST_Stop,708.0,700.8,700.8,702.0,703.2405652094384,704.0167144351152,-44.66044851043577,-7.674864504343553,711.21
59,2024-08-08 11:25:00+0530,2024-08-08 11:30:00+0530,Long,694.6,693.1,-1.5,-2.1931000000000003,5 min,ST_Stop,694.6,693.0,693.1,692.5,693.3931346106557,693.0660901399134,-15.735407772498293,1.3685693422497787,696.955
61,2024-08-09 09:35:00+0530,2024-08-09 09:40:00+0530,Long,711.3,709.9,-1.3999999999999773,-2.1098999999999775,5 min,ST_Stop,711.3,709.9,709.9,710.6,709.8905028827053,709.0885772469088,21.947590217424562,60.96891271470514,712.39
64,2024-08-28 09:20:00+0530,2024-08-28 09:25:00+0530,Long,741.65,739.55,-2.1000000000000227,-2.8395500000000222,5 min,SMI_Exit,741.65,739.6,739.55,736.6,739.8090045547747,738.84358593997,14.427049253328825,37.614098920482526,737.225
68,2024-09-25 09:25:00+0530,2024-09-25 09:30:00+0530,Short,717.7,717.35,0.35000000000002274,-0.3673499999999773,5 min,ST_Stop,717.7,717.35,717.35,718.05,718.384900044593,720.2145327443641,-18.192567481115297,-5.307227630850633,714.395
77,2024-10-09 09:25:00+0530,2024-10-09 09:30:00+0530,Short,705.95,707.85,-1.8999999999999773,-2.607849999999978,5 min,ST_Stop,705.95,707.35,707.85,711.25,707.0065943464547,707.5903721872967,13.246046902789272,31.906878336427557,711.215
81,2024-10-17 12:35:00+0530,2024-10-17 12:40:00+0530,Long,723.5,724.1,0.6000000000000227,-0.12409999999997734,5 min,ST_Stop,723.5,724.1,724.1,724.45,723.2095097527273,721.6800678584887,-27.467847317045,-50.77435468556046,724.665
82,2024-10-21 11:50:00+0530,2024-10-21 11:55:00+0530,Long,751.8,751.1,-0.6999999999999318,-1.4510999999999319,5 min,ST_Stop,751.8,751.25,751.1,751.0,750.7494471198529,749.4669330195509,35.01392420987488,41.1389376272423,752.9449999999999
84,2024-10-29 10:30:00+0530,2024-10-29 10:35:00+0530,Long,717.8,718.35,0.5500000000000682,-0.16834999999993183,5 min,ST_Stop,717.8,718.5,718.35,716.1,717.7302842486176,716.2733899255637,22.262401422608942,6.6254511019600315,719.72
86,2024-10-31 14:35:00+0530,2024-10-31 14:40:00+0530,Short,716.5,717.15,-0.6499999999999773,-1.3671499999999774,5 min,ST_Stop,716.5,717.15,717.15,717.65,717.4192380159441,718.3549652761587,-24.80302084205294,-12.321520033949685,716.0649999999999
89,2024-11-08 09:25:00+0530,2024-11-08 09:30:00+0530,Short,709.05,712.35,-3.300000000000068,-4.012350000000068,5 min,SMI_Exit,709.05,712.1,712.35,716.0,711.303160980081,711.5163724596845,-9.005770584326966,13.899162233577865,715.825
99,2024-11-26 11:25:00+0530,2024-11-26 11:30:00+0530,Short,685.8,685.3,0.5,-0.18530000000000002,5 min,ST_Stop,685.8,685.2,685.3,687.7,686.2546035076034,687.9509954433832,44.251058333940136,51.965347487681974,684.42
128,2025-01-24 13:15:00+0530,2025-01-24 13:20:00+0530,Long,622.65,622.6,-0.049999999999954525,-0.6725999999999546,5 min,ST_Stop,622.65,622.6,622.6,622.35,622.194224075568,621.2089428490868,47.567127617128584,38.789916919381994,624.625
135,2025-02-03 09:20:00+0530,2025-02-03 09:25:00+0530,Short,610.7,626.6,-15.899999999999977,-16.52659999999998,5 min,SMI_Exit,610.7,626.7,626.6,628.0,622.2699108271993,623.9249268782648,-4.737031439166928,-20.007451467270577,604.0
137,2025-02-03 09:40:00+0530,2025-02-03 09:45:00+0530,Short,619.55,619.8,-0.25,-0.8698000000000001,5 min,ST_Stop,619.55,619.7,619.8,616.95,620.9981194267,623.671931236416,6.856993272535927,-11.83714672197556,613.385
