Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
8,2024-06-18 16:00:00+0530,2024-06-19 10:00:00+0530,Short,5618.15,5633.45,-15.300000000000182,-20.933450000000178,1 hour,ST_Stop,5618.15,5626.8,5633.45,5575.55,5629.449248914885,5637.922602366109,30.266306352843515,63.573236940034384,5572.075
9,2024-07-02 14:00:00+0530,2024-07-02 15:00:00+0530,Short,5375.15,5443.75,-68.60000000000036,-74.04375000000036,1 hour,ST_Stop,5375.15,5443.75,5443.75,5437.65,5432.70991835297,5430.713418122283,13.47480660145491,13.31496561847922,5369.045000000001
11,2024-07-08 11:00:00+0530,2024-07-08 12:00:00+0530,Long,5459.05,5463.4,4.349999999999454,-1.1134000000005457,1 hour,SMI_Exit,5459.05,5463.4,5463.4,5396.6,5450.353121008275,5430.845867113848,0.43737073015040956,-4.400299449320752,5369.045000000001
13,2024-07-10 12:00:00+0530,2024-07-10 13:00:00+0530,Short,5375.05,5386.0,-10.949999999999818,-16.335999999999817,1 hour,ST_Stop,5375.05,5386.0,5386.0,5393.35,5392.647248935577,5417.601621532874,16.615265942320697,7.077534386003869,5369.045000000001
14,2024-07-12 11:00:00+0530,2024-07-12 12:00:00+0530,Long,5452.7,5414.0,-38.69999999999982,-44.11399999999982,1 hour,ST_Stop,5452.7,5414.0,5414.0,5402.6,5417.6476559141765,5404.2357040932075,16.053504045708692,7.676965781275728,5479.884999999999
15,2024-07-12 15:00:00+0530,2024-07-12 16:00:00+0530,Long,5428.05,5413.2,-14.850000000000364,-20.263200000000367,1 hour,ST_Stop,5428.05,5413.65,5413.2,5401.85,5413.977978494636,5405.446679638849,19.578032374641563,10.864748485444283,5479.884999999999
18,2024-07-24 11:00:00+0530,2024-07-24 12:00:00+0530,Short,5303.1,5330.25,-27.149999999999636,-32.480249999999636,1 hour,ST_Stop,5303.1,5330.25,5330.25,5355.85,5336.280253355311,5355.507552798381,-9.967660287382904,-23.44060390258325,5247.705000000001
19,2024-07-26 12:00:00+0530,2024-07-26 13:00:00+0530,Long,5358.0,5391.6,33.600000000000364,28.208400000000367,1 hour,ST_Stop,5358.0,5391.6,5391.6,5375.15,5362.960291450603,5323.264520247959,-24.993968565766394,-33.125299535219355,5392.919999999999
22,2024-07-31 10:00:00+0530,2024-07-31 11:00:00+0530,Short,5319.45,5353.85,-34.400000000000546,-39.75385000000054,1 hour,ST_Stop,5319.45,5354.35,5353.85,5279.75,5335.193406887611,5324.585653410056,-16.488670201791667,-24.872399415735703,5264.574999999999
23,2024-07-31 12:00:00+0530,2024-07-31 13:00:00+0530,Short,5279.75,5328.2,-48.44999999999982,-53.77819999999981,1 hour,ST_Stop,5279.75,5328.2,5328.2,5342.95,5317.835851721902,5322.11283508622,-16.756256273354694,-23.870102840610198,5264.574999999999
32,2024-09-27 11:00:00+0530,2024-09-27 12:00:00+0530,Long,5919.45,5874.65,-44.80000000000018,-50.674650000000184,1 hour,ST_Stop,5919.45,5874.25,5874.65,5838.85,5889.44214672289,5896.952199953963,-22.797949518051823,1.1881001789767878,5940.534999999999
33,2024-10-14 12:00:00+0530,2024-10-14 13:00:00+0530,Long,5399.5,5389.3,-10.199999999999818,-15.589299999999817,1 hour,ST_Stop,5399.5,5390.15,5389.3,5421.2,5389.510161619566,5381.77501922679,-14.872532455780728,-45.212963724695655,5426.444999999999
37,2024-11-06 12:00:00+0530,2024-11-06 13:00:00+0530,Long,4772.1,4797.55,25.449999999999818,20.652449999999817,1 hour,ST_Stop,4772.1,4797.6,4797.55,4778.5,4775.019936375692,4747.748016155837,-37.03327370929294,-49.68321139458181,4811.719999999999
