Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
7,2024-05-07 10:45:00+0530,2024-05-07 10:50:00+0530,Short,4387.25,4398.55,-11.300000000000182,-15.698550000000182,5 min,ST_Stop,4387.25,4398.55,4398.55,4383.8,4396.20817394886,4398.904800853162,21.78915779150001,34.63632887649172,4376.425
22,2024-06-05 12:20:00+0530,2024-06-05 12:25:00+0530,Long,5550.7,5522.45,-28.25,-33.77245,5 min,ST_Stop,5550.7,5522.4,5522.45,5501.05,5524.492160206601,5513.233310989874,60.33347597214841,79.7168506829808,5578.599999999999
27,2024-06-07 12:15:00+0530,2024-06-07 12:20:00+0530,Long,5461.0,5447.2,-13.800000000000182,-19.247200000000184,5 min,SMI_Exit,5461.0,5447.2,5447.2,5446.05,5448.8880173930065,5442.485503394973,0.617033357721018,1.409647650383412,5417.055
32,2024-06-14 09:20:00+0530,2024-06-14 09:25:00+0530,Long,5683.65,5665.35,-18.299999999999272,-23.965349999999276,5 min,SMI_Exit,5683.65,5661.35,5665.35,5654.7,5668.982622379649,5667.1865050045235,12.282171651016705,47.94587921670667,5654.525000000001
35,2024-06-21 11:55:00+0530,2024-06-21 12:00:00+0530,Short,5420.9,5428.6,-7.700000000000728,-13.128600000000727,5 min,ST_Stop,5420.9,5425.35,5428.6,5428.8,5426.484063128228,5432.658281396801,43.67654542126236,51.46620996011923,5418.070000000001
36,2024-06-24 11:20:00+0530,2024-06-24 11:25:00+0530,Short,5312.7,5322.15,-9.449999999999818,-14.772149999999819,5 min,ST_Stop,5312.7,5325.6,5322.15,5315.65,5324.076164236623,5328.81843249625,-12.242116841136339,-29.7746422511139,5291.475
40,2024-07-05 10:05:00+0530,2024-07-05 10:10:00+0530,Short,5417.4,5417.1,0.2999999999992724,-5.117100000000728,5 min,ST_Stop,5417.4,5417.1,5417.1,5416.95,5420.94519832414,5429.484993365017,8.17117972606532,7.88677564158328,5394.455
49,2024-07-22 09:30:00+0530,2024-07-22 09:35:00+0530,Long,5304.2,5310.95,6.75,1.43905,5 min,ST_Stop,5304.2,5308.15,5310.95,5301.2,5299.662531553295,5285.137094896562,51.79569907147617,29.537926961261096,5315.174999999999
54,2024-07-23 13:50:00+0530,2024-07-23 13:55:00+0530,Short,5371.3,5352.55,18.75,13.39745,5 min,ST_Stop,5371.3,5352.55,5352.55,5377.0,5368.167163711852,5388.204156226408,15.763514743198607,18.478160757053516,5323.094999999999
55,2024-07-23 14:35:00+0530,2024-07-23 14:40:00+0530,Short,5378.25,5377.0,1.25,-4.127,5 min,ST_Stop,5378.25,5377.0,5377.0,5391.35,5380.296615554125,5388.321446941901,16.21658443647647,18.11469948083095,5336.905
