Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-03 12:00:00+0530,2024-05-03 13:00:00+0530,Long,648.35,645.6,-2.75,-3.3956,1 hour,ST_Stop,648.35,645.4,645.6,643.5,646.0062309265136,645.653394540786,,,659.3950000000001
5,2024-06-03 10:00:00+0530,2024-06-03 11:00:00+0530,Short,715.0,702.35,12.649999999999977,11.947649999999978,1 hour,ST_Stop,715.0,702.35,702.35,697.7,696.5036315890827,693.3892039465367,20.680890458006854,34.44062844257161,683.365
10,2024-07-09 10:00:00+0530,2024-07-09 11:00:00+0530,Long,702.0,699.6,-2.3999999999999773,-3.0995999999999775,1 hour,ST_Stop,702.0,699.75,699.6,699.0,698.2014085844883,696.1686261572692,27.970472536495013,36.5901336227473,705.1800000000001
12,2024-07-30 12:00:00+0530,2024-07-30 13:00:00+0530,Short,656.4,657.4,-1.0,-1.6574,1 hour,ST_Stop,656.4,657.4,657.4,659.2,658.5437640394939,661.9208267514753,32.48860215112603,10.589119446414873,656.315
15,2024-08-12 12:00:00+0530,2024-08-12 13:00:00+0530,Long,629.05,627.8,-1.25,-1.8777999999999997,1 hour,ST_Stop,629.05,627.75,627.8,630.0,626.6963606142843,624.1957979899516,-43.59447091464951,-62.63065659080585,631.14
16,2024-08-13 15:00:00+0530,2024-08-13 16:00:00+0530,Short,622.9,623.8,-0.8999999999999773,-1.5237999999999774,1 hour,ST_Stop,622.9,623.8,623.8,620.9,624.5265589459124,625.9008367765615,28.482210087980786,-10.617047015059477,615.1149999999999
18,2024-08-30 14:00:00+0530,2024-08-30 15:00:00+0530,Long,703.8,701.25,-2.5499999999999545,-3.2512499999999545,1 hour,ST_Stop,703.8,701.25,701.25,701.75,701.0057419949574,698.8060243863133,28.48558042198817,45.15167840692465,709.8649999999999
22,2024-10-04 10:00:00+0530,2024-10-04 11:00:00+0530,Short,742.65,754.8,-12.149999999999977,-12.904799999999977,1 hour,ST_Stop,742.65,754.8,754.8,750.4,750.9541994270307,748.4929710050852,41.53485068046431,67.2902933063569,742.31
24,2024-10-15 11:00:00+0530,2024-10-15 12:00:00+0530,Short,733.5,736.4,-2.8999999999999773,-3.636399999999977,1 hour,ST_Stop,733.5,736.4,736.4,735.8,737.2635458143689,738.9294350112483,36.616309573476165,23.33814474503659,732.99
27,2024-10-30 15:00:00+0530,2024-10-30 16:00:00+0530,Short,690.05,690.0,0.049999999999954525,-0.6400000000000455,1 hour,ST_Stop,690.05,690.0,690.0,689.4,691.2807973541053,693.2313281884778,-28.239854251159954,-45.179398117987496,675.9
32,2024-12-02 11:00:00+0530,2024-12-02 12:00:00+0530,Long,659.45,658.0,-1.4500000000000455,-2.1080000000000454,1 hour,ST_Stop,659.45,658.0,658.0,658.4,657.840646861169,656.7771512739025,-14.711801222696632,11.23653569062341,665.4500000000002
34,2024-12-09 16:00:00+0530,2024-12-10 10:00:00+0530,Long,671.6,675.0,3.3999999999999773,2.7249999999999774,1 hour,ST_Stop,671.6,670.0,675.0,669.3,668.8154597857053,665.5576230777826,21.640759167601868,33.68438361040861,671.9100000000001
41,2025-01-30 15:00:00+0530,2025-01-30 16:00:00+0530,Short,583.35,586.05,-2.699999999999932,-3.286049999999932,1 hour,ST_Stop,583.35,585.85,586.05,590.6,586.2039853254212,589.184891335754,-26.03387061008746,-42.4625088379865,580.7750000000001
44,2025-02-11 10:00:00+0530,2025-02-11 11:00:00+0530,Short,594.05,598.85,-4.800000000000068,-5.398850000000069,1 hour,ST_Stop,594.05,598.85,598.85,602.15,597.6135042996016,597.2702874803359,50.13035903316008,59.072145395790464,594.395
46,2025-02-12 13:00:00+0530,2025-02-12 14:00:00+0530,Long,601.95,600.75,-1.2000000000000455,-1.8007500000000456,1 hour,ST_Stop,601.95,601.0,600.75,599.7,599.6272104534175,597.2467324790664,20.26993675601928,38.37799562793349,610.29
48,2025-02-14 16:00:00+0530,2025-02-17 10:00:00+0530,Long,606.2,606.2,0.0,-0.6062000000000001,1 hour,ST_Stop,606.2,604.0,606.2,599.0,603.3819795777165,600.8193666181919,15.14822134815984,26.404438696404206,610.29
50,2025-02-28 10:00:00+0530,2025-02-28 11:00:00+0530,Long,630.0,621.05,-8.950000000000045,-9.571050000000046,1 hour,ST_Stop,630.0,621.3,621.05,627.45,625.8714898847518,629.1780258436553,-26.31125913561709,11.499559891754027,639.89
51,2025-02-28 16:00:00+0530,2025-03-03 10:00:00+0530,Long,633.6,634.45,0.8500000000000227,0.2155500000000226,1 hour,ST_Stop,633.6,634.0,634.45,627.0,632.6675232794493,629.7234346180105,-26.983916871232523,-7.390510708235392,639.89
53,2025-03-03 15:00:00+0530,2025-03-03 16:00:00+0530,Long,634.35,636.6,2.25,1.6134,1 hour,ST_Stop,634.35,636.6,636.6,638.2,633.8182425512414,629.7838593253243,-28.831652925711953,-19.984291442692385,639.89
