Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
8,2024-05-24 15:30:00+0530,2024-05-27 09:30:00+0530,Short,672.15,685.05,-12.899999999999977,-13.585049999999978,30 min,ST_Stop,672.15,678.8,685.05,682.0,677.3204231569603,678.15055137992,-19.763722642952995,-3.7934668569749026,671.17
15,2024-06-03 10:30:00+0530,2024-06-03 11:00:00+0530,Long,702.35,702.45,0.10000000000002274,-0.6024499999999773,30 min,ST_Stop,702.35,702.5,702.45,697.7,700.413619892848,696.6456952064095,-0.47482592430288406,8.386935688620209,704.2600000000001
19,2024-06-12 12:00:00+0530,2024-06-12 12:30:00+0530,Short,674.55,676.25,-1.7000000000000455,-2.376250000000045,30 min,ST_Stop,674.55,676.25,676.25,675.1,676.345047234764,677.2951777054872,-35.107324122144846,-29.718471740869248,668.45
27,2024-07-05 09:30:00+0530,2024-07-05 10:00:00+0530,Short,694.0,699.15,-5.149999999999977,-5.849149999999977,30 min,ST_Stop,694.0,699.15,699.15,694.9,696.8224186689101,695.5393649057164,20.564094206140105,16.857167039485557,688.57
29,2024-07-09 10:00:00+0530,2024-07-09 10:30:00+0530,Long,699.7,699.6,-0.10000000000002274,-0.7996000000000227,30 min,ST_Stop,699.7,699.75,699.6,697.95,698.9600290501298,697.3877643155766,2.9867640113431033,15.923537258966197,705.7899999999998
31,2024-07-12 10:00:00+0530,2024-07-12 10:30:00+0530,Long,700.5,698.65,-1.8500000000000227,-2.5486500000000225,30 min,ST_Stop,700.5,698.65,698.65,693.75,698.472076220369,696.558286971989,-11.36496460141646,-18.87368655905031,705.755
39,2024-08-13 14:30:00+0530,2024-08-13 15:00:00+0530,Short,622.9,627.5,-4.600000000000023,-5.227500000000022,30 min,ST_Stop,622.9,627.6,627.5,623.8,626.2198789369347,626.3370219394056,32.070501056996484,42.19610171029009,621.405
40,2024-08-14 10:00:00+0530,2024-08-14 10:30:00+0530,Long,632.0,628.7,-3.2999999999999545,-3.928699999999955,30 min,ST_Stop,632.0,628.7,628.7,623.65,628.0262424335584,626.3751926749093,29.739764247822592,36.61524711542997,635.155
41,2024-08-14 15:30:00+0530,2024-08-16 09:30:00+0530,Short,619.5,633.95,-14.450000000000045,-15.083950000000044,30 min,SMI_Exit,619.5,623.15,633.95,636.1,622.5533575402508,623.7606735739877,-6.021179658143161,7.48185253486873,635.155
45,2024-08-30 13:30:00+0530,2024-08-30 14:00:00+0530,Long,703.8,702.05,-1.75,-2.45205,30 min,ST_Stop,703.8,702.1,702.05,701.25,701.5774498382289,699.8727490122027,-17.960343124126712,-20.112163787690122,705.3699999999999
47,2024-09-06 13:00:00+0530,2024-09-06 13:30:00+0530,Long,674.6,668.5,-6.100000000000023,-6.768500000000023,30 min,ST_Stop,674.6,668.5,668.5,670.35,670.4000640763298,671.0898455971424,-25.51440040729021,-49.370339517151464,675.5450000000001
52,2024-09-24 09:30:00+0530,2024-09-24 10:00:00+0530,Short,697.6,702.1,-4.5,-5.2021,30 min,ST_Stop,697.6,702.0,702.1,705.25,695.6175344853974,690.8892493111885,52.95256472966433,52.27763733633666,686.9399999999999
