Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
9,2024-06-07 10:15:00+0530,2024-06-07 10:20:00+0530,Long,2548.8,2539.8,-9.0,-11.5398,5 min,ST_Stop,2548.8,2539.8,2539.8,2538.0,2542.2155056956335,2541.5390201333203,-22.919766595781248,-7.914530839097983,2557.205
15,2024-06-27 09:25:00+0530,2024-06-27 09:30:00+0530,Short,2439.05,2440.0,-0.9499999999998181,-3.3899999999998176,5 min,ST_Stop,2439.05,2440.0,2440.0,2436.9,2441.7607307494363,2445.873700985476,-56.942428603142424,-56.960372461466704,2435.2200000000003
21,2024-07-11 11:25:00+0530,2024-07-11 11:30:00+0530,Long,2613.2,2610.95,-2.25,-4.86095,5 min,ST_Stop,2613.2,2610.95,2610.95,2610.45,2610.151909318727,2606.4361833053235,15.212087016188523,3.327794851329819,2616.47
27,2024-07-23 15:05:00+0530,2024-07-23 15:10:00+0530,Short,2774.2,2774.65,-0.45000000000027285,-3.224650000000273,5 min,ST_Stop,2774.2,2773.85,2774.65,2779.8,2777.743891106463,2785.7389062876578,26.071100824439732,51.165658835387696,2771.61
38,2024-08-30 15:20:00+0530,2024-08-30 15:25:00+0530,Short,2773.25,2776.5,-3.25,-6.0265,5 min,ST_Stop,2773.25,2776.5,2776.5,2781.85,2777.1842406194496,2780.710414799361,-12.597480963641575,-35.567386486979984,2760.4800000000005
40,2024-09-06 09:55:00+0530,2024-09-06 10:00:00+0530,Short,2831.2,2843.5,-12.300000000000182,-15.14350000000018,5 min,ST_Stop,2831.2,2844.75,2843.5,2841.3,2840.1735508522065,2839.2357101790903,-8.144649677330214,-6.6374267284723985,2831.4700000000003
47,2024-09-20 09:20:00+0530,2024-09-20 09:25:00+0530,Long,2922.25,2914.7,-7.550000000000182,-10.464700000000182,5 min,ST_Stop,2922.25,2915.05,2914.7,2920.65,2916.1225445701302,2913.5941507239118,-1.254118672990614,-7.251578444652333,2928.105
56,2024-10-04 10:50:00+0530,2024-10-04 10:55:00+0530,Long,2902.9,2900.35,-2.550000000000182,-5.450350000000181,5 min,ST_Stop,2902.9,2899.1,2900.35,2905.4,2897.745046213418,2893.2343198616795,25.859791100141592,0.8467808214848039,2909.46
58,2024-10-07 11:30:00+0530,2024-10-07 11:35:00+0530,Short,2833.8,2838.45,-4.649999999999636,-7.488449999999636,5 min,ST_Stop,2833.8,2838.4,2838.45,2838.4,2839.7421534186806,2844.5093220085064,-11.753536298465955,-5.947374171595615,2828.51
60,2024-10-14 09:45:00+0530,2024-10-14 09:50:00+0530,Short,2768.6,2779.7,-11.099999999999909,-13.879699999999907,5 min,ST_Stop,2768.6,2779.2,2779.7,2782.15,2776.7227320418087,2778.569028420248,1.6876185903222864,35.503956360309665,2767.6499999999996
