Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
8,2024-05-31 10:09:00+0530,2024-05-31 10:12:00+0530,Short,1115.8,1115.6,0.20000000000004547,-0.9155999999999545,3 min,ST_Stop,1115.8,1115.55,1115.6,1117.15,1116.638668982659,1119.085325211967,17.814436411725225,36.28195532912537,1114.5049999999999
10,2024-06-03 13:03:00+0530,2024-06-03 13:06:00+0530,Long,1157.95,1157.0,-0.9500000000000455,-2.1070000000000455,3 min,ST_Stop,1157.95,1157.0,1157.0,1155.85,1156.3381866157906,1154.6001104531092,18.12962736701321,37.0950353766873,1158.3400000000001
11,2024-06-04 13:24:00+0530,2024-06-04 13:27:00+0530,Long,1087.9,1087.3,-0.6000000000001364,-1.6873000000001364,3 min,ST_Stop,1087.9,1087.3,1087.3,1085.05,1085.370698866915,1081.8051714059993,-21.963356706066833,-41.31272731193004,1097.255
14,2024-06-04 14:09:00+0530,2024-06-04 14:12:00+0530,Short,1071.2,1079.05,-7.849999999999909,-8.929049999999908,3 min,ST_Stop,1071.2,1078.0,1079.05,1079.35,1077.665643942226,1081.448614478729,15.405266332836803,-3.3048271081260343,1065.64
16,2024-06-05 09:15:00+0530,2024-06-05 09:18:00+0530,Long,1085.0,1064.35,-20.65000000000009,-21.71435000000009,3 min,ST_Stop,1085.0,1065.3,1064.35,1063.0,1073.439851733728,1075.9599997898467,-37.46938774608743,-27.723730682606575,1089.63
18,2024-06-06 09:21:00+0530,2024-06-06 09:24:00+0530,Long,1111.45,1111.35,-0.10000000000013642,-1.2113500000001363,3 min,ST_Stop,1111.45,1111.95,1111.35,1112.05,1110.5419474723822,1107.9737027821113,12.999497345573342,36.48816303300072,1114.04
20,2024-06-06 14:09:00+0530,2024-06-06 14:12:00+0530,Short,1102.6,1103.95,-1.3500000000001364,-2.4539500000001366,3 min,ST_Stop,1102.6,1103.95,1103.95,1103.8,1104.0489959548886,1105.2527823910643,7.164826202174182,-10.387375492999192,1102.5900000000004
26,2024-06-21 15:12:00+0530,2024-06-21 15:15:00+0530,Short,1153.85,1155.55,-1.7000000000000455,-2.8555500000000453,3 min,ST_Stop,1153.85,1155.8,1155.55,1153.95,1156.0608341471388,1157.8981416575243,-3.6999541234221183,17.733971155176434,1152.0699999999997
43,2024-07-24 10:00:00+0530,2024-07-24 10:03:00+0530,Long,1229.0,1230.6,1.599999999999909,0.36939999999990913,3 min,ST_Stop,1229.0,1230.6,1230.6,1226.6,1228.797087900805,1225.6312421271125,-22.949608647653303,-28.60161528081306,1233.1799999999998
49,2024-08-06 15:15:00+0530,2024-08-06 15:18:00+0530,Short,1164.15,1165.15,-1.0,-2.16515,3 min,SMI_Exit,1164.15,1165.15,1165.15,1167.5,1165.3266236945988,1166.6286473598395,-3.0927093411837516,-8.331684471818711,1171.6
62,2024-10-07 14:18:00+0530,2024-10-07 14:21:00+0530,Short,1234.5,1232.55,1.9500000000000455,0.7174500000000456,3 min,ST_Stop,1234.5,1232.55,1232.55,1232.15,1234.6207240262206,1238.3329474976483,-27.555806964456398,-50.64546292396875,1227.5449999999998
80,2024-11-13 10:09:00+0530,2024-11-13 10:12:00+0530,Short,1266.75,1267.2,-0.4500000000000455,-1.7172000000000454,3 min,ST_Stop,1266.75,1267.1,1267.2,1267.05,1268.3528036546531,1271.3919716774346,9.895729939109287,24.925187977246786,1265.77
85,2024-11-29 09:21:00+0530,2024-11-29 09:24:00+0530,Long,1291.35,1291.1,-0.25,-1.5411,3 min,ST_Stop,1291.35,1291.1,1291.1,1291.25,1290.1268075161042,1287.8187132496373,-2.9793351849579905,-19.10112166875059,1291.8500000000001
87,2024-12-05 09:57:00+0530,2024-12-05 10:00:00+0530,Short,1313.65,1312.55,1.1000000000001364,-0.21254999999986346,3 min,ST_Stop,1313.65,1312.55,1312.55,1315.0,1313.8429444882927,1316.2047148806416,-10.194941405154113,11.581520967250182,1311.735
94,2024-12-13 09:21:00+0530,2024-12-13 09:24:00+0530,Long,1334.95,1330.2,-4.75,-6.0802,3 min,ST_Stop,1334.95,1330.2,1330.2,1325.9,1331.2048789100918,1330.0725987465767,21.284301240456877,15.88993081507481,1328.1399999999999
121,2025-03-06 09:18:00+0530,2025-03-06 09:21:00+0530,Long,1221.0,1219.45,-1.5499999999999545,-2.7694499999999547,3 min,SMI_Exit,1221.0,1219.55,1219.45,1216.35,1218.6405719157037,1216.3274951564722,1.9499451447302107,25.83520249065299,1216.47
125,2025-03-12 09:18:00+0530,2025-03-12 09:21:00+0530,Long,1247.85,1248.85,1.0,-0.24885000000000002,3 min,SMI_Exit,1247.85,1248.85,1248.85,1244.9,1247.6374014587655,1245.4096280794354,10.237947722493189,18.568075211064734,1242.3900000000003
