Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-07 11:00:00+0530,2024-05-07 12:00:00+0530,Short,1418.0,1423.15,-5.150000000000091,-6.573150000000091,1 hour,ST_Stop,1418.0,1423.15,1423.15,1426.2,1423.2653064201586,1425.1737922003608,,,1407.7150000000001
4,2024-05-14 15:00:00+0530,2024-05-14 16:00:00+0530,Long,1431.45,1426.3,-5.150000000000091,-6.57630000000009,1 hour,ST_Stop,1431.45,1426.0,1426.3,1425.45,1426.7125353799292,1425.076169684542,-30.858162989000917,-18.381974930288244,1433.9449999999997
9,2024-06-13 11:00:00+0530,2024-06-13 12:00:00+0530,Long,1496.7,1495.55,-1.150000000000091,-2.6455500000000907,1 hour,ST_Stop,1496.7,1495.6,1495.55,1494.0,1493.940523688585,1491.025902404387,31.722946308287792,50.430934240523044,1501.9650000000001
13,2024-08-26 11:00:00+0530,2024-08-26 12:00:00+0530,Long,1882.2,1882.15,-0.049999999999954525,-1.9321499999999547,1 hour,ST_Stop,1882.2,1882.15,1882.15,1883.55,1877.9443029060224,1868.0752139128447,35.03808007701836,55.75284532236601,1888.145
16,2024-09-10 13:00:00+0530,2024-09-10 14:00:00+0530,Long,1924.45,1932.5,8.049999999999955,6.1174999999999535,1 hour,ST_Stop,1924.45,1932.45,1932.5,1930.95,1925.9712196425949,1916.833193732473,-34.342810371537425,-47.776631882620386,1933.9049999999997
18,2024-09-12 11:00:00+0530,2024-09-12 12:00:00+0530,Long,1924.45,1919.45,-5.0,-6.919449999999999,1 hour,SMI_Exit,1924.45,1919.45,1919.45,1913.75,1919.3158499071392,1917.1339606399438,0.5572173154774616,-26.270525374873905,1933.9049999999997
22,2024-09-26 11:00:00+0530,2024-09-26 12:00:00+0530,Long,1906.95,1909.6,2.6499999999998636,0.7403999999998635,1 hour,ST_Stop,1906.95,1909.6,1909.6,1906.15,1904.8167671448264,1896.2561949229134,-9.850370441159143,-39.99233231439492,1911.5650000000003
24,2024-10-01 15:00:00+0530,2024-10-01 16:00:00+0530,Long,1903.65,1903.15,-0.5,-2.40315,1 hour,ST_Stop,1903.65,1903.0,1903.15,1906.0,1901.6391388018956,1898.1071951354027,-48.41722119883964,-36.67986628323527,1914.7900000000002
28,2024-10-14 11:00:00+0530,2024-10-14 12:00:00+0530,Long,1945.8,1951.25,5.4500000000000455,3.4987500000000455,1 hour,ST_Stop,1945.8,1951.25,1951.25,1962.15,1945.6583703282486,1936.9142081198277,8.138049943011652,21.27027920870094,1965.865
29,2024-10-16 13:00:00+0530,2024-10-16 14:00:00+0530,Short,1939.7,1938.0,1.7000000000000455,-0.23799999999995447,1 hour,ST_Stop,1939.7,1938.25,1938.0,1937.15,1941.8826249446156,1948.6597334429784,1.6915611303441056,23.702933835148134,1935.9149999999997
32,2024-10-28 13:00:00+0530,2024-10-28 14:00:00+0530,Long,1878.8,1874.65,-4.149999999999864,-6.024649999999864,1 hour,ST_Stop,1878.8,1874.55,1874.65,1872.85,1874.2965215713803,1870.345596244832,-12.368364398965054,-48.2046648428997,1880.27
38,2024-12-17 13:00:00+0530,2024-12-17 14:00:00+0530,Short,1965.25,1970.45,-5.2000000000000455,-7.170450000000045,1 hour,ST_Stop,1965.25,1970.45,1970.45,1972.9,1970.7216667642015,1975.1067460485299,44.468246593776364,66.54462026551633,1957.645
42,2025-01-09 10:00:00+0530,2025-01-09 11:00:00+0530,Long,1934.05,1944.0,9.950000000000045,8.006000000000046,1 hour,ST_Stop,1934.05,1943.95,1944.0,1933.55,1936.2780087840797,1926.3938892243445,10.177512587304014,22.845605886005632,1948.625
44,2025-01-16 13:00:00+0530,2025-01-16 14:00:00+0530,Short,1936.35,1939.5,-3.150000000000091,-5.089500000000092,1 hour,ST_Stop,1936.35,1939.5,1939.5,1934.5,1941.0708247525033,1946.7470071465336,8.879675568329155,28.05001419656073,1927.1149999999998
47,2025-01-29 12:00:00+0530,2025-01-29 13:00:00+0530,Long,1858.15,1853.25,-4.900000000000091,-6.75325000000009,1 hour,ST_Stop,1858.15,1853.25,1853.25,1860.75,1852.1667470024886,1848.851091301084,2.7535539088224383,-5.6751494161108695,1864.705
52,2025-03-21 12:00:00+0530,2025-03-21 13:00:00+0530,Short,1592.95,1590.6,2.3500000000001364,0.7594000000001363,1 hour,ST_Stop,1592.95,1590.6,1590.6,1598.3,1595.110572963688,1601.9755324356806,15.600571716761543,-16.021632577062753,1584.9350000000002
55,2025-04-16 10:00:00+0530,2025-04-16 11:00:00+0530,Long,1425.0,1414.6,-10.400000000000091,-11.814600000000091,1 hour,ST_Stop,1425.0,1414.6,1414.6,1401.7,1420.750834878599,1424.388290641328,28.36502068085183,-2.984994809392615,1443.7849999999999
