Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-05-13 10:00:00+0530,2024-05-13 10:15:00+0530,Short,372.1,372.0,0.10000000000002274,-0.27199999999997726,15 min,ST_Stop,372.1,372.1,372.0,373.0,372.6930318028144,374.1175264179037,33.13734036674296,20.27372503541552,371.70500000000004
6,2024-05-16 12:30:00+0530,2024-05-16 12:45:00+0530,Long,371.9,369.9,-2.0,-2.3699000000000003,15 min,ST_Stop,371.9,369.85,369.9,369.65,370.4189377773765,370.45373022678746,-40.7896237879943,-56.992744205081834,372.45
9,2024-05-23 13:00:00+0530,2024-05-23 13:15:00+0530,Long,380.85,380.65,-0.20000000000004547,-0.5806500000000454,15 min,ST_Stop,380.85,380.65,380.65,379.1,380.39949846702814,379.76260534611157,25.37895817136643,36.26790171763791,383.03
13,2024-05-31 14:45:00+0530,2024-05-31 15:00:00+0530,Short,367.95,368.25,-0.30000000000001137,-0.6682500000000113,15 min,ST_Stop,367.95,368.25,368.25,367.6,368.42787317957317,369.04160976727957,11.066117473421208,-0.0985566949835677,367.10999999999996
19,2024-07-16 15:15:00+0530,2024-07-16 15:30:00+0530,Long,402.45,401.95,-0.5,-0.90195,15 min,ST_Stop,402.45,402.0,401.95,402.8,401.801191931576,401.0797057922161,10.054256369170119,29.646715118123616,402.96
22,2024-07-25 13:30:00+0530,2024-07-25 13:45:00+0530,Long,425.5,425.7,0.19999999999998863,-0.2257000000000114,15 min,ST_Stop,425.5,425.7,425.7,425.6,425.29643794545484,424.4802841655061,-44.71263034655546,-29.44765891718067,428.855
25,2024-07-31 11:00:00+0530,2024-07-31 11:15:00+0530,Short,424.5,425.85,-1.3500000000000227,-1.7758500000000228,15 min,ST_Stop,424.5,425.85,425.85,424.95,425.8095925622664,426.4494404583323,-20.391914794467084,-42.829870144081596,422.4200000000001
27,2024-08-02 09:45:00+0530,2024-08-02 10:00:00+0530,Long,429.6,426.65,-2.9500000000000455,-3.376650000000046,15 min,ST_Stop,429.6,426.6,426.65,424.75,427.3642885402317,427.1816256592723,9.94224085575725,1.417405166176844,429.725
35,2024-08-26 10:15:00+0530,2024-08-26 10:30:00+0530,Long,438.05,438.35,0.30000000000001137,-0.13834999999998865,15 min,ST_Stop,438.05,438.35,438.35,438.5,437.65911870205554,436.33088837540447,43.58315426912377,14.24072590776077,439.265
37,2024-08-30 11:15:00+0530,2024-08-30 11:30:00+0530,Short,434.55,434.55,0.0,-0.43455000000000005,15 min,ST_Stop,434.55,434.55,434.55,433.85,434.8192339977299,435.4913371306586,20.90589509119261,39.84666023841351,433.52
42,2024-09-11 14:30:00+0530,2024-09-11 14:45:00+0530,Short,444.75,445.4,-0.6499999999999773,-1.0953999999999773,15 min,ST_Stop,444.75,445.4,445.4,444.65,445.4747317288407,445.9897948990201,33.65722946231495,59.20634106842807,444.54499999999996
55,2024-11-06 09:45:00+0530,2024-11-06 10:00:00+0530,Long,416.9,415.65,-1.25,-1.6656499999999999,15 min,ST_Stop,416.9,415.65,415.65,415.65,415.8556671513313,415.5114207654347,-24.11744509291337,-51.793041493536094,417.16
57,2024-11-18 12:45:00+0530,2024-11-18 13:00:00+0530,Long,404.2,402.8,-1.3999999999999773,-1.8027999999999773,15 min,ST_Stop,404.2,402.8,402.8,402.8,402.94851662677263,402.5740393188771,-46.239162586615635,-58.67120406366529,404.79
66,2024-12-20 15:00:00+0530,2024-12-20 15:15:00+0530,Long,403.15,400.9,-2.25,-2.6509,15 min,ST_Stop,403.15,400.85,400.9,401.25,401.67386104824436,402.00766698593173,-5.993302209700622,-34.178565297135,403.97499999999997
76,2025-01-22 09:45:00+0530,2025-01-22 10:00:00+0530,Long,441.5,440.8,-0.6999999999999886,-1.1407999999999887,15 min,ST_Stop,441.5,440.8,440.8,440.7,440.4268000167151,439.590175822835,-25.475952718673366,-12.5787719702633,444.46500000000003
81,2025-02-04 14:30:00+0530,2025-02-04 14:45:00+0530,Short,452.95,453.9,-0.9499999999999886,-1.4038999999999886,15 min,ST_Stop,452.95,453.9,453.9,453.8,453.87400255741517,454.5071330285047,-15.979430227941561,-25.895587260808107,450.97999999999996
86,2025-03-10 09:30:00+0530,2025-03-10 09:45:00+0530,Short,401.25,402.15,-0.8999999999999773,-1.302149999999977,15 min,ST_Stop,401.25,402.15,402.15,405.35,402.4211356034528,403.362634780844,-21.96391517843756,-16.537937958184127,405.00499999999994
87,2025-03-12 09:30:00+0530,2025-03-12 09:45:00+0530,Long,407.6,404.9,-2.7000000000000455,-3.104900000000045,15 min,ST_Stop,407.6,404.9,404.9,404.65,405.99479215708806,406.29455816978134,44.920595191371525,53.98615562529062,409.875
94,2025-04-02 11:15:00+0530,2025-04-02 11:30:00+0530,Long,409.4,408.85,-0.5499999999999545,-0.9588499999999547,15 min,ST_Stop,409.4,408.85,408.85,408.45,408.7788412734442,408.15633173452795,-46.329649358973015,-61.46990630366253,409.46
96,2025-04-07 09:30:00+0530,2025-04-07 09:45:00+0530,Short,401.85,405.4,-3.5499999999999545,-3.9553999999999547,15 min,ST_Stop,401.85,405.3,405.4,402.5,405.38968529298097,408.5134598393597,18.74349669875124,20.700922843047277,390.77
100,2025-04-28 09:45:00+0530,2025-04-28 10:00:00+0530,Short,425.8,426.9,-1.099999999999966,-1.5268999999999657,15 min,ST_Stop,425.8,427.05,426.9,427.95,426.7112064553517,426.92982806106835,-45.404922825383665,-61.08587008217045,423.335
