Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-03 11:00:00+0530,2024-05-03 12:00:00+0530,Long,900.0,889.1,-10.899999999999977,-11.789099999999976,1 hour,ST_Stop,900.0,889.45,889.1,877.3,892.4728561401367,892.2222630290379,,,907.8350000000002
5,2024-05-27 16:00:00+0530,2024-05-28 10:00:00+0530,Short,901.4,905.85,-4.4500000000000455,-5.355850000000046,1 hour,ST_Stop,901.4,903.0,905.85,904.15,904.3920221491478,909.2045916626005,12.588529692307505,44.389626230148096,894.005
8,2024-06-06 11:00:00+0530,2024-06-06 12:00:00+0530,Long,885.5,890.65,5.149999999999977,4.259349999999976,1 hour,ST_Stop,885.5,890.65,890.65,885.1,884.6000081218785,877.7056453058755,0.8518720768626294,-15.914453537203558,892.2650000000001
9,2024-06-20 10:00:00+0530,2024-06-20 11:00:00+0530,Short,914.95,922.5,-7.5499999999999545,-8.472499999999954,1 hour,ST_Stop,914.95,922.5,922.5,924.9,920.2892416029795,919.4692960140123,20.0435653575176,53.55368981207505,913.3899999999999
10,2024-06-26 11:00:00+0530,2024-06-26 12:00:00+0530,Short,924.5,925.2,-0.7000000000000455,-1.6252000000000457,1 hour,ST_Stop,924.5,925.15,925.2,925.1,926.3986424481295,929.8078911260138,14.056575871780192,39.97842287918089,916.65
12,2024-07-12 15:00:00+0530,2024-07-12 16:00:00+0530,Long,934.6,935.4,0.7999999999999545,-0.13540000000004548,1 hour,ST_Stop,934.6,935.4,935.4,935.35,933.7402506293083,930.7219433299634,-33.28708465935741,-54.180257382655604,937.67
17,2024-08-08 12:00:00+0530,2024-08-08 13:00:00+0530,Short,889.75,894.85,-5.100000000000023,-5.994850000000023,1 hour,ST_Stop,889.75,894.6,894.85,896.4,894.7022723242046,896.029525764548,-17.931038060800123,-23.72067248998817,880.5800000000002
25,2024-10-15 10:00:00+0530,2024-10-15 11:00:00+0530,Short,1012.5,1002.55,9.950000000000045,8.947450000000046,1 hour,ST_Stop,1012.5,1002.55,1002.55,1002.85,1007.0876172062666,1012.1425337536252,-4.306448450010311,-20.192486393251862,996.435
27,2024-10-21 11:00:00+0530,2024-10-21 12:00:00+0530,Short,985.6,986.65,-1.0499999999999545,-2.0366499999999546,1 hour,ST_Stop,985.6,986.65,986.65,984.3,988.377113409038,991.6343944051108,-41.413474835524575,-52.76893359746333,973.12
29,2024-10-29 12:00:00+0530,2024-10-29 13:00:00+0530,Short,950.5,950.95,-0.4500000000000455,-1.4009500000000457,1 hour,ST_Stop,950.5,950.95,950.95,950.2,954.1700498080818,959.9468536185435,8.642773858005478,-33.38900857038622,924.0
30,2024-11-04 12:00:00+0530,2024-11-04 13:00:00+0530,Short,945.6,949.1,-3.5,-4.4491,1 hour,ST_Stop,945.6,949.2,949.1,947.1,951.2770667410134,958.9120463044782,48.820709269036705,41.59195804950049,944.9200000000001
34,2024-11-19 12:00:00+0530,2024-11-19 13:00:00+0530,Long,956.35,954.8,-1.5500000000000682,-2.504800000000068,1 hour,ST_Stop,956.35,954.8,954.8,957.0,954.4351682739796,952.3651414047858,-40.65961829883256,-54.26523326343231,959.815
37,2024-11-29 12:00:00+0530,2024-11-29 13:00:00+0530,Long,968.7,966.7,-2.0,-2.9667000000000003,1 hour,ST_Stop,968.7,966.7,966.7,967.8,965.3734184766175,961.5939515098058,17.73020380187117,16.475530364592966,976.7549999999999
38,2024-12-05 14:00:00+0530,2024-12-05 15:00:00+0530,Long,993.25,1000.8,7.5499999999999545,6.549199999999955,1 hour,ST_Stop,993.25,1000.8,1000.8,992.9,994.0915964623665,985.3702068933292,25.927512934080195,34.34298181434961,1000.9250000000001
39,2024-12-12 14:00:00+0530,2024-12-12 15:00:00+0530,Long,1011.5,1007.5,-4.0,-5.0075,1 hour,ST_Stop,1011.5,1007.5,1007.5,1005.4,1006.1854931809704,1003.9571163351758,19.81767794359833,36.835486473829,1020.985
41,2025-01-02 15:00:00+0530,2025-01-02 16:00:00+0530,Long,914.55,913.8,-0.75,-1.6638000000000002,1 hour,ST_Stop,914.55,913.95,913.8,911.5,912.4587398895374,909.0812188367512,-12.239818464056867,-51.59744414859501,915.39
44,2025-01-29 12:00:00+0530,2025-01-29 13:00:00+0530,Long,931.75,935.6,3.8500000000000227,2.9144000000000228,1 hour,ST_Stop,931.75,935.6,935.6,934.0,930.1311253222225,921.4165561570634,-17.87356223306861,-12.891433208551591,936.7049999999999
46,2025-02-04 12:00:00+0530,2025-02-04 13:00:00+0530,Long,940.2,940.0,-0.20000000000004547,-1.1400000000000454,1 hour,ST_Stop,940.2,940.0,940.0,942.05,938.6839099257844,935.6291653948871,8.002148273377678,17.672087048568525,953.725
48,2025-02-14 15:00:00+0530,2025-02-14 16:00:00+0530,Short,956.1,966.3,-10.199999999999932,-11.166299999999932,1 hour,ST_Stop,956.1,966.0,966.3,962.85,963.8226763588084,963.6757957948088,20.9519316636735,21.003690712448545,952.6899999999999
50,2025-02-27 16:00:00+0530,2025-02-28 10:00:00+0530,Long,974.15,968.1,-6.0499999999999545,-7.018099999999954,1 hour,ST_Stop,974.15,975.1,968.1,960.65,973.029360445461,969.647399993339,-31.562489792010975,-27.48123839472378,977.4350000000001
