Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
3,2024-05-06 15:30:00+0530,2024-05-07 09:30:00+0530,Short,881.7,880.65,1.0500000000000682,0.1693500000000681,30 min,ST_Stop,881.7,880.0,880.65,874.3,881.9766946154373,884.7055618838821,-0.33656772782761046,11.929489918936788,866.5949999999999
7,2024-05-16 13:00:00+0530,2024-05-16 13:30:00+0530,Long,873.0,875.3,2.2999999999999545,1.4246999999999543,30 min,ST_Stop,873.0,875.3,875.3,871.45,873.4580629905911,870.868440001946,41.80673852080217,52.447774948435146,881.63
9,2024-05-23 13:30:00+0530,2024-05-23 14:00:00+0530,Long,914.15,912.9,-1.25,-2.1629,30 min,ST_Stop,914.15,913.0,912.9,912.55,912.3610393056615,910.7827682015809,16.63027659882075,35.21468748487824,923.0699999999999
15,2024-06-05 15:00:00+0530,2024-06-05 15:30:00+0530,Long,871.15,878.2,7.050000000000068,6.171800000000069,30 min,ST_Stop,871.15,878.15,878.2,875.0,872.6048060295309,866.2689029496377,-19.611315877349803,-29.398954967980142,891.1850000000001
20,2024-06-28 15:30:00+0530,2024-07-01 09:30:00+0530,Short,932.6,935.0,-2.3999999999999773,-3.3349999999999778,30 min,ST_Stop,932.6,934.1,935.0,942.15,934.2452827374511,935.7277958509953,24.4181869438376,34.135136664225875,927.055
22,2024-07-04 15:00:00+0530,2024-07-04 15:30:00+0530,Short,945.2,944.45,0.75,-0.19445,30 min,ST_Stop,945.2,944.5,944.45,945.65,945.3625583062009,947.0367867399417,4.303094416405762,30.32705430366743,940.695
23,2024-07-08 10:30:00+0530,2024-07-08 11:00:00+0530,Short,945.8,948.2,-2.400000000000091,-3.348200000000091,30 min,ST_Stop,945.8,948.4,948.2,947.75,948.4502854351676,949.4867963646765,7.005199534069889,23.603411646053278,944.68
24,2024-07-12 10:00:00+0530,2024-07-12 10:30:00+0530,Long,929.8,926.5,-3.2999999999999545,-4.226499999999954,30 min,ST_Stop,929.8,926.5,926.5,928.6,926.5740465634423,925.6707458820765,-40.332752030874715,-68.27846988396988,931.4500000000002
25,2024-07-18 10:00:00+0530,2024-07-18 10:30:00+0530,Short,926.35,930.95,-4.600000000000023,-5.530950000000022,30 min,ST_Stop,926.35,930.7,930.95,931.65,930.3657393793662,932.3592799599924,21.84495255870277,43.65147991160828,925.635
31,2024-08-13 14:30:00+0530,2024-08-13 15:00:00+0530,Short,910.35,908.55,1.8000000000000682,0.8914500000000682,30 min,ST_Stop,910.35,908.55,908.55,910.25,910.6069363614732,913.6491169255432,42.188590409467444,60.57995138989841,904.895
33,2024-08-30 11:00:00+0530,2024-08-30 11:30:00+0530,Long,948.25,946.8,-1.4500000000000455,-2.3968000000000456,30 min,ST_Stop,948.25,946.8,946.8,949.25,946.2898437164959,943.969395530907,-19.08944100228245,-35.746758014676665,950.755
34,2024-08-30 15:30:00+0530,2024-09-02 09:30:00+0530,Short,942.15,941.1,1.0499999999999545,0.10889999999995448,30 min,ST_Stop,942.15,943.95,941.1,942.5,943.9106246947588,945.0520949656187,15.825434687027112,-4.8487447455872035,931.99
37,2024-09-09 10:00:00+0530,2024-09-09 10:30:00+0530,Short,925.6,932.4,-6.7999999999999545,-7.732399999999954,30 min,ST_Stop,925.6,932.8,932.4,928.2,930.6074110437249,929.5763912434265,10.684691169300143,-3.039454909264802,914.3199999999999
