Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-09 11:00:00+0530,2024-05-09 12:00:00+0530,Short,4672.85,4656.5,16.350000000000364,11.693500000000363,1 hour,ST_Stop,4672.85,4657.8,4656.5,4677.0,4673.976368250465,4694.135940894792,-22.026651022645716,-13.570003566059384,4645.785
3,2024-06-06 10:00:00+0530,2024-06-06 11:00:00+0530,Short,4740.0,4735.0,5.0,0.2649999999999997,1 hour,ST_Stop,4740.0,4732.4,4735.0,4722.5,4712.421056851212,4701.600748461672,-9.326608668318482,-37.813560643672474,4581.6
5,2024-06-20 11:00:00+0530,2024-06-20 12:00:00+0530,Long,5051.25,5008.0,-43.25,-48.257999999999996,1 hour,ST_Stop,5051.25,5008.0,5008.0,5046.1,5022.124389280858,5023.61627909758,17.78499895610838,44.07290963428059,5121.98
6,2024-06-20 13:00:00+0530,2024-06-20 14:00:00+0530,Long,5046.1,5053.2,7.099999999999454,2.046799999999454,1 hour,ST_Stop,5046.1,5053.15,5053.2,5039.0,5043.631097320214,5026.878658398612,22.52670902262575,39.93017206534496,5121.98
7,2024-07-05 16:00:00+0530,2024-07-08 10:00:00+0530,Short,5411.95,5421.7,-9.75,-15.171700000000001,1 hour,ST_Stop,5411.95,5413.25,5421.7,5430.2,5420.261373303954,5436.039482115594,12.605340421249284,48.945160740367044,5378.435
10,2024-07-24 13:00:00+0530,2024-07-24 14:00:00+0530,Long,5692.85,5675.8,-17.050000000000182,-22.725800000000184,1 hour,ST_Stop,5692.85,5675.8,5675.8,5658.0,5679.3397408367455,5675.925247662694,11.669290013748547,27.01372467203744,5757.24
15,2024-08-08 12:00:00+0530,2024-08-08 13:00:00+0530,Short,5467.65,5469.0,-1.3500000000003638,-6.819000000000365,1 hour,ST_Stop,5467.65,5471.0,5469.0,5439.35,5484.325202655142,5517.67361371202,-3.9343284703215,-19.068343696822392,5424.755
18,2024-09-05 12:00:00+0530,2024-09-05 13:00:00+0530,Long,6139.4,6117.25,-22.149999999999636,-28.267249999999635,1 hour,ST_Stop,6139.4,6117.25,6117.25,6116.75,6113.502626078688,6084.571436479481,24.8589957045411,51.80326466631288,6153.5650000000005
21,2024-09-23 11:00:00+0530,2024-09-23 12:00:00+0530,Short,6330.9,6315.0,15.899999999999636,9.584999999999635,1 hour,ST_Stop,6330.9,6315.4,6315.0,6308.75,6338.826578002019,6381.937795583757,-17.602737447174054,5.362451003711066,6289.839999999999
22,2024-09-30 12:00:00+0530,2024-09-30 13:00:00+0530,Long,6250.0,6221.7,-28.300000000000182,-34.52170000000018,1 hour,ST_Stop,6250.0,6222.0,6221.7,6243.55,6219.826151659713,6207.882478708808,-36.058029848753584,-57.69094445404031,6274.279999999999
23,2024-10-03 13:00:00+0530,2024-10-03 14:00:00+0530,Short,6187.15,6201.05,-13.900000000000546,-20.101050000000548,1 hour,ST_Stop,6187.15,6200.0,6201.05,6184.8,6211.834957157949,6228.4361571372865,22.569635403786815,0.23065110389359217,6133.82
24,2024-10-04 13:00:00+0530,2024-10-04 14:00:00+0530,Long,6259.7,6196.65,-63.05000000000018,-69.24665000000019,1 hour,ST_Stop,6259.7,6196.65,6196.65,6129.75,6218.329960602796,6221.839141390974,16.175594189095964,7.505186521621197,6133.82
25,2024-10-07 14:00:00+0530,2024-10-07 15:00:00+0530,Long,6241.8,6257.95,16.149999999999636,9.892049999999635,1 hour,ST_Stop,6241.8,6256.0,6257.95,6261.95,6239.162031096104,6211.788866099476,12.631422119154278,4.762594247945541,6287.959999999999
26,2024-10-16 13:00:00+0530,2024-10-16 14:00:00+0530,Short,6373.7,6365.0,8.699999999999818,2.334999999999818,1 hour,ST_Stop,6373.7,6365.75,6365.0,6369.4,6382.338969176688,6416.519861259451,4.5378167367297175,49.80276064792878,6357.74
29,2024-11-14 10:00:00+0530,2024-11-14 11:00:00+0530,Short,5947.05,5931.4,15.650000000000546,9.718600000000546,1 hour,ST_Stop,5947.05,5931.4,5931.4,5947.9,5941.136698655451,5955.636374857161,41.53791877055275,65.7468933219729,5925.265
32,2024-11-19 13:00:00+0530,2024-11-19 14:00:00+0530,Long,5958.0,5910.0,-48.0,-53.91,1 hour,ST_Stop,5958.0,5910.0,5910.0,5929.6,5921.171268743123,5914.50953261689,13.974880604819562,20.393092124827934,5959.005
36,2024-11-29 11:00:00+0530,2024-11-29 12:00:00+0530,Long,6195.0,6230.8,35.80000000000018,29.56920000000018,1 hour,ST_Stop,6195.0,6230.8,6230.8,6212.5,6203.461569719058,6163.607602528386,48.521755053900506,63.06053971686563,6287.18
38,2024-12-04 11:00:00+0530,2024-12-04 12:00:00+0530,Long,6217.7,6176.4,-41.30000000000018,-47.47640000000018,1 hour,ST_Stop,6217.7,6176.4,6176.4,6175.3,6184.421524935517,6185.3246571318,-4.679620264881391,18.654013056394795,6266.65
39,2024-12-04 14:00:00+0530,2024-12-04 15:00:00+0530,Long,6208.75,6222.45,13.699999999999818,7.477549999999817,1 hour,ST_Stop,6208.75,6222.45,6222.45,6225.95,6208.37769061694,6188.567656768403,2.339191761313868,13.23448660333063,6266.65
45,2025-01-17 11:00:00+0530,2025-01-17 12:00:00+0530,Short,5778.0,5848.95,-70.94999999999982,-76.79894999999982,1 hour,ST_Stop,5778.0,5848.95,5848.95,5851.95,5863.362550281079,5893.520002799223,-12.706851203840307,-4.588763707551338,5771.27
49,2025-02-03 11:00:00+0530,2025-02-03 12:00:00+0530,Short,5800.05,5807.5,-7.449999999999818,-13.257499999999819,1 hour,ST_Stop,5800.05,5809.7,5807.5,5830.45,5832.451044862777,5864.774852377131,38.5239309438326,24.511521194537913,5773.59
