Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-13 14:30:00+0530,2024-05-13 15:00:00+0530,Long,12613.75,12615.0,1.25,-11.365,30 min,ST_Stop,12613.75,12615.0,12615.0,12658.15,12604.124308267936,12579.352186634194,9.62010000685511,23.5731596726394,12714.785
6,2024-06-10 14:00:00+0530,2024-06-10 14:30:00+0530,Short,12655.7,12664.9,-9.199999999998909,-21.864899999998908,30 min,ST_Stop,12655.7,12664.9,12664.9,12670.0,12668.745275862288,12684.361317687415,20.82042257530384,61.852150078423705,12627.4
10,2024-06-27 10:00:00+0530,2024-06-27 10:30:00+0530,Short,12105.0,12099.0,6.0,-6.099,30 min,ST_Stop,12105.0,12095.9,12099.0,12091.25,12127.820325419934,12190.071488809612,-4.004186475329816,-1.4198709592748182,12088.830000000002
11,2024-07-05 15:00:00+0530,2024-07-05 15:30:00+0530,Short,12042.05,12067.3,-25.25,-37.3173,30 min,SMI_Exit,12042.05,12067.3,12067.3,12100.0,12068.658248615478,12091.637237799832,-1.3619176318597055,-0.6720550666192959,12151.839999999998
13,2024-07-15 15:30:00+0530,2024-07-16 09:30:00+0530,Short,12624.2,12643.0,-18.799999999999272,-31.442999999999273,30 min,ST_Stop,12624.2,12645.0,12643.0,12743.05,12648.548050434072,12664.053095477004,-28.26810280627326,-36.40329631452954,12491.14
15,2024-07-18 15:00:00+0530,2024-07-18 15:30:00+0530,Long,12667.2,12630.5,-36.70000000000073,-49.330500000000725,30 min,ST_Stop,12667.2,12630.5,12630.5,12651.45,12633.416836404744,12618.055085082511,-16.779669204695466,-23.643391718761645,12694.14
21,2024-08-16 10:00:00+0530,2024-08-16 10:30:00+0530,Long,12305.0,12208.3,-96.70000000000073,-108.90830000000074,30 min,ST_Stop,12305.0,12208.3,12208.3,12126.8,12229.704242420821,12217.721263805335,-18.509204857230987,-23.53584033357048,12303.84
24,2024-09-12 10:30:00+0530,2024-09-12 11:00:00+0530,Short,12164.15,12177.6,-13.450000000000728,-25.627600000000726,30 min,ST_Stop,12164.15,12180.45,12177.6,12209.95,12192.66365958146,12222.520144799173,10.112733514213964,14.740506663068034,12130.22
25,2024-09-16 13:30:00+0530,2024-09-16 14:00:00+0530,Short,12261.95,12281.15,-19.19999999999891,-31.481149999998905,30 min,ST_Stop,12261.95,12281.15,12281.15,12289.75,12279.999193845204,12291.344622131337,3.1294416169430654,18.40330024856478,12245.914999999999
34,2024-11-08 13:30:00+0530,2024-11-08 14:00:00+0530,Long,11301.65,11279.0,-22.649999999999636,-33.92899999999963,30 min,ST_Stop,11301.65,11279.95,11279.0,11307.95,11278.919951725396,11260.240175634553,-4.8289656587498015,18.29032490896799,11358.465
