Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-10 16:00:00+0530,2024-05-13 10:00:00+0530,Long,355.6,355.5,-0.10000000000002274,-0.45550000000002266,1 hour,ST_Stop,355.6,354.4,355.5,348.1,354.65262506508145,354.33039279570045,-47.77164256292522,-50.506828733156894,355.9
5,2024-05-27 13:00:00+0530,2024-05-27 14:00:00+0530,Short,369.5,369.9,-0.39999999999997726,-0.7698999999999772,1 hour,ST_Stop,369.5,369.9,369.9,370.25,370.1402670508654,370.9027657638644,24.595811501978933,57.04680882551272,368.78
9,2024-06-07 12:00:00+0530,2024-06-07 13:00:00+0530,Long,353.3,356.85,3.5500000000000114,3.1931500000000117,1 hour,ST_Stop,353.3,356.85,356.85,356.15,354.4177518073453,351.88438751894137,-7.496748917693694,-20.580494102300797,367.84999999999997
10,2024-06-25 10:00:00+0530,2024-06-25 11:00:00+0530,Long,364.25,359.7,-4.550000000000011,-4.9097000000000115,1 hour,ST_Stop,364.25,359.7,359.7,359.25,361.5108024795393,362.70477722640334,-28.253688664360272,-39.862165805059355,365.355
12,2024-07-12 13:00:00+0530,2024-07-12 14:00:00+0530,Short,374.8,376.8,-2.0,-2.3768000000000002,1 hour,ST_Stop,374.8,376.85,376.8,377.7,376.50726283344784,377.104593792819,4.945383804657183,22.922752112189094,372.755
17,2024-08-06 11:00:00+0530,2024-08-06 12:00:00+0530,Long,418.85,417.55,-1.3000000000000114,-1.7175500000000112,1 hour,ST_Stop,418.85,417.7,417.55,419.15,416.47624469378434,413.5134821919736,33.84111515953295,52.88374919060814,424.96
20,2024-08-22 16:00:00+0530,2024-08-23 10:00:00+0530,Short,402.85,403.35,-0.5,-0.9033500000000001,1 hour,ST_Stop,402.85,403.85,403.35,403.9,403.9761770716577,404.86144243327357,43.50709681272137,37.741715953129074,402.70500000000004
23,2024-09-02 14:00:00+0530,2024-09-02 15:00:00+0530,Short,408.9,410.95,-2.0500000000000114,-2.460950000000011,1 hour,ST_Stop,408.9,410.9,410.95,411.15,411.0354194980334,411.67953507163315,33.25792734656905,45.38679152313993,407.40999999999997
25,2024-10-03 14:00:00+0530,2024-10-03 15:00:00+0530,Short,435.45,437.0,-1.5500000000000114,-1.9870000000000112,1 hour,ST_Stop,435.45,437.05,437.0,434.85,437.17557409728636,438.57999000742257,22.018209866587192,51.049197082410394,432.00499999999994
27,2024-10-10 16:00:00+0530,2024-10-11 10:00:00+0530,Short,422.2,423.95,-1.75,-2.17395,1 hour,ST_Stop,422.2,424.0,423.95,422.05,423.750936956479,424.2841387153905,-15.329674597883166,-30.88880918936757,415.89000000000004
28,2024-10-16 14:00:00+0530,2024-10-16 15:00:00+0530,Short,421.7,424.25,-2.5500000000000114,-2.974250000000011,1 hour,ST_Stop,421.7,424.2,424.25,425.05,423.7252679407736,424.22913688293454,20.86220407837782,19.905585506005163,419.9
31,2024-10-22 12:00:00+0530,2024-10-22 13:00:00+0530,Short,420.65,420.25,0.39999999999997726,-0.02025000000002275,1 hour,ST_Stop,420.65,420.4,420.25,419.0,421.39120638929705,423.197110385817,10.516226572316397,12.375030064781825,416.66
33,2024-10-31 11:00:00+0530,2024-10-31 12:00:00+0530,Short,406.5,409.9,-3.3999999999999773,-3.8098999999999776,1 hour,ST_Stop,406.5,409.95,409.9,407.8,408.7648990592917,408.3876594986905,33.10177027534416,1.2231274713956861,399.695
36,2024-11-28 13:00:00+0530,2024-11-28 14:00:00+0530,Short,364.5,364.1,0.39999999999997726,0.03589999999997723,1 hour,ST_Stop,364.5,364.2,364.1,364.5,365.141518554977,366.99599399610474,3.683204828833641,-8.029424503841724,362.0450000000001
39,2024-12-10 15:00:00+0530,2024-12-10 16:00:00+0530,Short,366.75,368.35,-1.6000000000000227,-1.9683500000000227,1 hour,ST_Stop,366.75,368.35,368.35,368.9,368.22212989547467,368.8408923400824,28.75140890569163,34.81329371987647,365.65
40,2024-12-27 12:00:00+0530,2024-12-27 13:00:00+0530,Long,339.0,338.9,-0.10000000000002274,-0.4389000000000227,1 hour,ST_Stop,339.0,338.9,338.9,337.9,338.37890960094535,337.04273644303447,-20.099288325737533,-56.496105371890174,340.51
47,2025-02-04 15:00:00+0530,2025-02-04 16:00:00+0530,Long,319.55,318.5,-1.0500000000000114,-1.3685000000000116,1 hour,ST_Stop,319.55,318.45,318.5,319.7,317.8419790488955,316.8105787016607,-17.02263965130198,-13.065619010329451,320.67
51,2025-03-12 14:00:00+0530,2025-03-12 15:00:00+0530,Short,327.35,328.85,-1.5,-1.82885,1 hour,ST_Stop,327.35,328.95,328.85,330.2,328.7176086609237,328.9443606711163,32.8359135562575,44.82742118774518,326.405
54,2025-03-27 16:00:00+0530,2025-03-28 10:00:00+0530,Long,359.25,362.0,2.75,2.388,1 hour,ST_Stop,359.25,364.0,362.0,360.55,360.899482326054,357.4230398341684,20.92090984966488,41.724068824952795,364.01
56,2025-04-04 13:00:00+0530,2025-04-04 14:00:00+0530,Short,353.3,353.25,0.05000000000001137,-0.30324999999998864,1 hour,ST_Stop,353.3,353.25,353.25,351.7,354.1529231834108,355.2701646181808,-11.333597425206026,-23.788706075725152,351.35
57,2025-04-09 14:00:00+0530,2025-04-09 15:00:00+0530,Short,349.55,348.45,1.1000000000000227,0.7515500000000228,1 hour,ST_Stop,349.55,348.45,348.45,349.2,349.7980169422443,351.74898371682434,42.73985783033823,20.91645662231878,341.32500000000005
59,2025-04-22 16:00:00+0530,2025-04-23 10:00:00+0530,Short,361.15,362.95,-1.8000000000000114,-2.1629500000000115,1 hour,ST_Stop,361.15,360.45,362.95,362.85,361.22294461219747,362.33952505429204,25.20099296133171,55.29925266125396,358.93500000000006
