Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-05-06 15:00:00+0530,2024-05-06 15:15:00+0530,Long,276.6,276.35,-0.25,-0.5263500000000001,15 min,ST_Stop,276.6,276.35,276.35,275.0,276.16368823529297,275.6583343811989,-17.87571778203563,-27.105221203809883,276.73
6,2024-05-07 10:30:00+0530,2024-05-07 10:45:00+0530,Short,274.75,273.9,0.8500000000000227,0.5761000000000227,15 min,ST_Stop,274.75,274.05,273.9,273.05,274.66040503216914,275.5788168348,-3.5190288051703726,-14.096523914813707,271.175
9,2024-05-13 15:30:00+0530,2024-05-14 09:15:00+0530,Short,259.9,261.6,-1.7000000000000455,-1.9616000000000455,15 min,ST_Stop,259.9,261.1,261.6,263.15,260.7745390499471,260.80343343753947,2.3551839003562463,-7.426830460236415,262.27500000000003
14,2024-05-31 14:30:00+0530,2024-05-31 14:45:00+0530,Long,261.3,260.65,-0.6500000000000341,-0.9106500000000342,15 min,ST_Stop,261.3,260.7,260.65,259.45,260.6922043414953,260.251211109265,-34.483914163711916,-61.6353739230558,261.505
28,2024-07-02 14:45:00+0530,2024-07-02 15:00:00+0530,Long,268.65,268.7,0.05000000000001137,-0.21869999999998863,15 min,ST_Stop,268.65,268.7,268.7,268.3,268.35340030120284,267.6718881914473,-31.306055262718193,-21.922865273717036,269.065
35,2024-07-26 13:15:00+0530,2024-07-26 13:30:00+0530,Short,322.4,322.8,-0.4000000000000341,-0.7228000000000341,15 min,ST_Stop,322.4,322.75,322.8,323.85,322.8677023537407,323.28050581399157,31.86893180424203,54.622184752387085,321.765
37,2024-07-29 13:30:00+0530,2024-07-29 13:45:00+0530,Short,323.95,326.35,-2.400000000000034,-2.726350000000034,15 min,ST_Stop,323.95,326.3,326.35,326.8,325.65971875054913,325.7297856058815,-5.4906398756691015,12.317094934225977,322.72
41,2024-07-31 13:15:00+0530,2024-07-31 13:30:00+0530,Short,325.9,326.0,-0.10000000000002274,-0.4260000000000228,15 min,ST_Stop,325.9,326.0,326.0,326.05,326.27693684708913,326.8664307699978,22.509993578456083,14.071569223681347,324.275
45,2024-08-06 10:00:00+0530,2024-08-06 10:15:00+0530,Short,307.05,309.1,-2.0500000000000114,-2.3591000000000113,15 min,ST_Stop,307.05,309.1,309.1,308.1,308.4837624829102,308.6095098387043,-45.52186058287035,-63.39481113954221,300.625
49,2024-08-16 15:00:00+0530,2024-08-16 15:15:00+0530,Short,322.35,322.5,-0.14999999999997726,-0.47249999999997727,15 min,ST_Stop,322.35,322.35,322.5,321.5,322.56220361651924,323.1674477636033,-17.647589294898395,-29.79477450741798,320.825
54,2024-09-06 13:15:00+0530,2024-09-06 13:30:00+0530,Short,301.1,301.1,0.0,-0.30110000000000003,15 min,ST_Stop,301.1,301.0,301.1,301.5,301.63798352459304,302.90769416074386,-20.559084468696934,-37.98239078266291,299.29
55,2024-09-13 13:45:00+0530,2024-09-13 14:00:00+0530,Short,284.8,284.7,0.10000000000002274,-0.18469999999997727,15 min,ST_Stop,284.8,284.7,284.7,284.2,284.94403195974553,285.46474340614094,20.462739949270787,44.05037803499292,283.775
60,2024-09-25 10:45:00+0530,2024-09-25 11:00:00+0530,Long,292.55,293.1,0.5500000000000114,0.25690000000001134,15 min,ST_Stop,292.55,293.1,293.1,292.0,292.4164108759236,291.26096629504633,36.91524006285415,59.375047588830085,295.15500000000003
65,2024-09-27 12:45:00+0530,2024-09-27 13:00:00+0530,Short,286.45,286.35,0.0999999999999659,-0.18635000000003415,15 min,ST_Stop,286.45,286.35,286.35,285.05,286.70005589009406,287.3847947673776,-5.283591141977846,-17.326588423902294,282.705
73,2024-10-18 12:45:00+0530,2024-10-18 13:00:00+0530,Long,276.6,276.25,-0.35000000000002274,-0.6262500000000227,15 min,ST_Stop,276.6,276.25,276.25,276.65,276.12806502523864,275.5666240653027,-33.970443251790435,-42.74521667222151,277.82500000000005
76,2024-10-29 12:30:00+0530,2024-10-29 12:45:00+0530,Long,257.65,256.95,-0.6999999999999886,-0.9569499999999886,15 min,ST_Stop,257.65,257.0,256.95,257.25,256.8586304050334,256.17176364091665,38.28895199218905,26.529034111395067,258.135
82,2024-11-12 12:45:00+0530,2024-11-12 13:00:00+0530,Short,252.4,251.95,0.45000000000001705,0.19805000000001705,15 min,ST_Stop,252.4,251.95,251.95,251.5,252.41056609092732,253.05811646520385,-11.919355003458856,-27.63938001326501,250.195
84,2024-11-18 12:45:00+0530,2024-11-18 13:00:00+0530,Long,245.95,245.0,-0.9499999999999886,-1.1949999999999887,15 min,ST_Stop,245.95,245.15,245.0,244.45,245.0691171730079,244.52146972945735,-8.484035428287,-33.8383248160716,245.96
89,2024-12-02 10:45:00+0530,2024-12-02 11:00:00+0530,Long,256.2,255.8,-0.39999999999997726,-0.6557999999999773,15 min,ST_Stop,256.2,255.8,255.8,255.15,255.72449951268882,255.368206956297,22.699904617317006,27.804161368444074,257.88000000000005
90,2024-12-02 13:00:00+0530,2024-12-02 13:15:00+0530,Long,256.75,256.9,0.14999999999997726,-0.1069000000000227,15 min,ST_Stop,256.75,256.9,256.9,255.95,256.2976064443607,255.39826565532044,12.529083423569823,17.12225142931922,256.995
92,2024-12-12 10:15:00+0530,2024-12-12 10:30:00+0530,Short,256.1,256.0,0.10000000000002274,-0.15599999999997727,15 min,ST_Stop,256.1,256.05,256.0,256.05,256.2702975220192,256.7343554885954,1.2991770427540437,-1.025940794920432,255.98000000000002
98,2024-12-27 11:15:00+0530,2024-12-27 11:30:00+0530,Short,239.2,239.45,-0.25,-0.48944999999999994,15 min,ST_Stop,239.2,239.45,239.45,239.2,239.54903533277235,239.98723172308536,-27.489455634098135,-25.814971674826342,238.715
103,2025-01-10 14:30:00+0530,2025-01-10 14:45:00+0530,Short,262.8,262.74,0.060000000000002274,-0.20273999999999776,15 min,ST_Stop,262.8,262.74,262.74,262.77,263.10899142253055,263.933057474874,4.589494184547476,-25.07430871141907,260.839
104,2025-01-13 10:15:00+0530,2025-01-13 10:30:00+0530,Short,263.0,261.79,1.2099999999999795,0.9482099999999796,15 min,ST_Stop,263.0,261.66,261.79,261.47,262.49320115512216,263.4820688822223,-5.328511318873033,-8.6589585613007,260.839
106,2025-01-24 09:30:00+0530,2025-01-24 09:45:00+0530,Long,264.75,262.88,-1.8700000000000045,-2.1328800000000046,15 min,SMI_Exit,264.75,262.88,262.88,261.0,263.3112849132996,263.1683185774574,7.662121092884039,-15.224207599116268,261.49699999999996
109,2025-02-13 12:15:00+0530,2025-02-13 12:30:00+0530,Long,238.3,237.85,-0.45000000000001705,-0.687850000000017,15 min,ST_Stop,238.3,237.85,237.85,238.35,237.90432557318604,237.6781762753462,-1.5418700487735346,-13.215935031459193,239.70999999999998
112,2025-02-18 11:15:00+0530,2025-02-18 11:30:00+0530,Long,233.2,232.3,-0.8999999999999773,-1.1322999999999772,15 min,ST_Stop,233.2,232.3,232.3,232.4,232.37892490904386,231.91522482734422,53.99019657292611,39.848194543779265,233.80999999999997
116,2025-03-04 09:30:00+0530,2025-03-04 09:45:00+0530,Short,218.53,222.42,-3.8899999999999864,-4.112419999999986,15 min,ST_Stop,218.53,222.42,222.42,224.55,222.1715114055882,223.74621541413052,31.043788998326654,-3.430351428662898,223.325
121,2025-03-13 13:30:00+0530,2025-03-13 13:45:00+0530,Short,225.47,225.31,0.1599999999999966,-0.06531000000000342,15 min,ST_Stop,225.47,225.41,225.31,226.25,225.61718359310805,226.05155226411998,-5.9395682506922745,3.9067946604924373,225.14100000000002
123,2025-03-26 11:00:00+0530,2025-03-26 11:15:00+0530,Long,243.77,243.96,0.18999999999999773,-0.053960000000002284,15 min,ST_Stop,243.77,243.97,243.96,243.18,243.60995739398578,242.9348728056329,4.15601966588589,-11.875246920147806,244.97700000000003
129,2025-04-22 15:30:00+0530,2025-04-23 09:15:00+0530,Short,248.0,248.74,-0.7400000000000091,-0.9887400000000091,15 min,SMI_Exit,248.0,247.5,248.74,249.49,247.94889400171692,248.61593639644454,-3.015595991265516,48.218544887830575,250.326
