Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-07 10:00:00+0530,2024-05-07 11:00:00+0530,Long,307.0,302.25,-4.75,-5.052250000000001,1 hour,ST_Stop,307.0,302.4,302.25,298.95,304.7653118848801,306.34625154751456,,,315.41499999999996
3,2024-05-13 12:00:00+0530,2024-05-13 13:00:00+0530,Short,299.05,303.2,-4.149999999999977,-4.453199999999978,1 hour,ST_Stop,299.05,303.2,303.2,304.2,301.7572083051459,301.2512506125617,-15.109546121688622,-25.300632567724556,295.67
4,2024-05-16 16:00:00+0530,2024-05-17 10:00:00+0530,Long,311.9,314.9,3.0,2.6851000000000003,1 hour,ST_Stop,311.9,312.3,314.9,313.3,311.2310652541282,309.09643651848177,55.463545105436395,55.58434514519992,316.33500000000004
8,2024-05-29 16:00:00+0530,2024-05-30 10:00:00+0530,Long,317.85,314.6,-3.25,-3.5646000000000004,1 hour,ST_Stop,317.85,316.85,314.6,310.8,317.1062679753643,317.018433863338,-17.280761665229242,-10.31077146219059,319.13
12,2024-06-21 11:00:00+0530,2024-06-21 12:00:00+0530,Long,327.25,326.2,-1.0500000000000114,-1.3762000000000114,1 hour,ST_Stop,327.25,326.2,326.2,327.8,326.1250672322464,325.2799415184029,-4.808146144663318,29.889588639417624,330.75
13,2024-06-26 10:00:00+0530,2024-06-26 11:00:00+0530,Short,325.7,325.8,-0.10000000000002274,-0.4258000000000228,1 hour,ST_Stop,325.7,325.8,325.8,327.85,326.9076621294663,328.4387973775047,9.116593396114638,29.17938673474303,324.455
17,2024-07-25 11:00:00+0530,2024-07-25 12:00:00+0530,Short,332.4,337.35,-4.9500000000000455,-5.287350000000046,1 hour,ST_Stop,332.4,337.35,337.35,340.35,336.02230769924836,336.6153029722577,13.279340525785223,-4.536029036125953,340.23500000000007
20,2024-08-07 14:00:00+0530,2024-08-07 15:00:00+0530,Long,350.2,350.2,0.0,-0.3502,1 hour,ST_Stop,350.2,350.3,350.2,352.0,349.3023477160699,347.9430957412948,-33.1353836641609,-19.85142277849327,352.75
24,2024-08-27 16:00:00+0530,2024-08-28 10:00:00+0530,Short,335.6,335.35,0.25,-0.08535000000000004,1 hour,ST_Stop,335.6,335.5,335.35,335.5,336.1381250004183,337.67820543449045,14.676775319157231,13.361263326750462,334.88500000000005
26,2024-09-03 15:00:00+0530,2024-09-03 16:00:00+0530,Short,335.5,335.1,0.39999999999997726,0.06489999999997725,1 hour,ST_Stop,335.5,335.05,335.1,334.5,335.5731728278414,336.49118961542,17.431175994000018,20.070845093876432,331.88
28,2024-09-17 12:00:00+0530,2024-09-17 13:00:00+0530,Short,336.1,336.0,0.10000000000002274,-0.23599999999997728,1 hour,ST_Stop,336.1,336.0,336.0,335.3,336.3744996815843,337.02578385217333,57.36184331133712,65.52245953487638,335.09000000000003
29,2024-10-10 12:00:00+0530,2024-10-10 13:00:00+0530,Long,336.7,335.2,-1.5,-1.8352,1 hour,ST_Stop,336.7,335.2,335.2,335.65,334.8268656298733,333.82537961634836,-37.27876157611591,-61.73872266138822,337.34
31,2024-10-17 16:00:00+0530,2024-10-18 10:00:00+0530,Long,331.45,331.5,0.05000000000001137,-0.28149999999998865,1 hour,ST_Stop,331.45,331.15,331.5,330.6,330.86823897628614,329.9798887076501,-22.67575495623643,-32.47712768251373,332.65
41,2024-11-21 10:00:00+0530,2024-11-21 11:00:00+0530,Short,316.0,318.5,-2.5,-2.8185000000000002,1 hour,ST_Stop,316.0,318.5,318.5,320.0,316.8977738519686,316.32829278857884,-47.09416508110529,-43.83416493191151,319.04999999999995
43,2024-12-13 11:00:00+0530,2024-12-13 12:00:00+0530,Short,326.25,327.7,-1.4499999999999886,-1.7776999999999887,1 hour,ST_Stop,326.25,327.75,327.7,332.6,327.7246770576469,328.0717026918781,14.939488887711589,24.11958778757287,325.08500000000004
45,2024-12-17 13:00:00+0530,2024-12-17 14:00:00+0530,Short,328.45,329.85,-1.400000000000034,-1.729850000000034,1 hour,ST_Stop,328.45,329.95,329.85,330.3,330.13448676570215,331.1835373100696,27.984742828190385,49.9439710849678,328.265
49,2025-01-24 15:00:00+0530,2025-01-24 16:00:00+0530,Short,297.95,295.85,2.099999999999966,1.8041499999999657,1 hour,ST_Stop,297.95,295.85,295.85,296.0,297.37886891346585,299.24279929900183,-47.988979616651406,-26.566559669793715,292.54999999999995
52,2025-02-05 12:00:00+0530,2025-02-05 13:00:00+0530,Long,289.8,285.65,-4.150000000000034,-4.4356500000000345,1 hour,ST_Stop,289.8,285.7,285.65,286.1,287.0906603161443,287.77374161190545,-20.12783020065317,-20.425667723929305,293.40000000000003
53,2025-02-17 15:00:00+0530,2025-02-17 16:00:00+0530,Long,262.75,263.45,0.6999999999999886,0.43654999999998867,1 hour,ST_Stop,262.75,263.45,263.45,263.1,262.5107431449451,261.322466513127,-37.640631486777174,-67.12018915989574,264.14
55,2025-03-12 13:00:00+0530,2025-03-12 14:00:00+0530,Short,264.9,266.05,-1.150000000000034,-1.416050000000034,1 hour,ST_Stop,264.9,266.05,266.05,266.5,265.8903872909905,266.11834376487445,33.4780818176606,51.95429539155138,263.325
57,2025-03-28 14:00:00+0530,2025-03-28 15:00:00+0530,Short,289.3,289.55,-0.25,-0.53955,1 hour,ST_Stop,289.3,289.55,289.55,290.4,289.8569732099323,290.4177318030389,36.64963872083204,62.77676707749122,286.035
59,2025-04-01 14:00:00+0530,2025-04-01 15:00:00+0530,Short,288.4,288.7,-0.30000000000001137,-0.5887000000000113,1 hour,ST_Stop,288.4,288.8,288.7,289.95,289.1504451032026,290.3336622287771,7.660701003047972,42.48396552780473,286.035
61,2025-04-09 11:00:00+0530,2025-04-09 12:00:00+0530,Long,297.45,294.4,-3.0500000000000114,-3.344400000000011,1 hour,ST_Stop,297.45,294.4,294.4,294.95,293.8238809735428,291.1736602602058,-2.927994003428275,-6.112011552785783,299.87999999999994
62,2025-04-23 14:00:00+0530,2025-04-23 15:00:00+0530,Long,313.2,313.7,0.5,0.18630000000000002,1 hour,ST_Stop,313.2,313.7,313.7,314.75,312.84028838311053,311.22084100142115,20.533383777845046,53.47723595450754,317.15999999999997
