Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-14 11:00:00+0530,2024-05-14 12:00:00+0530,Long,1411.15,1410.0,-1.150000000000091,-2.560000000000091,1 hour,ST_Stop,1411.15,1410.0,1410.0,1412.95,1408.2536441656202,1405.2438502414377,-31.252393358813745,-57.95581705418666,1419.5700000000002
7,2024-06-20 12:00:00+0530,2024-06-20 13:00:00+0530,Long,1481.2,1476.2,-5.0,-6.4762,1 hour,ST_Stop,1481.2,1476.2,1476.2,1479.6,1474.82306866541,1470.430253031249,5.776522289100765,13.139762055373078,1482.825
11,2024-07-11 13:00:00+0530,2024-07-11 14:00:00+0530,Long,1585.5,1597.5,12.0,10.4025,1 hour,ST_Stop,1585.5,1597.35,1597.5,1595.5,1589.7445757998842,1580.6556817184255,25.02579072094903,33.433216197657096,1600.9099999999999
13,2024-07-31 11:00:00+0530,2024-07-31 12:00:00+0530,Short,1504.0,1507.5,-3.5,-5.0075,1 hour,ST_Stop,1504.0,1507.5,1507.5,1507.95,1508.1464412683604,1512.043322628122,44.056676406619424,18.386320240808615,1504.005
15,2024-08-12 16:00:00+0530,2024-08-13 10:00:00+0530,Short,1460.4,1460.75,-0.34999999999990905,-1.810749999999909,1 hour,ST_Stop,1460.4,1461.5,1460.75,1462.95,1462.6474819499115,1466.3711443389498,7.900470217624491,-17.955871039244553,1452.205
16,2024-08-13 15:00:00+0530,2024-08-13 16:00:00+0530,Short,1460.8,1465.4,-4.600000000000136,-6.065400000000137,1 hour,ST_Stop,1460.8,1465.6,1465.4,1461.1,1464.7015231554674,1465.8974542051108,21.359920566862133,-0.8262328624587038,1452.205
22,2024-10-28 13:00:00+0530,2024-10-28 14:00:00+0530,Long,1349.2,1341.65,-7.5499999999999545,-8.891649999999956,1 hour,ST_Stop,1349.2,1341.7,1341.65,1338.85,1342.1767148945196,1340.5216576615037,-45.807700753525324,-51.90919953088839,1349.675
24,2024-10-30 11:00:00+0530,2024-10-30 12:00:00+0530,Long,1343.95,1345.0,1.0499999999999545,-0.29500000000004545,1 hour,ST_Stop,1343.95,1345.3,1345.0,1341.25,1342.897760428441,1338.0286760140878,-24.83839603056597,-48.94070747719727,1349.675
26,2024-11-19 11:00:00+0530,2024-11-19 12:00:00+0530,Long,1277.85,1276.65,-1.199999999999818,-2.476649999999818,1 hour,ST_Stop,1277.85,1277.05,1276.65,1276.6,1273.0035007827396,1267.835117740278,-17.513584236801112,-57.80797145792549,1278.6799999999998
31,2025-01-01 14:00:00+0530,2025-01-01 15:00:00+0530,Long,1222.65,1224.2,1.5499999999999545,0.32579999999995435,1 hour,ST_Stop,1222.65,1224.05,1224.2,1220.65,1222.0786263383436,1218.9856071668012,-8.192947730106452,-25.31850313399279,1226.7150000000001
35,2025-01-15 11:00:00+0530,2025-01-15 12:00:00+0530,Long,1251.6,1245.5,-6.099999999999909,-7.345499999999909,1 hour,ST_Stop,1251.6,1245.5,1245.5,1244.7,1244.964395381916,1242.2261882938858,-23.041275063650577,-5.929200564019847,1253.815
40,2025-03-19 11:00:00+0530,2025-03-19 12:00:00+0530,Long,1248.8,1247.4,-1.3999999999998636,-2.6473999999998634,1 hour,ST_Stop,1248.8,1247.5,1247.4,1244.7,1245.6637139805023,1242.0967639939895,-19.488884145783747,10.632856084307026,1255.29
41,2025-03-28 11:00:00+0530,2025-03-28 12:00:00+0530,Long,1283.2,1292.85,9.649999999999864,8.357149999999862,1 hour,ST_Stop,1283.2,1293.1,1292.85,1291.15,1287.028338050511,1280.3394860359824,11.313677189884277,27.06214472765542,1297.99
