Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
3,2024-05-07 13:00:00+0530,2024-05-07 14:00:00+0530,Long,1450.9,1450.45,-0.4500000000000455,-1.9004500000000455,1 hour,ST_Stop,1450.9,1450.1,1450.45,1450.05,1448.3332048361888,1444.1046033655018,,,1467.5500000000002
5,2024-05-15 10:00:00+0530,2024-05-15 11:00:00+0530,Long,1440.0,1440.3,0.2999999999999545,-1.1403000000000454,1 hour,ST_Stop,1440.0,1440.3,1440.3,1440.2,1436.6847842118402,1431.4996348908437,-30.025799686013006,-46.234431569441796,1445.9499999999998
11,2024-06-19 16:00:00+0530,2024-06-20 10:00:00+0530,Short,1449.75,1476.0,-26.25,-27.726,1 hour,ST_Stop,1449.75,1450.0,1476.0,1453.7,1451.6049017405742,1455.0143008149735,22.787899014612922,44.979667164424576,1442.7949999999998
20,2024-09-19 14:00:00+0530,2024-09-19 15:00:00+0530,Short,1831.25,1835.55,-4.2999999999999545,-6.135549999999954,1 hour,ST_Stop,1831.25,1835.55,1835.55,1839.45,1836.2956088337448,1840.425293827504,-16.79055971856885,-38.738116420772954,1813.745
25,2024-10-30 13:00:00+0530,2024-10-30 14:00:00+0530,Short,1631.1,1635.5,-4.400000000000091,-6.035500000000091,1 hour,ST_Stop,1631.1,1635.6,1635.5,1627.95,1635.874147809564,1639.1599357179412,-37.459625053900844,-56.60663153582005,1609.22
26,2024-11-05 16:00:00+0530,2024-11-06 10:00:00+0530,Long,1641.7,1633.2,-8.5,-10.133199999999999,1 hour,ST_Stop,1641.7,1624.85,1633.2,1611.2,1627.5381932749835,1621.1033668047821,-22.228526643352783,-44.811114341337216,1643.18
30,2024-12-30 10:00:00+0530,2024-12-30 11:00:00+0530,Short,1391.25,1401.0,-9.75,-11.151,1 hour,ST_Stop,1391.25,1400.55,1401.0,1405.0,1402.2337787488034,1405.5986679459656,25.792262331297216,19.35146570949392,1392.8049999999998
32,2025-01-20 14:00:00+0530,2025-01-20 15:00:00+0530,Short,1494.2,1494.2,0.0,-1.4942,1 hour,ST_Stop,1494.2,1494.2,1494.2,1498.95,1497.991609171147,1505.7523666292957,22.88009470859465,44.26355736021394,1493.9
35,2025-02-04 11:00:00+0530,2025-02-04 12:00:00+0530,Long,1464.85,1455.65,-9.199999999999818,-10.655649999999817,1 hour,ST_Stop,1464.85,1455.65,1455.65,1469.7,1458.4563734892727,1459.2959363732336,11.916860286413572,25.60872094037579,1515.16
36,2025-02-04 13:00:00+0530,2025-02-04 14:00:00+0530,Long,1469.7,1464.15,-5.5499999999999545,-7.014149999999955,1 hour,ST_Stop,1469.7,1464.15,1464.15,1473.25,1464.1140933723182,1460.237026524339,14.940923336586767,23.617788605382067,1505.9550000000004
39,2025-02-14 15:00:00+0530,2025-02-14 16:00:00+0530,Short,1451.8,1467.7,-15.900000000000091,-17.36770000000009,1 hour,ST_Stop,1451.8,1467.75,1467.7,1462.6,1461.5277312286098,1457.5679143310097,52.184829688080455,28.705804130767003,1443.635
40,2025-02-25 12:00:00+0530,2025-02-25 13:00:00+0530,Short,1464.1,1465.85,-1.75,-3.2158499999999997,1 hour,ST_Stop,1464.1,1465.85,1465.85,1467.6,1468.8510455576363,1476.816907584265,-0.37031786009212814,35.3806486097458,1461.93
41,2025-03-07 14:00:00+0530,2025-03-07 15:00:00+0530,Short,1412.4,1410.4,2.0,0.5895999999999999,1 hour,ST_Stop,1412.4,1410.4,1410.4,1410.8,1414.4058331230356,1420.239253736043,-18.967404452230358,-36.17231872984045,1395.5349999999999
42,2025-03-11 10:00:00+0530,2025-03-11 11:00:00+0530,Short,1403.0,1418.6,-15.599999999999909,-17.018599999999907,1 hour,ST_Stop,1403.0,1418.9,1418.6,1419.05,1417.7648494464092,1418.8338502405863,4.866804216924663,-15.844920844282731,1395.7099999999998
46,2025-04-03 12:00:00+0530,2025-04-03 13:00:00+0530,Short,1542.75,1550.7,-7.9500000000000455,-9.500700000000045,1 hour,ST_Stop,1542.75,1550.7,1550.7,1551.5,1548.558701907462,1548.9229354933298,-11.27454108681186,-2.1296613690422324,1533.7849999999999
