Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-02 09:30:00+0530,2024-05-02 10:00:00+0530,Short,24499.95,25094.6,-594.6499999999978,-619.7445999999977,30 min,ST_Stop,24499.95,25094.6,25094.6,24999.9,24806.92352294922,24597.05604669464,,,24274.829999999998
3,2024-05-06 15:30:00+0530,2024-05-07 09:30:00+0530,Long,25605.95,25575.0,-30.950000000000728,-56.52500000000073,30 min,ST_Stop,25605.95,25458.35,25575.0,25690.45,25460.783570474094,25413.916738528886,3.068368911469972,36.41147047652421,26062.550000000003
10,2024-05-31 11:00:00+0530,2024-05-31 11:30:00+0530,Short,25045.05,24884.95,160.09999999999854,135.21504999999854,30 min,ST_Stop,25045.05,24884.95,24884.95,25037.55,24997.646340560677,25142.328345695947,-38.13981397951284,-45.217624893884555,24813.19
13,2024-06-05 10:00:00+0530,2024-06-05 10:30:00+0530,Long,25240.3,25007.6,-232.70000000000073,-257.70760000000075,30 min,ST_Stop,25240.3,24995.45,25007.6,25175.95,25015.57688843376,24977.58259960512,18.96699066780238,7.480099889582013,25508.215000000004
18,2024-06-25 11:30:00+0530,2024-06-25 12:00:00+0530,Long,27536.5,27340.0,-196.5,-223.83999999999997,30 min,ST_Stop,27536.5,27340.0,27340.0,27325.0,27408.113616046117,27432.86240110062,-17.520724373061583,-11.166451369257548,27707.31
21,2024-07-01 13:30:00+0530,2024-07-01 14:00:00+0530,Short,27798.2,28089.85,-291.6499999999978,-319.7398499999978,30 min,ST_Stop,27798.2,28089.85,28089.85,28607.95,27973.72981311607,27905.88668796261,22.551077226882377,34.90385287710118,27791.945000000003
26,2024-07-22 14:00:00+0530,2024-07-22 14:30:00+0530,Long,27748.9,27824.95,76.04999999999927,48.22504999999927,30 min,ST_Stop,27748.9,27824.95,27824.95,27836.55,27758.740801297667,27672.817256374692,3.058063126119505,-17.520722121333712,27849.88
31,2024-08-02 13:30:00+0530,2024-08-02 14:00:00+0530,Short,27519.55,27445.0,74.54999999999927,47.10499999999928,30 min,ST_Stop,27519.55,27445.0,27445.0,27544.5,27515.60094710937,27604.813003923835,27.7942151763665,42.15793179716279,27384.395
32,2024-08-28 13:30:00+0530,2024-08-28 14:00:00+0530,Short,24747.45,24786.5,-39.04999999999927,-63.836499999999276,30 min,ST_Stop,24747.45,24786.5,24786.5,24755.1,24785.6957271256,24815.220913569072,-13.185538352502682,-17.16017247476192,24736.445
37,2024-09-30 11:00:00+0530,2024-09-30 11:30:00+0530,Long,26400.0,26319.35,-80.65000000000146,-106.96935000000144,30 min,ST_Stop,26400.0,26319.35,26319.35,26357.85,26285.28967842958,26143.791361390442,25.870647981887448,40.06154898758949,26561.809999999998
41,2024-10-21 14:30:00+0530,2024-10-21 15:00:00+0530,Long,24353.95,24316.5,-37.45000000000073,-61.76650000000073,30 min,ST_Stop,24353.95,24316.5,24316.5,24291.35,24309.797940817745,24276.850450079044,-7.268567705857053,-35.503154778954766,24398.485
