Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-03 12:00:00+0530,2024-05-03 12:30:00+0530,Short,1513.95,1509.8,4.150000000000091,2.6402000000000907,30 min,ST_Stop,1513.95,1509.75,1509.8,1514.45,1514.595318095549,1520.7213013847202,,,1507.67
5,2024-05-23 09:30:00+0530,2024-05-23 10:00:00+0530,Long,1510.0,1471.55,-38.450000000000045,-39.92155000000004,30 min,ST_Stop,1510.0,1471.45,1471.55,1480.0,1505.8942139016847,1524.4361440926675,-31.02128200820536,-11.926208892481906,1552.46
9,2024-06-04 11:00:00+0530,2024-06-04 11:30:00+0530,Long,1469.55,1456.0,-13.549999999999955,-15.005999999999954,30 min,ST_Stop,1469.55,1456.0,1456.0,1460.55,1460.5197374130892,1461.040655035539,-29.76628881804747,-33.97789357738153,1471.295
12,2024-07-01 10:30:00+0530,2024-07-01 11:00:00+0530,Short,1511.7,1511.75,-0.049999999999954525,-1.5617499999999545,30 min,ST_Stop,1511.7,1511.8,1511.75,1507.6,1513.6926151928037,1517.7826662192253,5.5853983885018845,33.21323004895597,1506.0700000000002
13,2024-07-08 15:00:00+0530,2024-07-08 15:30:00+0530,Short,1553.45,1555.9,-2.4500000000000455,-4.005900000000046,30 min,ST_Stop,1553.45,1556.1,1555.9,1554.25,1556.2055574199076,1558.42541358147,42.766192593688544,64.32793593015437,1552.285
16,2024-07-12 14:00:00+0530,2024-07-12 14:30:00+0530,Long,1584.55,1586.0,1.4500000000000455,-0.1359999999999546,30 min,ST_Stop,1584.55,1585.8,1586.0,1582.0,1583.3411790312934,1578.7357845888087,-7.706079748589576,11.657781082081938,1594.8500000000001
17,2024-07-16 10:30:00+0530,2024-07-16 11:00:00+0530,Long,1589.25,1589.0,-0.25,-1.839,30 min,ST_Stop,1589.25,1589.2,1589.0,1592.25,1587.6931580375272,1584.546788340565,47.71988315403986,29.575496084047,1594.8500000000001
20,2024-07-18 14:00:00+0530,2024-07-18 14:30:00+0530,Long,1588.8,1592.3,3.5,1.9077000000000002,30 min,ST_Stop,1588.8,1592.3,1592.3,1592.65,1588.6676122123317,1583.3394326513326,51.09307139323019,41.16966536747673,1594.8500000000001
23,2024-08-05 14:00:00+0530,2024-08-05 14:30:00+0530,Short,1722.0,1727.75,-5.75,-7.47775,30 min,ST_Stop,1722.0,1727.75,1727.75,1718.45,1726.2929831204585,1726.7252207331928,31.9136792714185,37.59388820225558,1716.9850000000001
24,2024-08-12 15:30:00+0530,2024-08-13 09:30:00+0530,Short,1731.95,1740.0,-8.049999999999955,-9.789999999999953,30 min,SMI_Exit,1731.95,1733.8,1740.0,1744.1,1734.689911188978,1737.4083895880278,-8.217357638331043,26.95507888982377,1727.0149999999999
25,2024-08-14 11:00:00+0530,2024-08-14 11:30:00+0530,Short,1734.15,1738.55,-4.399999999999864,-6.138549999999864,30 min,ST_Stop,1734.15,1738.55,1738.55,1736.2,1738.1823111718077,1739.9397168196863,6.562030934548951,22.187850977509648,1727.285
26,2024-08-16 11:00:00+0530,2024-08-16 11:30:00+0530,Short,1733.55,1737.95,-4.400000000000091,-6.137950000000091,30 min,ST_Stop,1733.55,1737.95,1737.95,1736.1,1737.5750954969694,1739.3161291054132,-2.749338110136602,5.990093791933133,1728.705
27,2024-08-22 15:30:00+0530,2024-08-23 09:30:00+0530,Short,1751.4,1753.75,-2.349999999999909,-4.103749999999909,30 min,ST_Stop,1751.4,1753.0,1753.75,1759.6,1754.326517408406,1758.8395424059077,4.9122485406704435,36.71146199600346,1751.335
29,2024-08-30 11:00:00+0530,2024-08-30 11:30:00+0530,Long,1806.75,1807.95,1.2000000000000455,-0.6079499999999547,30 min,ST_Stop,1806.75,1807.55,1807.95,1815.65,1805.9188378315484,1802.1212963297587,16.99346698548423,43.853625232385106,1829.645
31,2024-09-10 10:00:00+0530,2024-09-10 10:30:00+0530,Long,1833.1,1832.75,-0.34999999999990905,-2.182749999999909,30 min,ST_Stop,1833.1,1832.75,1832.75,1831.75,1829.2871769970225,1823.1584374273816,-16.235305924700214,-16.506104679381433,1838.2649999999999
34,2024-10-03 13:30:00+0530,2024-10-03 14:00:00+0530,Long,1923.8,1925.0,1.2000000000000455,-0.7249999999999546,30 min,ST_Stop,1923.8,1925.0,1925.0,1915.85,1923.1065824117052,1919.437849752993,-20.190313179558228,-5.795164982182384,1938.25
37,2024-10-14 14:30:00+0530,2024-10-14 15:00:00+0530,Long,1913.6,1912.6,-1.0,-2.9126,30 min,ST_Stop,1913.6,1912.6,1912.6,1909.2,1910.9845659843854,1906.2125059806265,-29.589588561468744,-36.70404911882998,1916.47
39,2024-10-16 10:30:00+0530,2024-10-16 11:00:00+0530,Long,1910.4,1908.3,-2.1000000000001364,-4.008300000000136,30 min,ST_Stop,1910.4,1908.3,1908.3,1900.4,1907.1251822836532,1904.2331198657278,-1.8164621708656112,-15.599216821042146,1914.755
40,2024-10-17 10:00:00+0530,2024-10-17 10:30:00+0530,Long,1909.0,1905.15,-3.849999999999909,-5.75514999999991,30 min,ST_Stop,1909.0,1904.75,1905.15,1898.7,1904.494171187081,1901.4666295507047,-22.588843933132832,-29.84592409898205,1911.44
41,2024-10-28 11:30:00+0530,2024-10-28 12:00:00+0530,Long,1874.25,1870.65,-3.599999999999909,-5.4706499999999085,30 min,ST_Stop,1874.25,1871.2,1870.65,1871.6,1869.1373960544292,1862.3209180007325,21.002985754873233,-12.977089633728422,1884.67
43,2024-10-30 14:30:00+0530,2024-10-30 15:00:00+0530,Short,1855.65,1854.5,1.150000000000091,-0.7044999999999091,30 min,ST_Stop,1855.65,1854.5,1854.5,1852.05,1857.6651958682894,1862.9921751373254,-26.193872080839796,-17.435057543942428,1823.3049999999998
48,2024-11-11 13:00:00+0530,2024-11-11 13:30:00+0530,Short,1797.2,1799.95,-2.75,-4.54995,30 min,ST_Stop,1797.2,1799.7,1799.95,1804.35,1801.0435742312138,1805.3394434659133,-21.019730688130284,-22.09042172423559,1790.545
52,2024-11-22 10:00:00+0530,2024-11-22 10:30:00+0530,Long,1782.0,1771.7,-10.299999999999955,-12.071699999999954,30 min,ST_Stop,1782.0,1771.7,1771.7,1779.3,1774.282981287802,1773.3764312877404,14.52616032777699,8.727591121420346,1792.3400000000001
