Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-05-03 14:00:00+0530,2024-05-03 14:15:00+0530,Short,1084.4,1086.25,-1.849999999999909,-2.9362499999999088,15 min,ST_Stop,1084.4,1086.15,1086.25,1083.2,1086.579423483583,1088.875185218731,22.77813934679996,30.338209625494983,1082.4
5,2024-05-06 09:45:00+0530,2024-05-06 10:00:00+0530,Long,1094.25,1084.15,-10.099999999999909,-11.18414999999991,15 min,ST_Stop,1094.25,1084.15,1084.15,1077.35,1087.0261316864915,1087.0392768953045,-13.637132122423717,6.05124462761559,1095.0949999999998
6,2024-05-06 11:15:00+0530,2024-05-06 11:30:00+0530,Long,1089.45,1088.3,-1.150000000000091,-2.238300000000091,15 min,ST_Stop,1089.45,1088.3,1088.3,1086.45,1087.9996270576014,1086.5101748969576,-18.332292362850673,-8.499885370167929,1095.0949999999998
19,2024-06-04 10:30:00+0530,2024-06-04 10:45:00+0530,Long,1062.45,1065.1,2.6499999999998636,1.5848999999998634,15 min,ST_Stop,1062.45,1065.1,1065.1,1059.05,1061.3181455533654,1054.8351786731853,22.564480325391145,13.058874744856102,1065.8200000000002
21,2024-06-04 12:00:00+0530,2024-06-04 12:15:00+0530,Long,1063.95,1053.5,-10.450000000000045,-11.503500000000045,15 min,ST_Stop,1063.95,1053.5,1053.5,1045.9,1056.1104397742713,1054.772390756442,19.702227494288604,15.107856174305297,1065.8200000000002
25,2024-06-10 09:30:00+0530,2024-06-10 09:45:00+0530,Long,1127.75,1121.1,-6.650000000000091,-7.771100000000091,15 min,ST_Stop,1127.75,1121.05,1121.1,1116.0,1122.791440827889,1122.5472920848476,-23.21069016865031,-3.1277690650184735,1128.4950000000001
31,2024-06-27 09:30:00+0530,2024-06-27 09:45:00+0530,Long,1081.4,1071.05,-10.350000000000136,-11.421050000000136,15 min,ST_Stop,1081.4,1071.05,1071.05,1071.9,1074.5319457655264,1076.1216809078217,-46.03540831556132,-49.038265607609276,1086.1100000000004
35,2024-07-19 14:30:00+0530,2024-07-19 14:45:00+0530,Short,1171.1,1171.8,-0.7000000000000455,-1.8718000000000456,15 min,ST_Stop,1171.1,1171.75,1171.8,1171.35,1172.801170495788,1175.0918920681052,27.26572827210139,54.90371067726584,1166.965
36,2024-07-24 12:30:00+0530,2024-07-24 12:45:00+0530,Long,1219.75,1212.35,-7.400000000000091,-8.612350000000092,15 min,ST_Stop,1219.75,1212.2,1212.35,1213.95,1214.5157802482468,1215.1029310387287,-2.7910383517011157,26.665881293446795,1231.8549999999998
37,2024-07-24 15:30:00+0530,2024-07-25 09:15:00+0530,Long,1219.25,1216.85,-2.400000000000091,-3.616850000000091,15 min,ST_Stop,1219.25,1217.85,1216.85,1210.8,1217.0543373486935,1214.657555198497,-24.888589395488786,-7.0595193721136456,1222.57
