Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
5,2024-05-10 11:15:00+0530,2024-05-10 11:30:00+0530,Short,159.75,160.2,-0.44999999999998863,-0.6101999999999885,15 min,ST_Stop,159.75,160.15,160.2,160.4,160.07920625511827,160.24849145476472,-29.70458265655511,-43.36428098051452,157.385
7,2024-05-22 12:30:00+0530,2024-05-22 12:45:00+0530,Long,169.85,170.2,0.3499999999999943,0.1797999999999943,15 min,ST_Stop,169.85,170.2,170.2,169.8,169.74839106238576,169.05223549759265,36.409782296176715,53.16192242062039,171.23000000000002
9,2024-05-22 14:30:00+0530,2024-05-22 14:45:00+0530,Long,170.25,169.7,-0.5500000000000114,-0.7197000000000113,15 min,ST_Stop,170.25,169.75,169.7,170.0,169.65604840258743,169.2121208823753,9.833342762622673,34.98977482764108,170.67499999999995
13,2024-05-27 09:30:00+0530,2024-05-27 09:45:00+0530,Long,172.95,172.6,-0.3499999999999943,-0.5225999999999943,15 min,ST_Stop,172.95,172.6,172.6,171.9,172.43638103625528,172.05379589465636,34.83983029863344,50.53702907294762,173.34500000000003
16,2024-05-28 09:45:00+0530,2024-05-28 10:00:00+0530,Long,173.4,172.75,-0.6500000000000057,-0.8227500000000056,15 min,ST_Stop,173.4,172.65,172.75,173.35,172.719731374356,172.54039157320375,10.138629595290164,19.06957991634756,173.58999999999997
18,2024-05-28 14:15:00+0530,2024-05-28 14:30:00+0530,Short,171.7,171.5,0.19999999999998863,0.028499999999988618,15 min,ST_Stop,171.7,171.45,171.5,171.4,171.7127733983283,172.12334044607653,-11.02956866185435,-4.31299676764349,170.15999999999997
26,2024-06-18 11:00:00+0530,2024-06-18 11:15:00+0530,Short,178.62,178.8,-0.18000000000000682,-0.3588000000000069,15 min,ST_Stop,178.62,178.84,178.8,179.01,178.85172207372545,179.05415931958552,-2.2224862782424846,22.36291028830758,178.513
32,2024-07-01 10:00:00+0530,2024-07-01 10:15:00+0530,Long,175.29,175.46,0.17000000000001592,-0.005459999999984089,15 min,ST_Stop,175.29,175.53,175.46,175.42,175.28798331778285,174.89822892031412,20.71043756387541,22.853534044877723,175.93
33,2024-07-02 12:45:00+0530,2024-07-02 13:00:00+0530,Short,174.22,173.86,0.3599999999999852,0.1861399999999852,15 min,ST_Stop,174.22,173.88,173.86,173.69,174.15965804255805,174.575142054831,-20.792066777858157,-17.760956498345642,173.33599999999998
50,2024-09-10 10:15:00+0530,2024-09-10 10:30:00+0530,Short,149.03,149.19,-0.1599999999999966,-0.3091899999999966,15 min,ST_Stop,149.03,149.19,149.19,149.3,149.3329469973753,149.72121658832373,-36.780183799496776,-37.23940711947327,148.822
60,2024-10-01 12:30:00+0530,2024-10-01 12:45:00+0530,Long,168.25,167.69,-0.5600000000000023,-0.7276900000000022,15 min,ST_Stop,168.25,167.69,167.69,167.5,167.726349860593,167.48134408917073,-20.097202300931748,-11.87769347999284,168.29299999999998
63,2024-10-03 12:30:00+0530,2024-10-03 12:45:00+0530,Short,167.41,166.85,0.5600000000000023,0.39315000000000233,15 min,ST_Stop,167.41,166.83,166.85,167.74,167.25626272926257,167.81246890757112,20.864091031903023,19.39902770168989,165.73000000000002
64,2024-10-04 11:15:00+0530,2024-10-04 11:30:00+0530,Long,167.97,168.24,0.27000000000001023,0.10176000000001023,15 min,ST_Stop,167.97,168.24,168.24,167.5,167.8548586160005,167.353150930237,8.599307695135492,2.894813173114732,169.346
66,2024-10-10 11:30:00+0530,2024-10-10 11:45:00+0530,Short,159.57,159.31,0.2599999999999909,0.1006899999999909,15 min,ST_Stop,159.57,159.35,159.31,159.29,159.68787724199615,160.29360454683302,17.22209807196967,8.631523139082459,157.30800000000002
71,2024-10-17 09:30:00+0530,2024-10-17 09:45:00+0530,Long,156.18,155.2,-0.9800000000000182,-1.135200000000018,15 min,ST_Stop,156.18,155.11,155.2,153.93,155.39533011077782,155.42139570933375,-3.9777097278777185,-42.22716116642316,154.61700000000002
72,2024-10-21 14:15:00+0530,2024-10-21 14:30:00+0530,Long,155.74,155.02,-0.7199999999999989,-0.8750199999999988,15 min,ST_Stop,155.74,155.02,155.02,155.46,155.1915962840357,155.10898984184217,-0.2475429304040646,21.957723930943438,156.22400000000002
78,2024-11-12 12:30:00+0530,2024-11-12 12:45:00+0530,Short,145.48,145.73,-0.25,-0.39573,15 min,ST_Stop,145.48,145.73,145.73,145.4,145.83121122891663,146.19028043326855,-17.43820643226835,-42.661249185698345,144.764
84,2024-11-28 11:15:00+0530,2024-11-28 11:30:00+0530,Short,143.98,143.89,0.09000000000000341,-0.05388999999999658,15 min,ST_Stop,143.98,143.89,143.89,143.92,144.06230759064843,144.3732885080238,28.642100018389065,23.932299143287732,143.74200000000002
85,2024-11-29 11:00:00+0530,2024-11-29 11:15:00+0530,Long,144.44,144.77,0.3300000000000125,0.18523000000001247,15 min,ST_Stop,144.44,144.78,144.77,144.72,144.49372484452448,144.07635436017594,-3.6013633633227387,-14.793612792659209,144.79100000000003
86,2024-12-05 10:30:00+0530,2024-12-05 10:45:00+0530,Short,145.23,145.47,-0.2400000000000091,-0.3854700000000091,15 min,ST_Stop,145.23,145.47,145.47,145.52,145.45899882682255,145.60650107111428,-2.3036393562765336,-16.585317035817138,144.213
88,2024-12-09 10:30:00+0530,2024-12-09 10:45:00+0530,Short,146.87,147.16,-0.28999999999999204,-0.437159999999992,15 min,ST_Stop,146.87,147.16,147.16,147.13,147.16282891577703,147.30794547434925,22.156720053250908,50.76206884870158,146.83599999999996
92,2024-12-23 12:45:00+0530,2024-12-23 13:00:00+0530,Short,142.36,142.41,-0.04999999999998295,-0.19240999999998296,15 min,ST_Stop,142.36,142.47,142.41,142.17,142.55358523718155,142.78813486872642,22.5993147344713,9.193276505916357,141.46500000000003
95,2025-01-08 09:45:00+0530,2025-01-08 10:00:00+0530,Short,132.44,133.09,-0.6500000000000057,-0.7830900000000056,15 min,ST_Stop,132.44,133.05,133.09,133.06,132.9927557967132,133.2233246835285,20.823243448518454,-14.07932275157578,132.213
