Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-05-13 15:00:00+0530,2024-05-13 16:00:00+0530,Long,3940.55,3941.55,1.0,-2.9415500000000003,1 hour,ST_Stop,3940.55,3941.65,3941.55,3945.65,3935.542771312871,3926.143884866012,22.591908138029716,41.91032627316848,3974.5
8,2024-05-28 10:00:00+0530,2024-05-28 11:00:00+0530,Short,3858.0,3840.9,17.09999999999991,13.259099999999908,1 hour,ST_Stop,3858.0,3840.95,3840.9,3864.65,3848.5793717983615,3862.055972425443,2.415278990055395,-4.923764100408967,3840.11
11,2024-06-14 12:00:00+0530,2024-06-14 13:00:00+0530,Short,3841.0,3841.5,-0.5,-4.3415,1 hour,ST_Stop,3841.0,3841.5,3841.5,3835.8,3845.012795435191,3853.9465856937754,22.05954818278607,49.40274309570209,3829.5299999999997
13,2024-06-24 10:00:00+0530,2024-06-24 11:00:00+0530,Short,3808.75,3838.6,-29.84999999999991,-33.68859999999991,1 hour,ST_Stop,3808.75,3838.6,3838.6,3848.95,3825.7510348008377,3819.283028395903,-29.53849906106271,-47.70482871356054,3785.4700000000003
17,2024-08-12 11:00:00+0530,2024-08-12 12:00:00+0530,Short,4195.4,4211.85,-16.450000000000728,-20.661850000000726,1 hour,ST_Stop,4195.4,4211.85,4211.85,4226.85,4211.283869554303,4218.37988336184,-13.650085974752518,-33.87477267274218,4155.995
18,2024-08-13 15:00:00+0530,2024-08-13 16:00:00+0530,Short,4194.95,4204.35,-9.400000000000546,-13.604350000000547,1 hour,ST_Stop,4194.95,4203.85,4204.35,4197.0,4204.677213803494,4214.696120627386,9.34375383136818,-2.42844681326799,4161.790000000001
22,2024-09-03 11:00:00+0530,2024-09-03 12:00:00+0530,Short,4508.2,4504.15,4.050000000000182,-0.4541499999998182,1 hour,ST_Stop,4508.2,4504.15,4504.15,4527.0,4511.795567341024,4526.855928949408,9.382707218963935,31.71642799392342,4487.2
27,2024-09-30 12:00:00+0530,2024-09-30 13:00:00+0530,Short,4274.75,4266.15,8.600000000000364,4.333850000000364,1 hour,ST_Stop,4274.75,4266.35,4266.15,4277.85,4276.01240305168,4294.113979206611,-16.244613815139527,-24.42359851967365,4265.2
28,2024-10-04 13:00:00+0530,2024-10-04 14:00:00+0530,Long,4284.3,4245.6,-38.69999999999982,-42.945599999999814,1 hour,ST_Stop,4284.3,4244.9,4245.6,4253.0,4257.95699266491,4262.5766238664955,-52.98344142224133,-55.27593254562169,4289.01
29,2024-10-07 11:00:00+0530,2024-10-07 12:00:00+0530,Long,4284.55,4247.45,-37.100000000000364,-41.347450000000364,1 hour,ST_Stop,4284.55,4246.9,4247.45,4261.8,4256.754906020778,4260.372478668427,-48.333610939386176,-53.624801814460604,4289.01
30,2024-10-07 16:00:00+0530,2024-10-08 10:00:00+0530,Long,4273.65,4272.6,-1.0499999999992724,-5.322599999999273,1 hour,ST_Stop,4273.65,4274.0,4272.6,4235.0,4269.870465813149,4261.57443930026,-30.645631333638974,-48.72428658975941,4289.01
32,2024-10-09 11:00:00+0530,2024-10-09 12:00:00+0530,Long,4276.0,4259.0,-17.0,-21.259,1 hour,ST_Stop,4276.0,4259.0,4259.0,4266.5,4261.214590753541,4254.458888124671,-6.923845822036799,-38.053381104407975,4289.01
43,2025-01-02 12:00:00+0530,2025-01-02 13:00:00+0530,Long,4155.15,4136.0,-19.149999999999636,-23.28599999999964,1 hour,ST_Stop,4155.15,4136.0,4136.0,4155.5,4138.176052130167,4129.485938846611,2.5170358021885613,-37.90796713260354,4162.3
44,2025-01-03 12:00:00+0530,2025-01-03 13:00:00+0530,Short,4106.0,4128.9,-22.899999999999636,-27.028899999999638,1 hour,ST_Stop,4106.0,4128.9,4128.9,4105.65,4126.7576254072665,4134.54925148336,20.839267512675637,-6.650747795782852,4096.705
53,2025-03-28 11:00:00+0530,2025-03-28 12:00:00+0530,Short,3613.9,3627.65,-13.75,-17.37765,1 hour,ST_Stop,3613.9,3626.35,3627.65,3620.0,3628.054935668056,3633.0543050351994,42.79603816984724,54.78262174373305,3597.025
54,2025-04-17 11:00:00+0530,2025-04-17 12:00:00+0530,Short,3235.0,3235.0,0.0,-3.235,1 hour,ST_Stop,3235.0,3235.0,3235.0,3256.6,3243.8768161998205,3262.463478737477,11.349388160529621,6.384290446108014,3224.63
