Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-07 09:20:00+0530,2024-05-07 09:25:00+0530,Long,3939.65,3926.95,-12.700000000000273,-16.62695000000027,5 min,ST_Stop,3939.65,3926.65,3926.95,3934.65,3928.548513972668,3925.550759461676,-0.043938858203133764,12.232869619549941,3941.2000000000003
5,2024-05-10 09:25:00+0530,2024-05-10 09:30:00+0530,Short,3929.1,3928.7,0.40000000000009095,-3.528699999999909,5 min,SMI_Exit,3929.1,3928.75,3928.7,3952.65,3935.7521180915664,3951.402804260913,-1.9178485867794368,34.08191934697597,3967.0299999999997
13,2024-06-04 15:05:00+0530,2024-06-04 15:10:00+0530,Short,3685.3,3684.95,0.3500000000003638,-3.334949999999636,5 min,ST_Stop,3685.3,3684.95,3684.95,3732.85,3687.727193569865,3694.213453559301,47.50658223663733,46.64049509502303,3650.2749999999996
21,2024-07-12 09:15:00+0530,2024-07-12 09:20:00+0530,Short,3980.0,4023.55,-43.55000000000018,-47.57355000000018,5 min,ST_Stop,3980.0,4022.1,4023.55,4029.5,3967.389660564744,3925.0728503116434,11.463036606440893,-1.5972147387958988,3919.25
23,2024-07-23 13:45:00+0530,2024-07-23 13:50:00+0530,Long,4307.95,4309.45,1.5,-2.80945,5 min,ST_Stop,4307.95,4311.0,4309.45,4309.65,4304.297751071537,4293.157543962677,-3.5900915046457462,-10.074627542573333,4314.284999999999
31,2024-08-21 09:15:00+0530,2024-08-21 09:20:00+0530,Short,4518.0,4527.8,-9.800000000000182,-14.327800000000181,5 min,ST_Stop,4518.0,4528.25,4527.8,4516.6,4520.4362493880535,4518.134109254987,50.3221676613108,24.6232621312229,4485.049999999999
48,2024-10-14 09:55:00+0530,2024-10-14 10:00:00+0530,Long,4150.1,4151.5,1.3999999999996362,-2.751500000000364,5 min,ST_Stop,4150.1,4151.5,4151.5,4154.35,4147.994699388287,4140.802160688079,5.1671553074641805,9.018794788222937,4163.615
52,2024-10-21 10:45:00+0530,2024-10-21 10:50:00+0530,Long,4121.85,4117.8,-4.050000000000182,-8.167800000000181,5 min,ST_Stop,4121.85,4117.7,4117.8,4115.45,4116.693041517763,4111.953451399348,-11.754500609733556,-32.281126042511,4125.4
70,2024-12-09 09:20:00+0530,2024-12-09 09:25:00+0530,Short,4428.05,4441.75,-13.699999999999818,-18.141749999999817,5 min,SMI_Exit,4428.05,4440.1,4441.75,4459.15,4438.020241544151,4442.461325974391,-12.790397428149888,30.888883324644258,4465.734999999999
71,2024-12-09 09:30:00+0530,2024-12-09 09:35:00+0530,Long,4459.15,4455.0,-4.149999999999636,-8.604999999999636,5 min,ST_Stop,4459.15,4455.0,4455.0,4463.7,4451.792560386038,4444.277497548869,11.365380326885292,26.585202412147506,4465.734999999999
