Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
1,2024-05-09 12:00:00+0530,2024-05-09 13:00:00+0530,Short,1242.2,1253.45,-11.25,-12.50345,1 hour,ST_Stop,1242.2,1253.45,1253.45,1243.05,1249.5434252977202,1248.5562400505341,40.771012780299536,67.2192699922092,1234.875
2,2024-05-09 14:00:00+0530,2024-05-09 15:00:00+0530,Short,1243.05,1241.6,1.4500000000000455,0.20840000000004544,1 hour,ST_Stop,1243.05,1241.6,1241.6,1243.7,1243.94835632443,1247.775127869406,25.81569208960759,60.332195295814195,1234.875
3,2024-05-14 15:00:00+0530,2024-05-14 16:00:00+0530,Long,1253.55,1248.55,-5.0,-6.24855,1 hour,ST_Stop,1253.55,1249.0,1248.55,1247.0,1246.1665084954157,1238.2009130640663,-26.888645053480868,-24.511661894315747,1254.305
4,2024-05-27 10:00:00+0530,2024-05-27 11:00:00+0530,Short,1295.0,1296.0,-1.0,-2.2960000000000003,1 hour,ST_Stop,1295.0,1296.0,1296.0,1305.1,1295.5538856635565,1296.7160053143612,45.05447945298174,72.68062245160718,1288.2749999999999
6,2024-05-28 11:00:00+0530,2024-05-28 12:00:00+0530,Short,1289.0,1294.45,-5.4500000000000455,-6.744450000000045,1 hour,ST_Stop,1289.0,1294.45,1294.45,1293.45,1295.1783354908735,1298.4943422219033,28.6645682965952,56.37521407276159,1288.2749999999999
9,2024-07-04 16:00:00+0530,2024-07-05 10:00:00+0530,Short,1426.9,1439.0,-12.099999999999909,-13.538999999999909,1 hour,ST_Stop,1426.9,1434.0,1439.0,1433.2,1433.2223577059665,1435.518738639182,40.38472141088432,57.863051541278296,1423.23
11,2024-07-09 12:00:00+0530,2024-07-09 13:00:00+0530,Short,1431.3,1431.4,-0.10000000000013642,-1.5314000000001367,1 hour,ST_Stop,1431.3,1431.45,1431.4,1433.35,1432.58840120207,1435.18197728779,-27.521986146772853,11.697855315806569,1423.23
12,2024-07-10 10:00:00+0530,2024-07-10 11:00:00+0530,Long,1444.1,1430.95,-13.149999999999864,-14.580949999999863,1 hour,ST_Stop,1444.1,1430.95,1430.95,1419.35,1434.1918250375647,1435.1234496707389,-38.9192928670493,-6.8549608058016585,1423.23
16,2024-08-07 14:00:00+0530,2024-08-07 15:00:00+0530,Short,1484.95,1485.0,-0.049999999999954525,-1.5349999999999546,1 hour,ST_Stop,1484.95,1485.0,1485.0,1474.45,1488.6005039469815,1495.9687174666808,-13.348775440963918,-13.587252287934533,1450.26
17,2024-08-26 10:00:00+0530,2024-08-26 11:00:00+0530,Long,1610.0,1620.85,10.849999999999909,9.229149999999908,1 hour,ST_Stop,1610.0,1620.85,1620.85,1617.4,1611.6141132263535,1600.085997799965,46.34988965348964,61.066647617927146,1622.625
