Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
10,2024-07-02 14:00:00+0530,2024-07-02 15:00:00+0530,Short,3387.9,3395.25,-7.349999999999909,-10.74524999999991,1 hour,ST_Stop,3387.9,3395.25,3395.25,3402.95,3397.047089332715,3405.558695033167,11.447756068868081,1.6347070998402602,3382.51
11,2024-07-18 13:00:00+0530,2024-07-18 14:00:00+0530,Short,3223.1,3234.65,-11.550000000000182,-14.784650000000184,1 hour,ST_Stop,3223.1,3234.65,3234.65,3249.6,3232.7472778072906,3235.2746185162055,21.58562354395877,22.972352965892988,3204.155
13,2024-08-02 11:00:00+0530,2024-08-02 12:00:00+0530,Short,3422.1,3441.95,-19.84999999999991,-23.291949999999908,1 hour,ST_Stop,3422.1,3441.95,3441.95,3434.0,3442.347538953832,3449.7660923361536,11.576162786743891,23.111378623305516,3410.025
17,2024-08-30 11:00:00+0530,2024-08-30 12:00:00+0530,Long,3572.0,3568.0,-4.0,-7.568,1 hour,ST_Stop,3572.0,3569.1,3568.0,3568.95,3563.6113837546045,3554.910749593311,-38.47903449681428,-10.96777824235557,3581.205
18,2024-09-19 11:00:00+0530,2024-09-19 12:00:00+0530,Long,3778.8,3777.8,-1.0,-4.7778,1 hour,ST_Stop,3778.8,3778.75,3777.8,3774.85,3766.0635501946904,3750.539989150766,13.451624917086786,28.505731329741405,3782.8900000000003
20,2024-10-01 12:00:00+0530,2024-10-01 13:00:00+0530,Short,3782.05,3784.75,-2.699999999999818,-6.484749999999819,1 hour,ST_Stop,3782.05,3784.75,3784.75,3769.9,3789.4282892213855,3798.0241327457306,27.216147038313668,25.19724238371074,3746.7849999999994
21,2024-10-14 14:00:00+0530,2024-10-14 15:00:00+0530,Short,3500.0,3507.2,-7.199999999999818,-10.707199999999819,1 hour,ST_Stop,3500.0,3507.2,3507.2,3501.5,3506.336222288697,3509.7946519769575,-54.26228576228146,-70.20675550605631,3446.925
22,2024-10-30 14:00:00+0530,2024-10-30 15:00:00+0530,Long,3312.75,3298.7,-14.050000000000182,-17.348700000000182,1 hour,ST_Stop,3312.75,3298.7,3298.7,3308.15,3298.1233670656334,3290.0946781591856,-8.878209376033253,-45.26763875152799,3326.215
32,2025-01-08 13:00:00+0530,2025-01-08 14:00:00+0530,Short,3415.0,3421.05,-6.050000000000182,-9.471050000000183,1 hour,ST_Stop,3415.0,3421.05,3421.05,3468.4,3428.984553572206,3442.7553239097997,34.94768325735627,49.72200515981007,3402.2999999999997
34,2025-01-10 15:00:00+0530,2025-01-10 16:00:00+0530,Short,3449.5,3438.15,11.349999999999909,7.911849999999909,1 hour,ST_Stop,3449.5,3438.1,3438.15,3438.95,3446.6842908409662,3458.9765743633675,-2.5691777010356467,31.061990490602255,3412.76
37,2025-01-22 14:00:00+0530,2025-01-22 15:00:00+0530,Short,3354.4,3341.3,13.099999999999909,9.758699999999909,1 hour,ST_Stop,3354.4,3341.3,3341.3,3351.1,3351.289183743943,3363.3681730210033,17.38168858880923,2.2569658908866104,3328.555
39,2025-01-27 12:00:00+0530,2025-01-27 13:00:00+0530,Short,3366.9,3371.6,-4.699999999999818,-8.071599999999819,1 hour,ST_Stop,3366.9,3371.6,3371.6,3360.7,3375.504495218627,3385.0120652308515,15.001728693819325,34.41018297571869,3337.5800000000004
40,2025-02-05 12:00:00+0530,2025-02-05 13:00:00+0530,Short,3502.85,3495.7,7.150000000000091,3.6543000000000916,1 hour,ST_Stop,3502.85,3495.7,3495.7,3501.0,3507.3868913868155,3521.6400673549415,31.153800657576294,48.5958706703,3486.6349999999998
43,2025-03-10 10:00:00+0530,2025-03-10 11:00:00+0530,Short,3080.0,3061.3,18.699999999999818,15.638699999999817,1 hour,ST_Stop,3080.0,3061.0,3061.3,3057.65,3075.4225937636215,3093.1285385796996,-12.588203818403137,-31.147663599308967,3052.3450000000007
47,2025-03-28 15:00:00+0530,2025-03-28 16:00:00+0530,Short,3059.15,3069.25,-10.099999999999909,-13.16924999999991,1 hour,ST_Stop,3059.15,3069.25,3069.25,3062.0,3070.4251546733067,3080.403584237625,-48.406175194170224,-42.28879600353344,3045.21
49,2025-04-25 14:00:00+0530,2025-04-25 15:00:00+0530,Long,3352.0,3376.0,24.0,20.624000000000002,1 hour,ST_Stop,3352.0,3376.0,3376.0,3364.2,3361.1508593069057,3343.0901840666706,53.103085618577836,70.62106441535147,3404.31
