Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
3,2024-05-10 11:00:00+0530,2024-05-10 11:30:00+0530,Long,3291.3,3290.0,-1.300000000000182,-4.590000000000182,30 min,ST_Stop,3291.3,3290.0,3290.0,3290.2,3283.5169171060347,3271.6753398827523,-16.230618133671705,-48.96095204658571,3295.3999999999996
6,2024-05-27 12:30:00+0530,2024-05-27 13:00:00+0530,Long,3433.0,3428.25,-4.75,-8.17825,30 min,ST_Stop,3433.0,3428.25,3428.25,3426.1,3425.4655975707915,3417.4712642294407,12.281095640462844,35.624202267761135,3443.7599999999998
13,2024-07-18 10:00:00+0530,2024-07-18 10:30:00+0530,Short,3218.75,3247.9,-29.15000000000009,-32.39790000000009,30 min,SMI_Exit,3218.75,3248.4,3247.9,3243.15,3237.9657606519477,3234.465098733347,-3.218467204967788,-5.449649914479122,3248.96
16,2024-08-01 13:30:00+0530,2024-08-01 14:00:00+0530,Short,3446.0,3448.6,-2.599999999999909,-6.048599999999908,30 min,ST_Stop,3446.0,3448.6,3448.6,3450.55,3451.913286451334,3461.1318911515345,32.388632842423014,35.17070723585425,3436.515
18,2024-08-05 10:00:00+0530,2024-08-05 10:30:00+0530,Short,3354.2,3436.55,-82.35000000000036,-85.78655000000037,30 min,ST_Stop,3354.2,3437.3,3436.55,3458.0,3419.205594755719,3441.7969276967774,-18.426784602783233,-12.041597539161614,3441.375
19,2024-08-12 12:00:00+0530,2024-08-12 12:30:00+0530,Long,3340.9,3336.7,-4.200000000000273,-7.536700000000273,30 min,ST_Stop,3340.9,3336.7,3336.7,3328.0,3332.242978133456,3320.8211235137355,-5.617859196133633,-44.3461318390419,3348.81
22,2024-09-10 10:00:00+0530,2024-09-10 10:30:00+0530,Long,3700.5,3673.25,-27.25,-30.923250000000003,30 min,SMI_Exit,3700.5,3673.9,3673.25,3682.2,3681.079769783558,3679.309520758155,1.5030853906326085,20.41612050833325,3721.555
23,2024-09-11 15:30:00+0530,2024-09-12 09:30:00+0530,Short,3706.6,3736.0,-29.40000000000009,-33.13600000000009,30 min,ST_Stop,3706.6,3710.3,3736.0,3729.35,3710.9460432457786,3715.138334716171,36.90671150308407,45.65363765786261,3692.84
26,2024-10-04 13:30:00+0530,2024-10-04 14:00:00+0530,Short,3679.0,3700.8,-21.800000000000182,-25.500800000000183,30 min,ST_Stop,3679.0,3700.75,3700.8,3698.75,3703.5401311325068,3727.0267476529766,-30.590418977385628,-35.886796646241436,3631.685
31,2024-11-18 10:00:00+0530,2024-11-18 10:30:00+0530,Long,3188.95,3180.0,-8.949999999999818,-12.129999999999818,30 min,ST_Stop,3188.95,3179.8,3180.0,3178.0,3180.6006725137886,3177.665604300612,-31.965049105188953,-25.853521984818766,3202.1150000000002
35,2024-11-22 11:00:00+0530,2024-11-22 11:30:00+0530,Long,3214.8,3226.5,11.699999999999818,8.473499999999817,30 min,ST_Stop,3214.8,3226.5,3226.5,3225.0,3214.7947403233206,3195.7868940009253,-26.399510575230593,-19.769173218071586,3228.2900000000004
37,2024-12-24 13:00:00+0530,2024-12-24 13:30:00+0530,Short,3371.25,3363.25,8.0,4.636749999999999,30 min,ST_Stop,3371.25,3362.2,3363.25,3366.95,3371.48402121285,3384.9388906687495,19.149066188337233,19.747681585227856,3355.735
44,2025-01-21 15:30:00+0530,2025-01-22 09:30:00+0530,Short,3351.0,3354.8,-3.800000000000182,-7.154800000000183,30 min,ST_Stop,3351.0,3364.0,3354.8,3358.2,3364.609029802539,3368.65686867753,36.35975848771138,47.27649858611932,3297.11
46,2025-01-29 11:00:00+0530,2025-01-29 11:30:00+0530,Long,3362.0,3362.8,0.8000000000001819,-2.5627999999998186,30 min,ST_Stop,3362.0,3362.8,3362.8,3349.9,3357.100627047749,3348.325780104407,-38.98391557472582,-45.90645723739221,3373.875
48,2025-02-04 12:30:00+0530,2025-02-04 13:00:00+0530,Short,3539.8,3536.75,3.050000000000182,-0.48674999999981816,30 min,ST_Stop,3539.8,3536.75,3536.75,3539.55,3541.77564378394,3549.4717406220025,30.36642951617555,51.50608814514694,3522.455
53,2025-03-06 10:30:00+0530,2025-03-06 11:00:00+0530,Short,3067.3,3068.85,-1.5499999999997272,-4.618849999999727,30 min,ST_Stop,3067.3,3069.25,3068.85,3079.4,3071.83347865683,3077.092823849,33.9051090241104,-0.1456589568575956,3058.3150000000005
56,2025-03-27 10:30:00+0530,2025-03-27 11:00:00+0530,Long,3085.05,3081.7,-3.350000000000364,-6.4317000000003635,30 min,ST_Stop,3085.05,3081.0,3081.7,3083.0,3078.8622581746586,3072.32324553784,-28.827626854475035,-61.9916218760727,3090.325
61,2025-04-25 14:30:00+0530,2025-04-25 15:00:00+0530,Long,3376.0,3364.1,-11.900000000000091,-15.264100000000091,30 min,ST_Stop,3376.0,3365.0,3364.1,3364.2,3362.935896327571,3354.924745359437,-15.770792574081149,15.913292983056678,3395.31
