Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
4,2024-05-08 11:00:00+0530,2024-05-08 11:15:00+0530,Short,456.5,457.3,-0.8000000000000114,-1.2573000000000114,15 min,ST_Stop,456.5,457.55,457.3,456.45,457.42436078438294,457.8661023769067,-24.138546318942517,-45.93683534770682,451.22499999999997
6,2024-05-09 11:00:00+0530,2024-05-09 11:15:00+0530,Short,456.35,456.1,0.25,-0.2061,15 min,ST_Stop,456.35,456.1,456.1,456.6,456.78671323171795,458.19750620897946,23.15785085689873,27.03797268407915,455.375
12,2024-05-29 12:00:00+0530,2024-05-29 12:15:00+0530,Short,497.45,498.4,-0.9499999999999886,-1.4483999999999888,15 min,ST_Stop,497.45,498.4,498.4,499.35,498.2871185674196,498.73293798325193,-43.53815693160287,-44.24249706522897,492.47499999999997
16,2024-06-10 12:00:00+0530,2024-06-10 12:15:00+0530,Long,517.9,516.1,-1.7999999999999545,-2.3160999999999543,15 min,ST_Stop,517.9,516.1,516.1,514.85,516.2328381128966,515.557625667886,7.423887215421349,26.174482895508277,521.145
20,2024-06-26 15:15:00+0530,2024-06-26 15:30:00+0530,Short,545.8,548.45,-2.650000000000091,-3.198450000000091,15 min,ST_Stop,545.8,548.45,548.45,546.75,547.633727893525,547.5175534830203,8.549189155533481,4.223106985601724,543.63
22,2024-06-27 11:00:00+0530,2024-06-27 11:15:00+0530,Short,544.85,546.25,-1.3999999999999773,-1.9462499999999774,15 min,ST_Stop,544.85,546.25,546.25,546.15,546.5698900935421,547.3715305283137,2.3380840067685424,5.08478188806191,543.63
27,2024-07-09 13:00:00+0530,2024-07-09 13:15:00+0530,Short,543.35,543.0,0.35000000000002274,-0.1929999999999773,15 min,ST_Stop,543.35,543.0,543.0,542.1,543.6428990324224,544.8886263497274,-7.526213649021538,-11.6817014227806,540.21
28,2024-07-10 15:15:00+0530,2024-07-10 15:30:00+0530,Long,537.05,536.75,-0.2999999999999545,-0.8367499999999546,15 min,ST_Stop,537.05,536.8,536.75,537.1,536.3832278777334,535.4876637845375,-17.257449590147804,-40.37800532064002,538.1
34,2024-08-02 14:15:00+0530,2024-08-02 14:30:00+0530,Long,539.85,538.6,-1.25,-1.7886000000000002,15 min,ST_Stop,539.85,538.4,538.6,537.5,538.0609158468933,536.8557145191603,-16.353197433788587,-43.16597575285058,540.3599999999999
37,2024-08-06 14:00:00+0530,2024-08-06 14:15:00+0530,Short,516.65,518.45,-1.8000000000000682,-2.318450000000068,15 min,ST_Stop,516.65,518.65,518.45,514.0,518.650528835017,519.6108140208822,31.77981411561983,12.725566486137229,513.22
53,2024-09-16 10:30:00+0530,2024-09-16 10:45:00+0530,Short,585.9,586.55,-0.6499999999999773,-1.2365499999999772,15 min,ST_Stop,585.9,586.35,586.55,587.0,586.6361095498194,587.8701939693381,-31.871560402336723,-2.1539163931073975,584.5600000000001
55,2024-09-20 09:30:00+0530,2024-09-20 09:45:00+0530,Long,573.7,570.3,-3.400000000000091,-3.9703000000000905,15 min,ST_Stop,573.7,570.3,570.3,572.2,570.9224875760724,570.0641810059286,-31.591080880406487,-52.682051679595524,574.265
59,2024-10-03 12:00:00+0530,2024-10-03 12:15:00+0530,Short,589.4,589.0,0.39999999999997726,-0.1890000000000227,15 min,ST_Stop,589.4,589.0,589.0,587.85,590.5548648243453,593.8778305500688,7.044520654635964,38.306110588478,584.3100000000001
61,2024-10-09 13:15:00+0530,2024-10-09 13:30:00+0530,Long,560.75,557.6,-3.1499999999999773,-3.707599999999977,15 min,ST_Stop,560.75,557.85,557.6,555.8,557.881494126992,556.4622843534067,15.182621284074576,-17.46831098742202,560.8249999999999
68,2024-11-04 12:15:00+0530,2024-11-04 12:30:00+0530,Long,527.65,529.85,2.2000000000000455,1.6701500000000453,15 min,ST_Stop,527.65,529.65,529.85,528.0,528.0329274032301,526.0299422978783,-7.500142631387009,16.786561084405932,533.82
70,2024-11-08 09:30:00+0530,2024-11-08 09:45:00+0530,Short,541.85,543.2,-1.3500000000000227,-1.8932000000000229,15 min,ST_Stop,541.85,543.25,543.2,545.85,543.1632679782756,543.6152100681774,-7.64754783743772,26.484300963582044,540.265
74,2024-11-12 13:00:00+0530,2024-11-12 13:15:00+0530,Short,515.1,513.25,1.8500000000000227,1.3367500000000225,15 min,ST_Stop,515.1,513.35,513.25,511.6,515.4147271487983,517.867738722299,25.91376844853311,-2.8400549996493347,504.665
76,2024-11-21 10:00:00+0530,2024-11-21 10:15:00+0530,Long,526.5,527.85,1.3500000000000227,0.8221500000000228,15 min,ST_Stop,526.5,527.85,527.85,525.55,526.2908155054502,523.8287181317668,39.999297591272665,66.12934967148637,533.185
77,2024-11-21 11:15:00+0530,2024-11-21 11:30:00+0530,Long,528.1,531.75,3.6499999999999773,3.1182499999999775,15 min,ST_Stop,528.1,532.05,531.75,531.95,528.9231504845453,524.6153153608947,37.08748165796556,52.727206747631854,533.185
79,2024-11-22 12:15:00+0530,2024-11-22 12:30:00+0530,Long,534.85,536.45,1.6000000000000227,1.0635500000000224,15 min,ST_Stop,534.85,536.45,536.45,537.0,534.5790591422219,531.8709001795331,26.361176342510333,35.98630545866319,539.86
80,2024-11-25 15:30:00+0530,2024-11-26 09:15:00+0530,Short,545.5,545.0,0.5,-0.04500000000000004,15 min,ST_Stop,545.5,547.25,545.0,546.6,547.0452325901456,547.451581972101,49.17672483484972,69.1636861813277,544.3950000000001
94,2025-01-14 12:45:00+0530,2025-01-14 13:00:00+0530,Short,536.75,536.85,-0.10000000000002274,-0.6368500000000228,15 min,ST_Stop,536.75,536.9,536.85,535.7,537.4619998952217,538.6835122424966,-25.416327557451517,-39.34802316025979,528.9499999999999
95,2025-01-15 15:30:00+0530,2025-01-16 09:15:00+0530,Long,547.55,546.95,-0.599999999999909,-1.146949999999909,15 min,ST_Stop,547.55,545.3,546.95,550.0,546.080158342025,546.1406680271333,39.75759261671029,57.40646054491223,550.7049999999999
96,2025-01-16 09:30:00+0530,2025-01-16 09:45:00+0530,Long,550.6,550.05,-0.5500000000000682,-1.1000500000000681,15 min,ST_Stop,550.6,550.3,550.05,548.95,549.1700395855062,546.6419373681781,49.21037943011889,55.52373109106348,550.7049999999999
103,2025-02-07 10:00:00+0530,2025-02-07 10:15:00+0530,Short,638.1,640.75,-2.6499999999999773,-3.290749999999977,15 min,ST_Stop,638.1,640.35,640.75,639.2,640.2122487689282,641.5725647318261,30.717927593092355,34.7148718034341,636.43
