Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
2,2024-05-23 14:00:00+0530,2024-05-23 15:00:00+0530,Short,490.15,489.8,0.3499999999999659,-0.13980000000003412,1 hour,ST_Stop,490.15,489.8,489.8,489.8,490.345548244391,491.4053793688277,-15.58731672423187,-2.418725724108885,488.055
9,2024-06-24 11:00:00+0530,2024-06-24 12:00:00+0530,Short,533.0,543.3,-10.299999999999955,-10.843299999999953,1 hour,ST_Stop,533.0,543.2,543.3,543.9,540.4738354826536,539.2849108228144,14.969514262522011,36.628270563676445,532.72
10,2024-06-27 14:00:00+0530,2024-06-27 15:00:00+0530,Short,542.5,540.05,2.4500000000000455,1.9099500000000456,1 hour,ST_Stop,542.5,540.05,540.05,542.7,542.2069062098167,544.9086013515913,24.33095405772997,38.3875584730038,535.74
14,2024-07-05 13:00:00+0530,2024-07-05 14:00:00+0530,Long,549.4,549.85,0.4500000000000455,-0.09984999999995459,1 hour,ST_Stop,549.4,549.85,549.85,548.25,549.2541263577516,548.1679970011925,20.34189013850978,21.48391044352669,552.9350000000001
18,2024-08-08 10:00:00+0530,2024-08-08 11:00:00+0530,Long,524.45,525.75,1.2999999999999545,0.7742499999999546,1 hour,ST_Stop,524.45,525.75,525.75,525.6,524.6395403484767,522.8467081087706,-17.10465167390549,-19.10448452802906,532.54
21,2024-09-12 11:00:00+0530,2024-09-12 12:00:00+0530,Long,589.05,586.1,-2.949999999999932,-3.536099999999932,1 hour,ST_Stop,589.05,586.1,586.1,584.95,586.9054618472566,586.8703743207718,14.260352027585318,32.82516123832018,595.615
23,2024-09-12 15:00:00+0530,2024-09-12 16:00:00+0530,Long,589.0,590.8,1.7999999999999545,1.2091999999999548,1 hour,ST_Stop,589.0,590.75,590.8,589.0,589.2847163654535,587.1774825044258,11.682422920892263,24.761080251047826,595.615
27,2024-10-29 10:00:00+0530,2024-10-29 11:00:00+0530,Short,510.15,509.7,0.44999999999998863,-0.05970000000001141,1 hour,ST_Stop,510.15,509.7,509.7,504.65,510.7581379918669,512.1661175549448,-35.8233164003942,-51.87126413709687,497.15500000000003
36,2025-01-02 11:00:00+0530,2025-01-02 12:00:00+0530,Long,507.15,504.4,-2.75,-3.2544000000000004,1 hour,ST_Stop,507.15,504.4,504.4,506.9,504.19563883093406,502.5404307489972,-32.053593351177064,-47.54448387941792,508.91
37,2025-01-13 14:00:00+0530,2025-01-13 15:00:00+0530,Short,538.3,535.85,2.449999999999932,1.9141499999999319,1 hour,ST_Stop,538.3,535.85,535.85,533.1,537.966450620037,540.4587014115803,35.48948839991658,58.13656264689081,532.9150000000001
43,2025-02-14 11:00:00+0530,2025-02-14 12:00:00+0530,Short,613.2,615.9,-2.699999999999932,-3.3158999999999317,1 hour,ST_Stop,613.2,615.9,615.9,617.3,619.1020953158904,624.4307495905794,5.803700760277316,-2.632916893262158,611.55
45,2025-02-27 12:00:00+0530,2025-02-27 13:00:00+0530,Short,641.95,641.6,0.35000000000002274,-0.2915999999999773,1 hour,ST_Stop,641.95,641.6,641.6,638.75,642.8282449845498,644.7243271679251,33.88859555349587,48.69124106096091,637.1899999999999
46,2025-03-07 10:00:00+0530,2025-03-07 11:00:00+0530,Short,624.55,629.35,-4.800000000000068,-5.429350000000069,1 hour,SMI_Exit,624.55,629.35,629.35,637.1,627.1799009118963,626.3376847137473,-5.332150833498056,-27.605759990513327,618.49
48,2025-03-26 12:00:00+0530,2025-03-26 13:00:00+0530,Long,655.0,652.1,-2.8999999999999773,-3.552099999999977,1 hour,ST_Stop,655.0,652.1,652.1,655.25,652.8626151518365,652.5814003386743,23.96494404217047,53.37569962813791,667.44
50,2025-03-28 13:00:00+0530,2025-03-28 14:00:00+0530,Long,656.7,629.4,-27.300000000000068,-27.929400000000065,1 hour,ST_Stop,656.7,629.5,629.4,628.05,642.4819553410387,652.5984555835846,-29.860398319809214,6.0928074232062315,667.8599999999999
51,2025-04-02 13:00:00+0530,2025-04-02 14:00:00+0530,Long,647.9,653.65,5.75,5.096349999999999,1 hour,ST_Stop,647.9,653.65,653.65,654.45,649.4696125461023,644.1408717395816,-6.0650010872016615,-26.22164704196258,654.625
52,2025-04-04 11:00:00+0530,2025-04-04 12:00:00+0530,Short,640.25,652.25,-12.0,-12.652249999999999,1 hour,ST_Stop,640.25,652.25,652.25,646.75,648.6777391632193,646.3357880458641,22.84063599635183,4.486495001444832,637.575
55,2025-04-28 12:00:00+0530,2025-04-28 13:00:00+0530,Long,673.4,676.0,2.6000000000000227,1.9240000000000226,1 hour,ST_Stop,673.4,676.0,676.0,677.6,673.7948566199079,671.0242645605455,1.0926920591669342,36.52313829094935,685.6650000000001
