Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
5,2024-05-09 13:15:00+0530,2024-05-09 13:30:00+0530,Short,225.2,225.15,0.04999999999998295,-0.17515000000001707,15 min,ST_Stop,225.2,225.3,225.15,224.75,225.60598103045388,226.28841041034926,-10.365907462251368,9.833465182942843,224.05
6,2024-05-15 11:15:00+0530,2024-05-15 11:30:00+0530,Long,224.65,224.95,0.29999999999998295,0.07504999999998296,15 min,ST_Stop,224.65,224.95,224.95,223.9,224.4564346914797,223.59548398558474,52.06852133447366,59.55579720163282,225.77499999999998
7,2024-05-18 09:30:00+0530,2024-05-18 09:45:00+0530,Short,225.5,226.7,-1.1999999999999886,-1.4266999999999888,15 min,ST_Stop,225.5,226.7,226.7,226.8,226.24873025099515,226.08779448752662,10.771771461695524,3.9791811919529176,225.14499999999998
18,2024-06-21 13:00:00+0530,2024-06-21 13:15:00+0530,Short,241.2,241.65,-0.45000000000001705,-0.691650000000017,15 min,ST_Stop,241.2,241.6,241.65,241.8,241.83046601668184,242.40320091423914,4.75953755171449,14.89030343378278,240.93
24,2024-07-11 10:30:00+0530,2024-07-11 10:45:00+0530,Short,262.0,261.45,0.5500000000000114,0.2885500000000114,15 min,ST_Stop,262.0,261.45,261.45,261.25,262.04111859818,262.84983287754545,-39.44439596607447,-40.226645400659365,260.32000000000005
27,2024-07-30 09:30:00+0530,2024-07-30 09:45:00+0530,Short,256.15,256.65,-0.5,-0.75665,15 min,ST_Stop,256.15,256.65,256.65,256.5,256.62157476754544,256.8952326085684,-8.46865850478891,36.7004729271122,255.60499999999996
29,2024-07-30 13:15:00+0530,2024-07-30 13:30:00+0530,Short,256.1,255.9,0.20000000000001705,-0.05589999999998296,15 min,ST_Stop,256.1,255.9,255.9,255.7,256.26139592208153,256.8606846759487,-38.45679467317167,-14.068846110011956,255.60499999999996
30,2024-07-31 09:45:00+0530,2024-07-31 10:00:00+0530,Short,255.4,255.5,-0.09999999999999432,-0.3554999999999943,15 min,ST_Stop,255.4,255.55,255.5,255.8,255.7760159658013,256.2847887267278,-42.827976562524675,-38.367463019815744,254.31499999999997
32,2024-08-06 13:00:00+0530,2024-08-06 13:15:00+0530,Short,240.85,240.9,-0.05000000000001137,-0.29090000000001137,15 min,ST_Stop,240.85,240.9,240.9,240.8,241.10786423784816,241.55877187298583,13.492040067778131,-18.34346604784993,239.58
38,2024-08-14 09:30:00+0530,2024-08-14 09:45:00+0530,Long,241.45,241.35,-0.09999999999999432,-0.3413499999999943,15 min,ST_Stop,241.45,241.4,241.35,241.65,241.1654976378184,240.68265430382576,24.066364794327153,14.247384736998038,241.685
40,2024-09-02 10:15:00+0530,2024-09-02 10:30:00+0530,Short,262.95,262.7,0.25,-0.012699999999999989,15 min,ST_Stop,262.95,262.65,262.7,263.55,263.099622497466,263.82204992711564,-7.557510322449885,15.442576607795953,262.435
47,2024-09-20 15:15:00+0530,2024-09-20 15:30:00+0530,Long,263.65,264.45,0.8000000000000114,0.5355500000000113,15 min,ST_Stop,263.65,264.4,264.45,263.9,263.5788709335615,262.29852782425877,4.2057986006080785,-36.899716181646355,264.4
49,2024-09-24 11:15:00+0530,2024-09-24 11:30:00+0530,Long,262.7,262.85,0.1500000000000341,-0.11284999999996592,15 min,ST_Stop,262.7,262.85,262.85,261.9,262.47520307264756,261.68815808128534,-23.10459579084575,-39.21041574476247,263.16999999999996
50,2024-09-24 12:30:00+0530,2024-09-24 12:45:00+0530,Long,262.7,262.7,0.0,-0.2627,15 min,ST_Stop,262.7,262.7,262.7,262.7,262.3804750960202,261.77618235136623,-12.418860755415071,-31.61022059784441,263.16999999999996
