Trade_ID,Entry_Date,Exit_Date,Position,Entry_Price,Exit_Price,P/L,Net_P/L,Duration,Exit_Reason,Entry_Candle_Open,Entry_Candle_Close,Exit_Candle_Open,Exit_Candle_Close,EMA_3_Entry,EMA_30_Entry,SMI_K_Entry,SMI_D_Entry,Supertrend_Entry
3,2024-05-31 12:00:00+0530,2024-05-31 13:00:00+0530,Short,148.85,148.85,0.0,-0.14885,1 hour,ST_Stop,148.85,148.8,148.85,149.35,149.4930595441336,150.72915831538214,6.476953388065742,41.89037096931589,146.82
7,2024-06-18 13:00:00+0530,2024-06-18 14:00:00+0530,Short,161.93,161.22,0.710000000000008,0.548780000000008,1 hour,ST_Stop,161.93,161.22,161.22,161.98,161.9497160298272,163.04696149437052,28.452460445303945,56.187497033765574,160.748
9,2024-06-27 16:00:00+0530,2024-06-28 10:00:00+0530,Short,151.1,152.85,-1.75,-1.90285,1 hour,ST_Stop,151.1,151.0,152.85,152.5,151.85034623477216,153.68489842601517,-11.793541260782186,-31.8198128423542,150.82
11,2024-07-03 11:00:00+0530,2024-07-03 12:00:00+0530,Short,153.0,153.08,-0.0800000000000125,-0.2330800000000125,1 hour,ST_Stop,153.0,153.08,153.08,151.44,153.19117068414047,153.43656315303332,-11.394773307677168,-14.923917434176602,150.91800000000003
23,2024-09-13 12:00:00+0530,2024-09-13 13:00:00+0530,Long,137.16,136.4,-0.7599999999999909,-0.896399999999991,1 hour,ST_Stop,137.16,136.4,136.4,136.45,136.4442290119143,136.1476532220646,-28.319392589181646,-31.47085957359766,137.45
25,2024-10-03 16:00:00+0530,2024-10-04 10:00:00+0530,Short,135.99,135.7,0.29000000000002046,0.15430000000002048,1 hour,ST_Stop,135.99,135.69,135.7,136.6,136.303427181982,137.15700902364313,36.55867651616129,53.56022063041712,133.94
26,2024-10-14 16:00:00+0530,2024-10-15 10:00:00+0530,Long,131.47,131.0,-0.46999999999999886,-0.6009999999999989,1 hour,ST_Stop,131.47,131.22,131.0,129.98,130.90871725675083,130.22332948763136,13.512131537395035,-25.90641257872509,132.125
29,2024-10-30 14:00:00+0530,2024-10-30 15:00:00+0530,Long,122.3,121.8,-0.5,-0.6217999999999999,1 hour,ST_Stop,122.3,121.8,121.8,121.72,121.68091356970999,121.32424984515004,-26.84507973279845,-60.26562029511497,122.59
34,2024-11-25 12:00:00+0530,2024-11-25 13:00:00+0530,Long,119.95,119.4,-0.5499999999999972,-0.6693999999999971,1 hour,ST_Stop,119.95,119.4,119.4,118.28,119.34147929178675,119.10533111085232,-22.238596026873424,-19.85961836620795,121.05499999999999
39,2025-01-06 12:00:00+0530,2025-01-06 13:00:00+0530,Short,123.91,123.89,0.01999999999999602,-0.10389000000000398,1 hour,ST_Stop,123.91,123.89,123.89,123.79,124.27975944840173,124.85932039391098,-12.054166755716635,-6.237532239882947,123.672
42,2025-01-24 10:00:00+0530,2025-01-24 11:00:00+0530,Short,122.0,117.48,4.519999999999996,4.4025199999999955,1 hour,ST_Stop,122.0,117.48,117.48,117.89,118.86455720500138,120.22255736820728,-28.459547351264657,-43.27415292095685,117.313
45,2025-02-19 11:00:00+0530,2025-02-19 12:00:00+0530,Long,100.01,99.76,-0.25,-0.34975999999999996,1 hour,ST_Stop,100.01,99.78,99.76,100.24,99.4317010473391,98.91068321400058,-8.85169662106015,-47.31963319478444,100.45799999999998
46,2025-02-20 11:00:00+0530,2025-02-20 12:00:00+0530,Long,99.85,99.35,-0.5,-0.59935,1 hour,ST_Stop,99.85,99.35,99.35,99.78,99.38118516443234,99.05107990988509,16.960239575308616,-18.62492914162142,100.45799999999998
49,2025-02-27 13:00:00+0530,2025-02-27 14:00:00+0530,Short,97.25,97.23,0.01999999999999602,-0.07723000000000399,1 hour,ST_Stop,97.25,97.23,97.23,97.12,97.69410749314463,98.44532258175123,-11.799052658490535,-4.422356356402808,96.821
52,2025-03-19 16:00:00+0530,2025-03-20 10:00:00+0530,Short,101.0,103.0,-2.0,-2.1029999999999998,1 hour,ST_Stop,101.0,100.2,103.0,104.36,100.88805566341716,101.90990185468041,-33.15642805218403,-22.54019904184221,100.03399999999999
58,2025-04-23 16:00:00+0530,2025-04-24 10:00:00+0530,Long,115.14,114.0,-1.1400000000000006,-1.2540000000000004,1 hour,ST_Stop,115.14,114.58,114.0,115.1,114.5132648713003,114.05049979205722,34.161434951742436,57.82302147103269,117.33
